Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-312690.89044455666,0.0,31933.46156862746,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-357659.0511164019,0.0,31933.46156862746,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-395577.37966465694,0.0,31933.46156862746,-0.0,-0.0
3211482.199131155,-3674964.254385618,-431548.593685836,0.0,31933.46156862746,-0.0,-0.0
3206944.278738542,-3704786.043744383,-465908.3034372135,0.0,31933.46156862746,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-497124.4954279258,0.0,31933.46156862746,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-524488.4503011593,0.0,31933.46156862746,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-551807.099936278,0.0,31933.46156862746,-0.0,-0.0
3206571.424589799,-3814915.432166111,-576410.546007685,0.0,31933.46156862746,-0.0,-0.0
3260690.0888089333,-3773326.2436067476,-480702.6932291867,0.0,31933.46156862746,-0.0,-0.0
3252234.72627958,-3801235.1507068523,-515470.2897802132,0.0,33530.134647058825,-0.0,-0.0
3246658.068034147,-3828053.4564353623,-547865.2537541569,0.0,33530.134647058825,-0.0,-0.0
3243511.6346969437,-3852112.6436448623,-575070.8743008598,0.0,33530.134647058825,-0.0,-0.0
3242444.290633659,-3876402.9654385475,-600428.5401578298,0.0,33530.134647058825,-0.0,-0.0
3243185.0951195885,-3902812.6797571415,-626097.4499904937,0.0,33530.134647058825,-0.0,-0.0
3245524.202050179,-3930770.318011249,-651715.9813140112,0.0,33530.134647058825,-0.0,-0.0
3249280.7390976083,-3952756.751771704,-669945.8780270364,0.0,33530.134647058825,-0.0,-0.0
3254274.791094433,-3972339.064650082,-684534.1389085904,0.0,33530.134647058825,-0.0,-0.0
3260317.503423045,-3998961.1170480954,-705113.4789779919,0.0,33530.134647058825,-0.0,-0.0
3310040.752632399,-3958385.900901191,-614815.0136217326,0.0,33530.134647058825,-0.0,-0.0
3306021.3283937117,-3983567.1496491865,-644015.6866084159,0.0,33530.134647058825,-0.0,-0.0
3304687.644803976,-4008005.1738358806,-669787.3943848456,0.0,33530.134647058825,-0.0,-0.0
3305624.637730548,-4031482.038343555,-692327.2659659482,0.0,33530.134647058825,-0.0,-0.0
3308500.297532889,-4054153.9653951204,-712123.5332151727,0.0,33530.134647058825,-0.0,-0.0
3313056.6913058767,-4077604.908063642,-731018.082110707,0.0,33530.134647058825,-0.0,-0.0
3319073.7249974734,-4101888.692774477,-749284.8331299445,0.0,33530.134647058825,-0.0,-0.0
3326376.5265372265,-4124552.1924097138,-764645.5312254283,0.0,33530.134647058825,-0.0,-0.0
3334816.5941853784,-4147503.9447642965,-779157.2159318593,0.0,33530.134647058825,-0.0,-0.0
3344187.1771652205,-4170592.0398117183,-792874.7279994389,0.0,33530.134647058825,-0.0,-0.0
3394272.272252853,-4121425.8042130433,-693623.3973131311,0.0,33530.134647058825,-0.0,-0.0
3392830.6738658776,-4140547.8506572545,-714187.0421443176,0.0,33530.13464705882,-0.0,-0.0
3393936.7715749843,-4163714.5836801766,-736247.6774581333,0.0,33530.13464705882,-0.0,-0.0
3397115.8439812884,-4185964.6463130177,-755318.6676846704,0.0,33530.13464705882,-0.0,-0.0
3401973.9186077556,-4177187.991471552,-741683.9382167374,0.0,33530.13464705882,-0.0,-0.0
3408242.6536980015,-4197088.278370624,-755315.490025564,0.0,33530.13464705882,-0.0,-0.0
3415746.932910353,-4218093.654549216,-768816.586991804,0.0,33530.13464705882,-0.0,-0.0
3424340.800419282,-4238833.44922356,-780962.514157219,0.0,33530.13464705882,-0.0,-0.0
3433918.6306311823,-4269208.610400726,-801759.8451224854,0.0,33530.13464705882,-0.0,-0.0
3444395.751827024,-4292251.165523738,-814325.2790496548,0.0,33530.13464705882,-0.0,-0.0
3495388.9916121955,-4247027.483721081,-718108.3574618269,0.0,33530.13464705882,-0.0,-0.0
3495807.8123669354,-4270984.693723671,-741646.746709677,0.0,33530.134647058825,-0.0,-0.0
3498744.0547491712,-4294066.264829121,-761792.0754328906,0.0,33530.134647058825,-0.0,-0.0
3503646.032420803,-4310786.788832509,-773610.6217646475,0.0,33530.134647058825,-0.0,-0.0
3510189.468549801,-4331766.785590205,-788047.182393345,0.0,33530.134647058825,-0.0,-0.0
3518156.740175111,-4353135.702513396,-801448.8276912263,0.0,33530.134647058825,-0.0,-0.0
3527356.4411281273,-4379479.5438143285,-818592.9680391422,0.0,33530.134647058825,-0.0,-0.0
3537636.8428972876,-4399022.065145993,-827855.0876016462,0.0,33530.134647058825,-0.0,-0.0
3548887.7480575517,-4434954.696410876,-852536.8137062647,0.0,33530.134647058825,-0.0,-0.0
3560922.9732876555,-4456853.493428998,-862400.3854942841,0.0,33530.134647058825,-0.0,-0.0
3616021.240760329,-4408151.525513313,-758600.1501059246,0.0,33530.134647058825,-0.0,-0.0
3617228.330477152,-4429733.282899309,-778974.8177750978,0.0,33530.134647058825,-0.0,-0.0
3620770.563093014,-4451452.638551639,-797151.9408115665,0.0,33530.134647058825,-0.0,-0.0
3626243.988581107,-4471878.350136948,-812104.2269087823,0.0,33530.134647058825,-0.0,-0.0
3633332.2514368137,-4491809.715013271,-824947.3289293986,0.0,33530.134647058825,-0.0,-0.0
3641768.827018663,-4510938.158458859,-835639.1967931371,0.0,33530.134647058825,-0.0,-0.0
3651354.5870871656,-4533474.783651311,-848590.0619170865,0.0,33530.134647058825,-0.0,-0.0
3661928.5088705164,-4554412.791320046,-858954.1478024715,0.0,33530.134647058825,-0.0,-0.0
3673350.30831275,-4569843.056801743,-862962.6138419345,0.0,33530.134647058825,-0.0,-0.0
3685505.684877905,-4590003.2848414965,-870967.4653165323,0.0,33530.134647058825,-0.0,-0.0
3756693.8923224066,-4547813.12441626,-757589.0974467946,0.0,33530.134647058825,-0.0,-0.0
3757841.861369196,-4568218.091945905,-776846.0959296506,0.0,33530.134647058825,-0.0,-0.0
3761277.0108014173,-4587785.601581384,-792978.4561329085,0.0,33530.134647058825,-0.0,-0.0
3766475.147132213,-4606188.144967809,-806182.863188537,0.0,33530.134647058825,-0.0,-0.0
3773104.5943244086,-4625158.8396058185,-818524.1106343514,0.0,33530.134647058825,-0.0,-0.0
3780915.0715605807,-4640622.313190142,-826177.1069825026,0.0,33530.134647058825,-0.0,-0.0
3789695.1572064366,-4658042.227390889,-834816.9355373943,0.0,33530.134647058825,-0.0,-0.0
3799287.323730561,-4673998.061099783,-841180.6027221628,0.0,33530.134647058825,-0.0,-0.0
3809536.598663797,-4684842.921434349,-841776.1881234936,0.0,33530.134647058825,-0.0,-0.0
3820325.82015944,-4700312.408933694,-846456.4541271951,0.0,33530.134647058825,-0.0,-0.0
3880372.7153170914,-4647840.181098487,-733937.3311343371,0.0,33530.134647058825,-0.0,-0.0
3879683.786232439,-4664121.822011661,-750907.9011321637,0.0,33530.134647058825,-0.0,-0.0
3881307.182948111,-4679916.908120134,-765079.5905249642,0.0,33530.134647058825,-0.0,-0.0
3884826.1100421236,-4695039.372982731,-776683.1282935484,0.0,33530.134647058825,-0.0,-0.0
3889916.9288197467,-4707186.004428863,-783738.940962057,0.0,33530.134647058825,-0.0,-0.0
3896291.180465601,-4719217.375013313,-789396.0599006535,0.0,33530.134647058825,-0.0,-0.0
3903749.8085998874,-4731947.042101984,-794667.0988550378,0.0,33530.134647058825,-0.0,-0.0
3912134.5973908114,-4745633.947341798,-799969.215303928,0.0,33530.134647058825,-0.0,-0.0
3921294.6010617334,-4758939.595878178,-804114.8601693861,0.0,33530.134647058825,-0.0,-0.0
3931051.570076784,-4771237.455929138,-806655.7512052951,0.0,33530.134647058825,-0.0,-0.0
4005927.574993352,-4711112.459631695,-671654.7499912853,0.0,33530.134647058825,-0.0,-0.0
4002046.9630859466,-4727179.231213413,-691602.1334804078,0.0,33530.1346470588,-0.0,-0.0
