Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873637.36027822,0.0
14439629.099533154,38540260.76420462,52979889.86373778,0.0
14640881.53763132,38455602.19189735,53096483.72952867,0.0
14842543.100859858,38380344.8255564,53222887.926416256,0.0
15044923.758035498,38313739.19520053,53358662.95323603,0.0
15247816.019716727,38255135.46724563,53502951.486962356,0.0
15450688.018913468,38204014.89855883,53654702.9174723,0.0
15653960.276384931,38159944.61240689,53813904.88879182,0.0
15857272.128023852,38122544.762834236,53979816.890858084,0.0
15612923.37819748,38325276.29951209,53938199.677709565,0.0
15815245.791513087,38264339.06213786,54079584.85365095,0.0
16017743.109296298,38213048.08818467,54230791.19748097,0.0
16219743.32398504,38170583.2365815,54390326.56056654,0.0
16421295.405120958,38136252.32065572,54557547.72577668,0.0
16622993.183498722,38109469.777692705,54732462.96119142,0.0
16825258.0516095,38089740.47315211,54914998.52476161,0.0
17026480.682986777,38076605.039142646,55103085.72212943,0.0
17226100.881353635,38069586.43599294,55295687.31734657,0.0
17426186.7011552,38068156.95929831,55494343.66045351,0.0
17233925.605997372,38276707.93851384,55510633.544511214,0.0
17434010.886790987,38251426.106562875,55685436.99335386,0.0
17634020.95821562,38234436.067656904,55868457.02587252,0.0
17833857.502197072,38224981.693586834,56058839.195783906,0.0
18033117.82942027,38222437.28075979,56255555.11018006,0.0
18231932.316818077,38226340.55163268,56458272.86845076,0.0
18430584.142432164,38236167.59800962,56666751.740441784,0.0
18628613.766560458,38251523.84052133,56880137.607081786,0.0
18826087.151252735,38272055.80816976,57098142.95942249,0.0
19023207.364049926,38297238.26811141,57320445.632161334,0.0
18740868.445268236,38573644.400232695,57314512.84550093,0.0
18935538.64781627,38568745.88623091,57504284.53404718,0.0
19130096.1720162,38571437.58721337,57701533.75922956,0.0
19324561.659203816,38580770.50904821,57905332.16825202,0.0
19510544.333014216,38595960.99321776,58106505.32623197,0.0
19695911.935912415,38616440.573555894,58312352.50946831,0.0
19880852.579992052,38641881.430586435,58522734.01057849,0.0
20065236.00196205,38671943.74982069,58737179.75178274,0.0
20251602.10883927,38706361.40301381,58957963.51185308,0.0
20437865.181702193,38744910.76938919,59182775.95109139,0.0
20172475.101656843,39010450.026248306,59182925.127905145,0.0
20357200.815485753,39021571.77540898,59378772.590894744,0.0
