Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-238179.81083671364,0.0,106444.54117647048,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-283147.9715085589,0.0,106444.54117647048,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-321066.3000568139,0.0,106444.54117647048,-0.0,-0.0
3211482.199131155,-3674964.254385618,-357037.514077993,0.0,106444.54117647048,-0.0,-0.0
3206944.278738542,-3704786.043744383,-391397.22382937046,0.0,106444.54117647048,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-422613.41582008277,0.0,106444.54117647048,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-449977.37069331633,0.0,106444.54117647048,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-477296.020328435,0.0,106444.54117647048,-0.0,-0.0
3206571.424589799,-3814915.432166111,-501899.46639984206,0.0,106444.54117647048,-0.0,-0.0
3291166.769558386,-3750319.565073849,-352708.2543389924,0.0,106444.54117647048,-0.0,-0.0
3276720.1895069745,-3781595.812676521,-403753.30905189936,0.0,101122.31411764694,-0.0,-0.0
3266292.782234241,-3811089.6354292575,-443674.53907737014,0.0,101122.31411764694,-0.0,-0.0
3259142.8179506175,-3836696.479242295,-476431.34717403055,0.0,101122.31411764694,-0.0,-0.0
3254717.126038329,-3862310.712174021,-506471.2720180451,0.0,101122.31411764694,-0.0,-0.0
3252592.109528673,-3889738.7375538247,-536024.3139075051,0.0,101122.31411764694,-0.0,-0.0
3252441.4049147465,-3918395.902348192,-564832.1833157986,0.0,101122.31411764694,-0.0,-0.0
3253993.6337302127,-3940824.062507898,-585708.1146600386,0.0,101122.31411764694,-0.0,-0.0
3256997.5850518355,-3960498.6496654605,-602378.7504959783,0.0,101122.31411764694,-0.0,-0.0
3261258.0754882838,-3987329.1765829986,-624948.786977068,0.0,101122.31411764694,-0.0,-0.0
3351663.6568739056,-3925850.2325078393,-473064.2615162868,0.0,101122.31411764694,-0.0,-0.0
3340223.503585852,-3951239.844550064,-509894.0268465645,0.0,101122.31411764704,-0.0,-0.0
3332454.261207405,-3975783.999813903,-542207.424488851,0.0,101122.31411764704,-0.0,-0.0
3327723.5122917825,-3997578.1055799415,-568732.2791705118,0.0,101122.31411764704,-0.0,-0.0
3325531.906433452,-4019537.3313624486,-592883.1108113498,0.0,101122.31411764704,-0.0,-0.0
3325492.061200777,-4042112.372983901,-615497.9976654769,0.0,101122.31411764704,-0.0,-0.0
3327281.9686292857,-4065246.2172665414,-636841.9345196089,0.0,101122.31411764704,-0.0,-0.0
3330645.2946854304,-4086493.726319077,-654726.1175159997,0.0,101122.31411764704,-0.0,-0.0
3335367.2636769,-4107828.583621959,-671339.0058274124,0.0,101122.31411764704,-0.0,-0.0
3341267.757735037,-4129693.5478376173,-687303.4759849333,0.0,101122.31411764704,-0.0,-0.0
3434061.10023436,-4064065.505639257,-528882.0912872498,0.0,101122.31411764704,-0.0,-0.0
3424050.8169275788,-4082277.9560360285,-557104.8249908026,0.0,101122.31411764702,-0.0,-0.0
3417575.3116492606,-4104517.936852936,-585820.3110860285,0.0,101122.31411764702,-0.0,-0.0
3413966.445551855,-4125092.8969392288,-610004.1372697263,0.0,101122.31411764702,-0.0,-0.0
3412675.875086409,-4114768.863029946,-600970.6738258903,0.0,101122.31411764702,-0.0,-0.0
3413314.7272334583,-4133042.629780596,-618605.5884294909,0.0,101122.31411764702,-0.0,-0.0
3415606.486765559,-4152253.816806723,-635525.0159235172,0.0,101122.31411764702,-0.0,-0.0
3419323.623895519,-4170522.0855005383,-650076.1474873724,0.0,101122.31411764702,-0.0,-0.0
3424292.268919446,-4198736.102883659,-673321.519846566,0.0,101122.31411764702,-0.0,-0.0
3430371.593877611,-4219158.972507043,-687665.064511784,0.0,101122.31411764702,-0.0,-0.0
3523024.9458430833,-4151641.359266947,-527494.0993062168,0.0,101122.31411764702,-0.0,-0.0
3513145.064641228,-4171980.6599059044,-557713.2811470294,0.0,101122.31411764698,-0.0,-0.0
3506759.994053374,-4192045.2920888867,-584162.9839178654,0.0,101122.31411764698,-0.0,-0.0
3503223.7635852527,-4202341.219546871,-597995.1418439714,0.0,101122.31411764698,-0.0,-0.0
3502040.7034092196,-4219499.368976883,-616336.3514500161,0.0,101122.31411764698,-0.0,-0.0
3502865.2897797655,-4238373.846594559,-634386.2426971465,0.0,101122.31411764698,-0.0,-0.0
3505399.8363489495,-4261920.257148428,-655398.1066818319,0.0,101122.31411764698,-0.0,-0.0
3509403.7320317933,-4277068.936160827,-666542.8900113865,0.0,101122.31411764698,-0.0,-0.0
3514693.1727302074,-4309786.432759787,-693970.9459119327,0.0,101122.31411764698,-0.0,-0.0
3521117.6570063606,-4329212.366318299,-706972.3951942923,0.0,101122.31411764698,-0.0,-0.0
3614159.3757443344,-4258933.362667822,-543651.6728058411,0.0,101122.31411764698,-0.0,-0.0
3604633.609871963,-4278844.480805385,-573088.556815775,0.0,101122.31411764704,-0.0,-0.0
3598603.8373712255,-4299024.422310234,-599298.2708213611,0.0,101122.31411764704,-0.0,-0.0
3595478.480118186,-4316752.442636594,-620151.6484007605,0.0,101122.31411764704,-0.0,-0.0
3594754.935352148,-4334819.412890229,-638942.163420434,0.0,101122.31411764704,-0.0,-0.0
3596038.4722164944,-4352382.553061102,-655221.7667269598,0.0,101122.31411764704,-0.0,-0.0
3599024.9575515105,-4373162.703109659,-673015.4314405015,0.0,101122.31411764704,-0.0,-0.0
3603466.8569305567,-4392406.425578013,-687817.2545298095,0.0,101122.31411764704,-0.0,-0.0
3609152.425448225,-4406048.565245803,-695773.8256799314,0.0,101122.31411764704,-0.0,-0.0
3615906.6992845363,-4424534.527906256,-707505.514504072,0.0,101122.31411764704,-0.0,-0.0
3714418.7916209516,-4346200.304337461,-530659.1985988624,0.0,101122.31411764704,-0.0,-0.0
3703803.1799267363,-4364955.046672618,-560029.5526282345,0.0,101122.31411764704,-0.0,-0.0
3696839.6467507463,-4383561.990707946,-585600.0298395532,0.0,101122.31411764704,-0.0,-0.0
3692871.554193387,-4402141.354248667,-608147.4859376337,0.0,101122.31411764704,-0.0,-0.0
3691385.4242052725,-4421176.8814518,-628669.1431288811,0.0,101122.31411764704,-0.0,-0.0
3691976.3862491096,-4437070.36484209,-643971.664475333,0.0,101122.31411764704,-0.0,-0.0
3694309.768382655,-4454762.638481669,-659330.5559813676,0.0,101122.31411764704,-0.0,-0.0
3698141.8250497743,-4470365.580919758,-671101.4417523368,0.0,101122.31411764704,-0.0,-0.0
