period,oha,ohv,ogs,ocp,ocf
1,6626.5900843940735,1072860.0,16756621.537304057,49846949.083730616,3093056.4432989256
2,6295.2605801743675,1019216.9999999993,19520608.838692952,50003358.42816343,2987498.4868881064
3,6295.2605801743675,1019216.9999999997,22567178.34281733,50465023.30277599,2982422.386315154
4,6295.260580174369,1019217.0,25789892.526006065,51181388.62236527,3032010.0552934483
5,6295.260580174366,1019216.9999999998,28955411.940314543,51680161.59451909,3079770.479299456
6,6957.919588613775,1019216.9999999997,31919403.215390567,51897468.825566545,3104153.1971666645
7,6957.919588613776,1019217.0000000002,34609887.56518432,52253507.529816866,3135412.3362378287
8,6957.919588613776,1019216.9999999994,36998026.21548402,52657763.92746988,3172104.7492874796
9,6957.919588613776,1019216.9999999998,39053197.73490219,53073400.98918535,3210778.271910346
10,6957.919588613776,1019217.0,40855223.44309254,53476600.35466383,3245302.670613557
