Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873637.36027822,0.0
14439629.099533154,38540260.76420462,52979889.86373778,0.0
14640881.53763132,38455602.19189735,53096483.72952867,0.0
14842543.100859858,38380344.8255564,53222887.926416256,0.0
15044923.758035498,38313739.19520053,53358662.95323603,0.0
15247816.019716727,38255135.46724563,53502951.486962356,0.0
15450688.018913468,38204014.89855883,53654702.9174723,0.0
15653960.276384931,38159944.61240689,53813904.88879182,0.0
15857272.128023852,38122544.762834236,53979816.890858084,0.0
15754029.125019725,38240858.8679755,53994887.99299523,0.0
15958226.72304974,38195542.529409766,54153769.2524595,0.0
16162597.505524768,38158197.196398385,54320794.701923154,0.0
16366325.904893206,38128177.89606503,54494503.80095823,0.0
16569554.752636984,38104940.24239033,54674494.99502731,0.0
16772878.350465382,38088021.17861768,54860899.52908306,0.0
16976703.3933387,38077025.65499844,55053729.04833714,0.0
17179428.771632466,38071577.05434128,55251005.82597375,0.0
17380463.203854565,38071266.29469318,55451729.49854774,0.0
17581877.30650095,38075771.0757883,55657648.38228925,0.0
17485562.40884243,38234477.47733378,55720039.886176206,0.0
17686534.863759518,38228367.12989576,55914901.99365528,0.0
17887244.235834733,38228373.39503649,56115617.630871214,0.0
18087061.240243033,38233981.32310556,56321042.56334859,0.0
18286104.4487442,38244742.73370052,56530847.18244473,0.0
18484525.93707307,38260338.37859625,56744864.31566933,0.0
18682603.593188412,38280370.50324696,56962974.096435376,0.0
18879883.863217324,38304544.01020925,57184427.87342657,0.0
19076416.720111027,38332584.949139304,57409001.66925033,0.0
19272411.684891902,38364249.082864195,57636660.7677561,0.0
19168655.78474486,38549307.762406416,57717963.547151275,0.0
19361817.819286395,38567970.11725054,57929787.93653694,0.0
19554658.871532854,38591651.11014214,58146309.981675,0.0
19746950.11033546,38619723.07058472,58366673.18092018,0.0
19930513.279575173,38651651.87812674,58582165.15770192,0.0
20113214.79839781,38687096.89783021,58800311.69622802,0.0
20295288.87495506,38725875.40666916,59021164.28162422,0.0
20476481.242087275,38767785.13837105,59244266.380458325,0.0
20659457.290633693,38812670.017126545,59472127.30776024,0.0
20842140.41294584,38860404.30305926,59702544.716005094,0.0
20726768.84538469,39060111.531012334,59786880.37639703,0.0
20907412.843122497,39093611.21684016,60001024.05996266,0.0
