Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-270113.1731896548,0.0,74511.17882352935,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-315081.3338615,0.0,74511.17882352935,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-352999.66240975505,0.0,74511.17882352935,-0.0,-0.0
3211482.199131155,-3674964.254385618,-388970.8764309341,0.0,74511.17882352935,-0.0,-0.0
3206944.278738542,-3704786.043744383,-423330.5861823116,0.0,74511.17882352935,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-454546.7781730239,0.0,74511.17882352935,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-481910.73304625746,0.0,74511.17882352935,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-509229.3826813761,0.0,74511.17882352935,-0.0,-0.0
3206571.424589799,-3814915.432166111,-533832.8287527831,0.0,74511.17882352935,-0.0,-0.0
3266240.9614629,-3780036.7702659797,-439284.6299795501,0.0,74511.17882352935,-0.0,-0.0
3257577.025780792,-3809782.289151524,-481419.6434883794,0.0,70785.61988235291,-0.0,-0.0
3251920.1741246525,-3838027.890842289,-515322.096835284,0.0,70785.61988235291,-0.0,-0.0
3248745.8933844496,-3862631.772626386,-543100.2593595836,0.0,70785.61988235291,-0.0,-0.0
3247659.183029483,-3887364.121180375,-568919.3182685389,0.0,70785.61988235291,-0.0,-0.0
3248357.77653231,-3913985.7700043577,-594842.3735896946,0.0,70785.61988235291,-0.0,-0.0
3250609.2270467225,-3941883.256042681,-620488.4091136055,0.0,70785.61988235291,-0.0,-0.0
3254215.737088466,-3963628.0023113717,-638626.6453405531,0.0,70785.61988235291,-0.0,-0.0
3258984.4401069474,-3982641.872802477,-652871.8128131765,0.0,70785.61988235291,-0.0,-0.0
3264767.0485680737,-4008851.546898265,-673298.8784478386,0.0,70785.61988235291,-0.0,-0.0
3330633.722836399,-3975518.1499688933,-574098.8072501415,0.0,70785.61988235291,-0.0,-0.0
3325908.9571437184,-3999879.463854187,-603184.8868281159,0.0,70785.6198823529,-0.0,-0.0
3323815.1347242547,-4023476.79221689,-628876.0376102827,0.0,70785.6198823529,-0.0,-0.0
3323917.6698842584,-4044449.6368986415,-649746.34713203,0.0,70785.6198823529,-0.0,-0.0
3325868.392384081,-4065542.5672373646,-668888.5549709309,0.0,70785.6198823529,-0.0,-0.0
3329397.455406284,-4087279.297417909,-687096.2221292716,0.0,70785.6198823529,-0.0,-0.0
3334276.7232702104,-4109615.4529346107,-704553.1097820476,0.0,70785.6198823529,-0.0,-0.0
3340324.2825356573,-4130101.1732411534,-718991.2708231431,0.0,70785.6198823529,-0.0,-0.0
3347385.4079886954,-4150644.465422252,-732473.4375512041,0.0,70785.6198823529,-0.0,-0.0
3355330.0237215734,-4171725.198344937,-745609.554741011,0.0,70785.6198823529,-0.0,-0.0
3423189.8148467294,-4133297.098367529,-639321.6636384468,0.0,70785.6198823529,-0.0,-0.0
3420333.3061688934,-4150682.408745902,-659563.4826946558,0.0,70785.61988235297,-0.0,-0.0
3419960.171213373,-4172111.4162012916,-681365.6251055655,0.0,70785.61988235297,-0.0,-0.0
3421590.197537123,-4191876.1178310593,-699500.3004115828,0.0,70785.61988235297,-0.0,-0.0
3424822.2219116245,-4180692.69634372,-685084.8545497424,0.0,70785.61988235297,-0.0,-0.0
3429383.342919788,-4198018.716806976,-697849.7540048354,0.0,70785.61988235297,-0.0,-0.0
3435089.1950926743,-4216341.846720082,-710467.0317450544,0.0,70785.61988235297,-0.0,-0.0
3441786.3243453205,-4233720.2155357115,-721148.2713080377,0.0,70785.61988235297,-0.0,-0.0
3449361.141817054,-4260976.528876868,-740829.7671774612,0.0,70785.61988235297,-0.0,-0.0
3457722.4530491396,-4280630.698718632,-752122.6257871392,0.0,70785.61988235297,-0.0,-0.0
3525798.082471897,-4239354.267073382,-642770.5647191319,0.0,70785.61988235297,-0.0,-0.0
3523234.452548866,-4258617.648551961,-664597.5761207419,0.0,70785.61988235293,-0.0,-0.0
3523092.217121976,-4277580.213659763,-683702.3766554347,0.0,70785.61988235293,-0.0,-0.0
3524919.789852208,-4287328.76664988,-691623.3569153192,0.0,70785.61988235293,-0.0,-0.0
