period,oha,ohv,ogs,ocp,ocf
1,4520.410548532803,751002.0,17135278.007892292,49878691.00823662,3118834.170666532
2,4294.39002110616,713451.8999999999,20281410.86692535,50091423.93891562,3013106.29320942
3,4294.39002110616,713451.8999999999,23731464.373598482,50626171.60403322,3010753.3191148667
4,4294.390021106161,713451.9000000001,27365545.182485465,51407040.27833012,3065057.279211292
5,4294.390021106162,713451.8999999998,30941373.697376974,51974286.84941728,3119563.17366571
6,4294.390021106161,713451.8999999999,34311881.34568996,52250685.33461333,3153656.4795309273
7,4746.431075959442,713451.8999999998,37406387.86375178,52645449.85011502,3188061.899898646
8,4746.431075959442,713451.8999999998,40179290.64415779,53081048.95759882,3230457.382588528
9,4746.4310759594455,713451.8999999999,42599967.35192441,53531323.067614265,3273015.2499050554
10,4746.431075959443,713451.9,44755234.40114673,53977677.11261109,3313342.6182164997
