Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873637.36027822,0.0
14439629.099533154,38540260.76420462,52979889.86373778,0.0
14640881.53763132,38455602.19189735,53096483.72952867,0.0
14842543.100859858,38380344.8255564,53222887.926416256,0.0
15044923.758035498,38313739.19520053,53358662.95323603,0.0
15247816.019716727,38255135.46724563,53502951.486962356,0.0
15450688.018913468,38204014.89855883,53654702.9174723,0.0
15653960.276384931,38159944.61240689,53813904.88879182,0.0
15857272.128023852,38122544.762834236,53979816.890858084,0.0
16000246.787293304,38117452.13633144,54117698.92362474,0.0
16204690.80120708,38088516.23660215,54293207.03780923,0.0
16409229.854361948,38065870.74289011,54475100.59725206,0.0
16613076.718629455,38049112.82171428,54662189.54034374,0.0
16816373.14543821,38037897.76540967,54854270.91084789,0.0
17019716.31543997,38031923.61082645,55051639.92626642,0.0
17223529.71568004,38030934.49703116,55254464.2127112,0.0
17426191.01724243,38034667.53815467,55460858.5553971,0.0
17627128.82321693,38042809.68997112,55669938.51318805,0.0
17828408.57709854,38055120.822189145,55883529.399287686,0.0
17972496.308147337,38096215.4587025,56068711.76684984,0.0
18174607.841262996,38112667.7975923,56287275.63885529,0.0
18376417.26982284,38133299.37657852,56509716.64640136,0.0
18577299.20948075,38157826.2507566,56735125.46023735,0.0
18777372.601302296,38186010.95347058,56963383.554772876,0.0
18976768.560608458,38217716.997478895,57194485.55808736,0.0
19175774.616604265,38252690.455634646,57428465.072238915,0.0
19373925.310797945,38290764.01122145,57664689.3220194,0.0
19571269.989965312,38331773.18964967,57903043.17961498,0.0
19768013.11281437,38375568.17958027,58143581.292394646,0.0
19906987.480931837,38447079.6154208,58354067.096352644,0.0
20102114.078484274,38492349.75117903,58594463.829663314,0.0
20296840.71090441,38540523.69160427,58837364.402508676,0.0
20490916.461715356,38591216.76264135,59082133.2243567,0.0
20676209.13752571,38644119.13738767,59320328.27491338,0.0
20860592.60392799,38699060.90393288,59559653.50786086,0.0
21044250.88016252,38756035.54997592,59800286.43013844,0.0
21226915.9976372,38814976.860105716,60041892.85774291,0.0
21411262.661855396,38875846.12975872,60287108.791614115,0.0
21595117.091658834,38938619.06836289,60533736.16002173,0.0
21720653.324653447,39028078.98074691,60748732.30540036,0.0
21903444.688924283,39090793.89922094,60994238.588145226,0.0
