Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-248824.2649543606,0.0,95800.08705882348,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-293792.42562620586,0.0,95800.08705882348,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-331710.7541744609,0.0,95800.08705882348,-0.0,-0.0
3211482.199131155,-3674964.254385618,-367681.96819563996,0.0,95800.08705882348,-0.0,-0.0
3206944.278738542,-3704786.043744383,-402041.6779470174,0.0,95800.08705882348,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-433257.86993772973,0.0,95800.08705882348,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-460621.8248109633,0.0,95800.08705882348,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-487940.47444608196,0.0,95800.08705882348,-0.0,-0.0
3206571.424589799,-3814915.432166111,-512543.920517489,0.0,95800.08705882348,-0.0,-0.0
3290792.089632558,-3728754.436553296,-342162.2598619144,0.0,95800.08705882348,-0.0,-0.0
3273691.2031526477,-3761322.294826393,-396621.0089678629,0.0,91010.08270588236,-0.0,-0.0
3261211.2838342614,-3792166.173830528,-439944.80729038385,0.0,91010.08270588236,-0.0,-0.0
3252511.9066675007,-3819644.707227785,-476122.7178544019,0.0,91010.08270588236,-0.0,-0.0
3246967.3508137767,-3846905.104717353,-508927.6711976938,0.0,91010.08270588236,-0.0,-0.0
3244097.4525863375,-3876166.663174394,-541059.127882174,0.0,91010.08270588236,-0.0,-0.0
3243531.7624771167,-3906777.6698847897,-572235.8247017906,0.0,91010.08270588236,-0.0,-0.0
3244965.305484272,-3931273.1530199475,-595297.7648297929,0.0,91010.08270588236,-0.0,-0.0
3248120.369711104,-3953250.299700761,-614119.847283775,0.0,91010.08270588236,-0.0,-0.0
3252710.6845430955,-3982012.532143458,-638291.7648944799,0.0,91010.08270588236,-0.0,-0.0
3342946.1063669077,-3885829.196734313,-451873.0076615226,0.0,91010.08270588236,-0.0,-0.0
3327479.7630178486,-3914989.9031529464,-496500.05742921535,0.0,91010.0827058823,-0.0,-0.0
3316728.146038294,-3943276.1347074215,-535537.9059632452,0.0,91010.0827058823,-0.0,-0.0
3309884.940789192,-3970525.623164975,-569630.5996699006,0.0,91010.0827058823,-0.0,-0.0
3306323.97081201,-3996438.864040821,-599104.8105229287,0.0,91010.0827058823,-0.0,-0.0
3305547.9962284863,-4023157.46606246,-626599.387128092,0.0,91010.0827058823,-0.0,-0.0
3307147.7118149414,-4050446.091380565,-652288.2968597411,0.0,91010.0827058823,-0.0,-0.0
3310803.358072518,-4076074.775804427,-674261.3350260269,0.0,91010.0827058823,-0.0,-0.0
