Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-259468.71907200763,0.0,85155.63294117646,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-304436.8797438529,0.0,85155.63294117646,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-342355.2082921079,0.0,85155.63294117646,-0.0,-0.0
3211482.199131155,-3674964.254385618,-378326.422313287,0.0,85155.63294117646,-0.0,-0.0
3206944.278738542,-3704786.043744383,-412686.13206466445,0.0,85155.63294117646,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-443902.32405537675,0.0,85155.63294117646,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-471266.2789286103,0.0,85155.63294117646,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-498584.928563729,0.0,85155.63294117646,-0.0,-0.0
3206571.424589799,-3814915.432166111,-523188.37463513605,0.0,85155.63294117646,-0.0,-0.0
3269846.670319006,-3771023.52616225,-416021.22290206753,0.0,85155.63294117646,-0.0,-0.0
3260191.8350538244,-3801632.806333165,-460543.11998522276,0.0,80897.85129411767,-0.0,-0.0
3253747.4456785605,-3830485.7055811887,-495840.40860851045,0.0,80897.85129411767,-0.0,-0.0
3249938.4870877955,-3855646.64700138,-524810.308619467,0.0,80897.85129411767,-0.0,-0.0
3248337.3399430485,-3880779.4574232097,-551544.2661860435,0.0,80897.85129411767,-0.0,-0.0
3248615.487582997,-3907801.276463671,-578287.9375865565,0.0,80897.85129411767,-0.0,-0.0
3250520.354733505,-3935996.551230083,-604578.3452024605,0.0,80897.85129411767,-0.0,-0.0
3253838.9281826713,-3957941.0505939615,-623204.2711171724,0.0,80897.85129411767,-0.0,-0.0
3258366.636270727,-3977171.0996012506,-637906.612036406,0.0,80897.85129411767,-0.0,-0.0
3263946.4228364085,-4003652.107594769,-658807.8334642425,0.0,80897.85129411767,-0.0,-0.0
3334418.117930206,-3960157.93490654,-544841.9656822163,0.0,80897.85129411767,-0.0,-0.0
3327811.0291810804,-3986356.7361926404,-577647.8557174426,0.0,80897.85129411766,-0.0,-0.0
3324260.5535888295,-4011437.2329651015,-606278.8280821547,0.0,80897.85129411766,-0.0,-0.0
3323231.746080758,-4033609.9473884213,-629480.3500135458,0.0,80897.85129411766,-0.0,-0.0
3324307.7472968134,-4055870.953810039,-650665.3552191078,0.0,80897.85129411766,-0.0,-0.0
3327161.6987705613,-4078660.0205757166,-670600.470511038,0.0,80897.85129411766,-0.0,-0.0
3331520.4691485767,-4101953.3796746805,-689535.0592319864,0.0,80897.85129411766,-0.0,-0.0
3337170.454783988,-4123273.5709248106,-705205.2648467048,0.0,80897.85129411766,-0.0,-0.0
3343931.923851201,-4144649.054982123,-719819.2798368047,0.0,80897.85129411766,-0.0,-0.0
3351655.6416696683,-4166501.1782521885,-733947.6852884026,0.0,80897.85129411766,-0.0,-0.0
3425862.653207639,-4118921.9089706345,-612161.4044688776,0.0,80897.85129411766,-0.0,-0.0
3421280.759744432,-4137517.4520518887,-635338.8410133395,0.0,80897.85129411766,-0.0,-0.0
3419519.72172604,-4160043.354938284,-659625.7819181265,0.0,80897.85129411766,-0.0,-0.0
3420030.77815174,-4180478.222637118,-679549.59319126,0.0,80897.85129411766,-0.0,-0.0
3422362.836372819,-4170301.9765723217,-667041.2889053853,0.0,80897.85129411766,-0.0,-0.0
3426201.3236984294,-4188718.658417588,-681619.4834250408,0.0,80897.85129411766,-0.0,-0.0
3431328.388368606,-4207962.7999929115,-695736.5603301876,0.0,80897.85129411766,-0.0,-0.0
3437566.3608895694,-4226153.434793907,-707689.22261022,0.0,80897.85129411766,-0.0,-0.0
3444782.6637144936,-4254257.702648298,-728577.1876396864,0.0,80897.85129411766,-0.0,-0.0
3452869.2603630135,-4274808.020728278,-741040.9090711465,0.0,80897.85129411766,-0.0,-0.0
3525676.361870908,-4226820.062090513,-620245.848925488,0.0,80897.85129411766,-0.0,-0.0
3522010.787595047,-4247026.441712088,-644117.8028229235,0.0,80897.85129411766,-0.0,-0.0
3520970.0561926966,-4266937.4147632085,-665069.5072763946,0.0,80897.85129411766,-0.0,-0.0
3522059.8922311775,-4276899.902786551,-673942.1592612561,0.0,80897.85129411766,-0.0,-0.0
3524906.9892216697,-4293864.8229990285,-688059.982483241,0.0,80897.85129411766,-0.0,-0.0
3529261.287049073,-4312384.648139696,-702225.5097965046,0.0,80897.85129411766,-0.0,-0.0
3534900.8725597356,-4335718.603495433,-719919.8796415799,0.0,80897.85129411766,-0.0,-0.0
3541646.836152619,-4350535.545829852,-727990.8583831154,0.0,80897.85129411766,-0.0,-0.0
3549365.7247398184,-4383101.982819036,-752838.4067850992,0.0,80897.85129411766,-0.0,-0.0
3557948.709816881,-4401835.215828405,-762988.6547174064,0.0,80897.85129411766,-0.0,-0.0
3631790.305156548,-4350737.972412484,-638049.815961818,0.0,80897.85129411766,-0.0,-0.0
3628556.5371979047,-4370104.057374966,-660649.6688829438,0.0,80897.85129411766,-0.0,-0.0
3627913.715634009,-4389632.115230218,-680820.5483020911,0.0,80897.85129411766,-0.0,-0.0
3629427.2818566742,-4406337.454341079,-696012.3211902875,0.0,80897.85129411766,-0.0,-0.0
3632720.1880010823,-4423569.407710742,-709951.3684155423,0.0,80897.85129411766,-0.0,-0.0
3637500.174886346,-4440529.266977678,-722131.2407972151,0.0,80897.85129411766,-0.0,-0.0
3643544.107682966,-4460838.23138434,-736396.272407256,0.0,80897.85129411766,-0.0,-0.0
3650669.872529216,-4479474.361070227,-747906.6372468937,0.0,80897.85129411766,-0.0,-0.0
3658717.9440727374,-4492592.916059254,-752977.1206923983,0.0,80897.85129411766,-0.0,-0.0
3667556.2710767505,-4510226.923618999,-761772.801248131,0.0,80897.85129411766,-0.0,-0.0
3741699.0516218385,-4457595.114433851,-634998.2115178949,0.0,80897.85129411766,-0.0,-0.0
3738570.6092627244,-4475609.087465107,-656140.6269082656,0.0,80897.8512941176,-0.0,-0.0
3737977.9882769366,-4493513.971481693,-674638.1319106389,0.0,80897.8512941176,-0.0,-0.0
3739467.6383488346,-4511110.006230231,-690744.5165872789,0.0,80897.8512941176,-0.0,-0.0
3742685.734709061,-4529301.062557072,-705717.4765538932,0.0,80897.8512941176,-0.0,-0.0
3747354.6020035604,-4544311.049183679,-716058.5958860007,0.0,80897.8512941176,-0.0,-0.0
3753238.76841611,-4561459.675725164,-727323.0560149362,0.0,80897.8512941176,-0.0,-0.0
3760176.4044975857,-4576443.476309505,-735369.2205178017,0.0,80897.8512941176,-0.0,-0.0
3767973.6588284913,-4587269.765670079,-738398.2555474701,0.0,80897.8512941176,-0.0,-0.0
3776496.8878011596,-4602506.819676189,-745112.0805809115,0.0,80897.8512941176,-0.0,-0.0
3848428.437341479,-4550475.878202344,-621149.5895667473,0.0,80897.8512941176,-0.0,-0.0
3844940.545744208,-4566529.433396464,-640691.0363581387,0.0,80897.85129411762,-0.0,-0.0
3843944.9097607248,-4582400.106761098,-657557.3457062551,0.0,80897.85129411762,-0.0,-0.0
3845037.6318512047,-4597693.9255740205,-671758.442428698,0.0,80897.85129411762,-0.0,-0.0
3847829.326055121,-4610293.893314497,-681566.7159652575,0.0,80897.85129411762,-0.0,-0.0
3851991.449990401,-4622383.265550204,-689493.964265685,0.0,80897.85129411762,-0.0,-0.0
3857296.9868565183,-4634911.444503868,-696716.6063532324,0.0,80897.85129411762,-0.0,-0.0
3863587.4103370635,-4648399.0287935315,-703913.7671623501,0.0,80897.85129411762,-0.0,-0.0
3870677.35781092,-4661324.177602628,-709748.9684975903,0.0,80897.85129411762,-0.0,-0.0
3878440.7180797565,-4673496.972206031,-714158.4028321566,0.0,80897.85129411762,-0.0,-0.0
3952477.9341016323,-4617229.431628813,-583853.6462330631,0.0,80897.85129411762,-0.0,-0.0
3947904.067649361,-4634557.178241392,-605755.2592979132,0.0,80897.85129411765,-0.0,-0.0
3945738.42803101,-4633125.427790592,-606489.1484654645,0.0,80897.85129411765,-0.0,-0.0
3945510.9385050097,-4645685.425662043,-619276.6358629152,0.0,80897.85129411765,-0.0,-0.0
3946860.562388118,-4654727.51053096,-626969.0968487243,0.0,80897.85129411765,-0.0,-0.0
3949504.6636751005,-4657034.852609399,-626632.3376401811,0.0,80897.85129411765,-0.0,-0.0
3953211.757576379,-4666080.1478966875,-631970.5390261908,0.0,80897.85129411765,-0.0,-0.0
3957799.766590849,-4673149.872632906,-634452.2547479394,0.0,80897.85129411765,-0.0,-0.0
3963116.3624451025,-4677605.718342908,-633591.5046036878,0.0,80897.85129411765,-0.0,-0.0
3969064.7970609358,-4694176.324195337,-644213.6758402829,0.0,80897.85129411765,-0.0,-0.0
4041663.8399582882,-4635687.509450792,-513125.8181983869,0.0,80897.85129411765,-0.0,-0.0
4035111.1792241125,-4645660.741162352,-529651.7106441223,0.0,80897.8512941176,-0.0,-0.0
4031015.423332116,-4655399.203935552,-543485.9293093187,0.0,80897.8512941176,-0.0,-0.0
4028943.629739976,-4665382.787189252,-555541.3061551581,0.0,80897.8512941176,-0.0,-0.0
4028464.6101098666,-4670428.522090963,-561066.0606869789,0.0,80897.8512941176,-0.0,-0.0
4029220.57872216,-4651836.053579638,-541717.6235633601,0.0,80897.8512941176,-0.0,-0.0
4030996.8876942643,-4657878.578431525,-545983.8394431431,0.0,80897.8512941176,-0.0,-0.0
4033653.6440201644,-4664163.027721352,-549611.5324070696,0.0,80897.8512941176,-0.0,-0.0
4037018.407005316,-4660302.041383306,-542385.7830838718,0.0,80897.8512941176,-0.0,-0.0
4040997.1340281763,-4672914.387515208,-551019.4021929142,0.0,80897.8512941176,-0.0,-0.0
4110895.0456314795,-4616460.426046352,-424667.5291207554,0.0,80897.8512941176,-0.0,-0.0
