Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873637.36027822,0.0
14439629.099533154,38540260.76420462,52979889.86373778,0.0
14640881.53763132,38455602.19189735,53096483.72952867,0.0
14842543.100859858,38380344.8255564,53222887.926416256,0.0
15044923.758035498,38313739.19520053,53358662.95323603,0.0
15247816.019716727,38255135.46724563,53502951.486962356,0.0
15450688.018913468,38204014.89855883,53654702.9174723,0.0
15653960.276384931,38159944.61240689,53813904.88879182,0.0
15857272.128023852,38122544.762834236,53979816.890858084,0.0
15508264.637149578,38350864.731566794,53859129.368716374,0.0
15712189.985593263,38290246.427942626,54002436.41353589,0.0
15916441.86804425,38239382.08241704,54155823.95046129,0.0
16120180.30795386,38197318.65054415,54317498.95849801,0.0
16323507.683088543,38163287.77990706,54486795.4629956,0.0
16527027.025240099,38136644.444751926,54663671.46999203,0.0
16731151.949867154,38116845.60241915,54847997.552286305,0.0
16934238.637127697,38103393.89693954,55037632.534067236,0.0
17135696.93916282,38095779.730832994,55231476.66999582,0.0
17337597.022520065,38093596.67345166,55431193.69597173,0.0
16992906.264991418,38363320.21519144,55356226.48018286,0.0
17194690.236553967,38334879.650202215,55529569.88675618,0.0
17396449.860674582,38314927.7606792,55711377.62135378,0.0
17597460.23859879,38302588.913824454,55900049.15242324,0.0
17797826.316572897,38297138.70801686,56094965.02458976,0.0
17997709.96867001,38298021.314890765,56295731.283560775,0.0
18197381.546739668,38304643.12830672,56502024.675046384,0.0
18396369.461432304,38316551.8580496,56712921.3194819,0.0
18594746.692508414,38333341.138610154,56928087.83111857,0.0
18792709.729780864,38354654.0181745,57147363.74795536,0.0
18442677.902288042,38652694.12775918,57095372.03004722,0.0
18637424.300257098,38645829.70598033,57283254.00623743,0.0
18832054.024219986,38646403.12188323,57478457.14610321,0.0
19026251.34138953,38653469.76155946,57679721.102948986,0.0
19211891.026494585,38666235.81899123,57878126.845485814,0.0
19396863.294117246,38684127.057602204,58080990.351719454,0.0
19581369.081356592,38706766.560763344,58288135.64211994,0.0
19765140.494623378,38733795.99961925,58498936.49424263,0.0
19950844.572416745,38764927.66677665,58715772.239193395,0.0
20136376.517049417,38799919.8979406,58936296.414990015,0.0
19788807.81627913,39101806.99250246,58890614.80878159,0.0
19971362.521940798,39109553.15775687,59080915.67969767,0.0
