Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181039405.66341954,209938.59500000035
59214105.14779269,121980662.11750358,181596766.48716986,401999.2218735905
59706955.23803828,121866410.32846436,182154656.600091,581291.0335883432
60200470.18760126,121765978.86751682,182717623.0655101,751174.0103919986
60694400.871976286,121678671.33681317,183286936.95939052,913864.7506010865
61188276.26404601,121603816.58669974,183862925.1694889,1070832.3187431318
61681486.79111259,121540754.3277937,184445298.03036827,1223056.911461974
62165971.42669781,121489026.28396346,185026196.59542394,1371198.8847626834
62643097.44011036,121448027.11029936,185606833.75923753,1515709.2088278015
57857731.72449456,123904856.92914955,183419490.30354849,1656901.649904356
58344206.1675648,123542109.30553669,183771065.41377,1884749.94066849
58827124.44873064,123226479.44254678,184080280.94862735,2026677.0573499207
59309393.338358484,122951396.20805691,184426449.39439306,2165659.847977677
59792898.154982775,122711464.78340386,184806165.85361317,2301802.9152265512
60277746.45661661,122502487.39425012,185215426.59725964,2435192.7463928997
60763705.76000856,122321111.24655388,185650720.63907707,2565903.632514621
61249623.87110974,122164494.70407794,186108120.11838168,2694001.5431939834
61726506.33151578,122030556.86607286,186576609.8630705,2819546.665481821
62195372.10057721,121916873.59017234,187054840.7604356,2942595.0696860626
57425914.48576295,124205337.7361165,184694452.02643368,3063199.8045542105
57907247.187191404,123797704.91176404,184886363.71841645,3181411.6194610083
58387199.29224419,123443418.09648359,185127896.8314692,3297279.4427414113
58866792.83826584,123134915.54153338,185412559.0803542,3410850.7005549837
59347964.53921632,122866311.71683429,185736447.787475,3522171.5314243864
59831536.69827986,122632870.19607468,186095693.8268366,3631286.932482061
60317772.46040293,122430743.77318433,186486757.0945605,3738240.8609732385
60805929.71579625,122256800.17186525,186905806.19406605,3843076.3064045473
61288017.917694435,122108532.1152235,187342385.37631428,3945835.3433963642
61763525.45370525,121983361.5025867,187793446.12810537,4046559.1718134233
57002168.718562864,124234781.06084968,185382237.92788443,4145288.1484718914
57492816.200314626,123814275.861333,185549153.87488127,4242061.813233644
57985255.26551036,123452112.21800224,185774286.39483917,4336918.911326556
58479342.91541854,123139792.37137151,186049032.69988444,4429897.41309439
58976031.23239452,122870405.7271156,186367471.49147493,4521034.531964814
59475677.764407195,122638726.98963846,186724771.49519852,4610366.741152854
59978180.64432085,122440545.8237684,187116656.257529,4697929.789439751
60482634.436753765,122272335.95241292,187538729.105418,4783758.716251322
60980166.25384519,122131270.0983424,187979324.21837178,4867887.866184187
61471225.13432805,122014158.57247533,188435734.60988203,4950350.903078648
56739958.09707305,124387587.35034738,186158726.27112502,5031180.823704615
57237469.94064283,123979274.31439427,186327154.22614288,5110409.971105769
57736334.97823795,123626400.8804632,186550805.90633437,5188070.047633217
58235952.595476374,123321684.35544617,186821829.0786134,5264192.127690854
58738183.61942624,123059184.53916617,187136174.82880095,5338806.6702085575
59243263.079793036,122834007.77109732,187489214.38174582,5411943.530855475
59750629.333160646,122642142.1758186,187876403.48298222,5483631.974002999
60259610.9039965,122480247.51952918,188293759.10797104,5553900.684445346
60761478.64812071,122345633.31028536,188729889.73729044,5622777.778884385
61257642.606553905,122235533.19552737,189183466.619266,5690290.817184707
56487010.7881896,124736634.7954186,186980112.39701244,5756466.813404223
56982952.944877535,124328273.54162599,187132558.73310885,5821332.246605331
57479150.31801287,123973447.6181009,187337511.0075651,5884913.071451322
57972971.391936444,123665495.08498824,187585701.20551717,5947234.728592479
58466693.1088468,123398777.57103172,187873792.83472472,6008322.154846232
58959695.85699694,123168577.0737177,188196472.72389016,6068199.79317552
59452587.47012776,122970999.39082325,188550478.4634204,6126891.602469396
59946011.987939626,122802865.99766569,188933299.0527352,6184421.067129884
60431230.72776801,122661894.10995175,189333936.04418868,6240811.20646891
60910781.485944346,122545055.28652577,189751921.35638922,6296084.583919111
56194252.45215881,124980821.34533356,187525337.11355454,6350263.316062187
56675986.14447598,124576212.47137862,187655567.69733307,6403369.081478477
57155441.02181651,124223761.66115662,187834625.81239435,6455423.129421226
57631037.238423675,123916784.68629241,188054268.21303517,6506446.28831909
58105198.83161174,123649814.27921881,188311472.0849408,6556458.97411024
58577064.54780028,123418219.20504573,188600764.9512574,6605481.198411402
59046784.445606194,123218129.68232632,188918446.70445767,6653532.576525141
59515824.93961718,123046429.75502415,189262887.02992985,6700632.335288534
59979307.38320211,122900721.11229406,189626827.81626263,6746799.320766436
60436572.71032005,122778453.29740402,190007078.01351643,6792052.005792361
55491362.02189084,125344639.07375376,187672409.59300464,6836408.4973600395
55952200.31486969,124913102.62457846,187745189.48331672,6879886.543868574
56408130.409811325,124535366.38081954,187866000.33285505,6922503.542224154
56858290.42345347,124204492.27720854,188027059.24546307,6964276.544801043
57306656.22559777,123914723.02560185,188226601.51746443,7005222.2662648
57751296.76375159,123661307.31588511,188457961.16989702,7045357.090260309
58194502.44100268,123440178.26241608,188719377.77938616,7084697.075967398
58635906.63874718,123248103.57052968,189007268.17380345,7123257.964526596
59071233.1736909,123082591.38398482,189314879.74301338,7161055.185337658
59501646.91753084,122941227.59525082,189640978.375015,7198103.862233344
54537275.660981156,125449814.68011053,187221509.1606226,7234418.819530924
54971853.63959811,125008517.24874961,187250385.47631156,7270014.587963855
55404490.873697035,124620637.9633755,187330034.24756846,7304905.410495945
55834671.46967495,124279478.2320722,187453254.9497676,7339105.24802045
56264497.306209564,123979567.4197545,187616692.5109103,7372627.784946219
56693495.769041784,123716179.93511587,187815162.13883096,7405486.4346732665
57122520.30294253,123485468.26810522,188045682.91600764,7437694.344959874
57551435.265509054,123284277.63928716,188304977.30797964,7469264.403183429
57978549.400767915,123109805.69697784,188588564.3392428,7500209.241497046
58403456.408867784,122959477.86625999,188893475.51701185,7530541.241884095
53495784.26574589,125440349.9057541,186496406.7126126,7560272.541112599
53921970.456510395,124996977.54465154,186508363.03675348,7589415.03559155
54346655.353568725,124606635.79331699,186571271.5330167,7617980.386130991
54771458.19745645,124262897.57326348,186680335.79332784,7645980.022607916
55197224.40994829,123960461.897089,186831111.45557696,7673425.148539676
55624316.38681305,123694814.01966016,187019457.1520401,7700326.745566877
56053089.91081135,123462226.78097594,187242012.26963472,7726695.577847446
56483520.209279925,123259609.2987167,187495671.70436037,7752542.196363733
56913925.300177306,123084268.12652022,187776070.36984178,7777876.943144261
57343798.84923699,122934184.50879817,188080693.31343704,7802709.9554019
52088360.60246938,125550207.15518755,185465618.927247,7827051.169590076
