Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-826789.6920538741,473080.41067919077,0.0,-0.0,-0.0
9897743.618604522,-11237177.673819216,-819534.6556197653,519899.3995949285,0.0,-0.0,-0.0
9901749.9548598,-11289943.725949802,-833795.3101543833,554398.4609356185,0.0,-0.0,-0.0
9907803.966104822,-11349110.091028057,-860536.1298075357,580769.9951156989,0.0,-0.0,-0.0
9915706.83165701,-11406658.395118712,-889196.6041001804,601754.9593615219,0.0,-0.0,-0.0
9925279.415448545,-11461688.43595501,-917263.1512598656,619145.8692465997,0.0,-0.0,-0.0
9936358.70522462,-11513569.021813238,-943094.8428088621,634115.4737797541,0.0,-0.0,-0.0
9948791.255281938,-11535565.425050225,-939342.6487913673,647431.5209769205,0.0,-0.0,-0.0
9962431.264975563,-11561563.010719867,-939534.6538093183,659597.091934988,0.0,-0.0,-0.0
10644594.632453097,-10892207.580731912,423329.3511089082,670942.2993877232,0.0,-0.0,-0.0
10512532.76459547,-10966197.769272495,262103.41216753412,715768.4168445596,0.0,-0.0,-0.0
10406098.000662098,-11019488.867307214,113173.41239625216,726564.2790413689,0.0,-0.0,-0.0
10320268.029407438,-11079948.764913326,-22704.13740862254,736976.5980972662,0.0,-0.0,-0.0
10251009.590365648,-11144112.02759349,-146030.6401613137,747071.7970665274,0.0,-0.0,-0.0
10195276.742617503,-11206803.421711225,-254632.083530228,756894.5955634939,0.0,-0.0,-0.0
10150757.156264868,-11267562.060482496,-350329.39869881596,766475.5055188116,0.0,-0.0,-0.0
10115605.407945706,-11323044.492904875,-431603.3553380993,775835.7296210692,0.0,-0.0,-0.0
10088346.73364975,-11345810.349119937,-472473.2528759362,784990.362594251,0.0,-0.0,-0.0
10067714.337578425,-11370050.145835107,-508385.3247634197,793950.4834932628,0.0,-0.0,-0.0
10675316.659298783,-10705605.30109404,772435.8815562936,802724.5233515495,0.0,-0.0,-0.0
10523241.821183644,-10793474.703795666,541086.2767029781,811319.1593149991,0.0,-0.0,-0.0
10400091.090735612,-10860863.819900787,358967.1701948635,819739.8993600364,0.0,-0.0,-0.0
10300115.377119862,-10927449.01104851,200657.83089334692,827991.4648219964,0.0,-0.0,-0.0
10218934.371130815,-10998349.91738588,56662.49454326194,836078.0407983281,0.0,-0.0,-0.0
10153199.833403321,-11070345.50718438,-73142.23357223684,844003.4402088216,0.0,-0.0,-0.0
10100314.64160346,-11142048.885456799,-189963.03242499544,851771.2114283431,0.0,-0.0,-0.0
10058227.477185465,-11210344.208791018,-292732.0225657419,859384.7090398107,0.0,-0.0,-0.0
10025283.255011719,-11249290.454285288,-357160.058792987,866847.1404805825,0.0,-0.0,-0.0
10000074.44873387,-11284643.167771943,-410407.1221093136,874161.5969287591,0.0,-0.0,-0.0
10585580.511292404,-10574589.25068885,892322.3344869345,881331.0738833811,0.0,-0.0,-0.0
10427485.989773655,-10684674.357968943,631170.1168071681,888358.4850024565,0.0,-0.0,-0.0
10300850.589185162,-10778527.136023397,417570.1246895135,895246.6715277474,0.0,-0.0,-0.0
