Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180892448.66301954,62981.594599999895
59214105.14779269,121980662.11750358,181315367.0626873,120599.79739103164
59706955.23803828,121866410.32846436,181747752.92115784,174387.3546551833
60200470.18760126,121765978.86751682,182191801.31584254,225352.26072445075
60694400.871976286,121678671.33681317,182647231.70405322,274159.495263782
61188276.26404601,121603816.58669974,183113342.62848985,321249.77774409554
61681486.79111259,121540754.3277937,183589158.28614,366917.16723371367
62165971.42669781,121489026.28396346,184066357.48124605,411359.7705847995
62643097.44011036,121448027.11029936,184545837.42929643,454712.8788867003
61565552.85491817,122141669.70865797,184204293.18561372,497070.62203758647
62047286.54306411,122019864.65894991,184632576.32875434,565425.1267403059
62523985.49811108,121918811.01785877,185050799.78859884,608003.2726289966
62998777.053319,121835811.90776122,185484287.08155602,649698.120475787
63473679.89907397,121768998.54642399,185933219.4965891,690541.0510911375
63948891.93305021,121716878.0400967,186396327.9838175,730558.0106705868
64424235.745947786,121678196.0885134,186872203.1209924,769771.2865312021
64898577.43072017,121651858.34863688,187358636.44891578,808200.6695587231
65362156.49349745,121637431.1990862,187845451.90845665,845864.2158730156
65816374.43864216,121633671.1609073,188332824.3461202,882778.7465707583
64616279.46254406,122397171.75344,187932411.3922643,918960.1762802702
65072782.92656982,122305367.43040667,188332574.08679438,954423.729817866
65523711.26751124,122234350.99619111,188747246.34939015,989184.0856877844
65971166.43701837,122181295.67602792,189175717.58478782,1023255.4717415329
66417480.31609908,122144102.97576383,189618235.02140236,1056651.7295394468
66863785.9388634,122121093.1220417,190074265.41912982,1089386.3582247104
67310529.31806295,122110943.39655879,190542945.25959602,1121472.544974263
67757041.10317084,122112633.38905957,191022597.6788738,1152923.1866433905
68194279.94601135,122125711.06979,191503741.9214228,1183750.9056214325
68622349.58712533,122148985.7268439,191985303.3758402,1213968.0618709696
67470161.80623426,122893515.93253992,191607264.50121412,1243586.762439945
67902996.27714074,122836211.45004936,192011826.59648007,1272618.8692899542
68331752.13131514,122798255.069398,192431083.20670548,1301076.005992333
68757398.87399401,122776977.30218266,192863345.73982978,1328969.5636531198
69181973.27010839,122770415.85322446,193308699.82963634,1356310.70630347
