Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-968713.7997090146,331156.3030240504,0.0,-0.0,-0.0
9897743.618604522,-11237177.673819216,-975504.458410839,363929.5968038548,0.0,-0.0,-0.0
9901749.9548598,-11289943.725949802,-1000114.8302137918,388078.94087621,0.0,-0.0,-0.0
9907803.966104822,-11349110.091028057,-1034767.1092542217,406539.0156690129,0.0,-0.0,-0.0
9915706.83165701,-11406658.395118712,-1069723.0721309055,421228.49133079674,0.0,-0.0,-0.0
9925279.415448545,-11461688.43595501,-1103006.8916845315,433402.12882193393,0.0,-0.0,-0.0
9936358.70522462,-11513569.021813238,-1133329.464101472,443880.85248714424,0.0,-0.0,-0.0
9948791.255281938,-11535565.425050225,-1133572.083805472,453202.08596281597,0.0,-0.0,-0.0
9962431.264975563,-11561563.010719867,-1137413.7597110004,461717.98603330605,0.0,-0.0,-0.0
10436361.530717062,-11167969.521208817,-261948.35886865458,469659.63162310084,0.0,-0.0,-0.0
10355528.585560424,-11225836.353182035,-369269.85230543435,501037.91531617503,0.0,-0.0,-0.0
10290950.548069179,-11263173.172441596,-463627.6051636506,508595.0192087665,0.0,-0.0,-0.0
10239486.183309363,-11309357.882974727,-553988.0567752492,515883.64289011376,0.0,-0.0,-0.0
10198722.85098985,-11361600.372825982,-639927.2393357393,522950.28250039305,0.0,-0.0,-0.0
10166824.156890968,-11414014.608869143,-717364.2102070634,529826.241771113,0.0,-0.0,-0.0
10142329.90158396,-11465152.714375319,-786289.933736631,536532.8790547289,0.0,-0.0,-0.0
10124064.174344061,-11511450.267363654,-844301.0567856452,543085.0362339495,0.0,-0.0,-0.0
10111090.437641965,-11523393.095157178,-862809.3778991528,549493.2796160596,0.0,-0.0,-0.0
10102562.589273999,-11538260.184353892,-879932.2305400337,555765.364539858,0.0,-0.0,-0.0
10599837.054139823,-11091085.869843334,70658.37702552241,561907.1927290328,0.0,-0.0,-0.0
10493781.894218363,-11140764.341497306,-79059.0090930172,567923.4381859257,0.0,-0.0,-0.0
10407090.47091852,-11172427.170999236,-191518.7435865039,573817.9564942142,0.0,-0.0,-0.0
10336156.24893254,-11209738.16151846,-293987.85999713093,579594.0525887887,0.0,-0.0,-0.0
10278182.783838063,-11254987.353605535,-391549.9137294721,585254.6560380004,0.0,-0.0,-0.0
10230982.75886344,-11303603.195448104,-481818.0006988355,590802.4358858276,0.0,-0.0,-0.0
10192840.440158302,-11353544.380496586,-564464.06434349,596239.8759947942,0.0,-0.0,-0.0
10162394.687005315,-11401156.696160095,-637192.684581727,601569.3245730523,0.0,-0.0,-0.0
10138559.166356616,-11417677.04526594,-672324.8520824655,606793.0268268585,0.0,-0.0,-0.0
10120345.514297776,-11434100.405744663,-701841.7448659008,611913.1465809846,0.0,-0.0,-0.0
10603482.184641,-10990619.98709291,229793.9782329463,616931.7806848576,0.0,-0.0,-0.0
10490251.374404218,-11047081.019786628,65021.32331676828,621850.968699178,0.0,-0.0,-0.0
10397348.066959333,-11087143.00850772,-63122.24205511261,626672.6994932742,0.0,-0.0,-0.0
10321030.171244254,-11128409.162057176,-175980.074994387,631398.9158185336,0.0,-0.0,-0.0
10258385.51170085,-11176293.845527992,-281876.81627297937,636031.5175541627,0.0,-0.0,-0.0
10207156.904388707,-11226310.272528848,-378581.00405983604,640572.3640803035,0.0,-0.0,-0.0
10165552.554210376,-11276876.771916833,-466300.9416305019,645023.2760759549,0.0,-0.0,-0.0
10132130.096822616,-11324374.129410148,-542857.9956513888,649386.0369361422,0.0,-0.0,-0.0
10105704.631814776,-11337022.552391779,-577655.5266415032,653662.3939354997,0.0,-0.0,-0.0
10085196.608879369,-11352598.224399272,-609547.5562984606,657854.0592214428,0.0,-0.0,-0.0
10543622.487196727,-10901696.594787484,303888.6031006242,661962.7106913824,0.0,-0.0,-0.0
10429990.853520205,-10965411.085262667,130569.76104718575,665989.9927896464,0.0,-0.0,-0.0
10337327.10733489,-11011271.20540766,-4006.580825267476,669937.5172475036,0.0,-0.0,-0.0
10261694.816474346,-11056040.023641448,-120538.343385429,673806.8637816731,0.0,-0.0,-0.0
10200094.841160769,-11110128.071037013,-232433.64911480434,677599.5807614407,0.0,-0.0,-0.0
10150185.365778409,-11166826.991260344,-335324.4396308389,681317.1858510956,0.0,-0.0,-0.0
10110117.179435654,-11221507.236616021,-426428.89054821734,684961.1666321505,0.0,-0.0,-0.0
10078403.642883275,-11273122.755891446,-506186.1317998313,688532.98120834,0.0,-0.0,-0.0
10053849.063387379,-11295446.701010212,-549563.5788273965,692034.0587954374,0.0,-0.0,-0.0
10035392.877633635,-11318723.670752129,-587864.9928211926,695465.8002973013,0.0,-0.0,-0.0
10491082.964367744,-10879653.763095876,310258.780141011,698829.5788691452,0.0,-0.0,-0.0
10380601.986058995,-10947280.129505834,135448.59702192526,702126.740468762,0.0,-0.0,-0.0
10290988.996295186,-11001387.032499699,-5039.431808266323,705358.604396247,0.0,-0.0,-0.0
10218343.241827266,-11048975.095768657,-122105.39011874027,708526.4638226497,0.0,-0.0,-0.0
10159647.471247444,-11104117.077358734,-232838.01980337955,711631.5863079103,0.0,-0.0,-0.0
10112570.698290296,-11161215.3009547,-333969.3883560307,714675.2143083727,0.0,-0.0,-0.0
10075256.465671144,-11217745.747070272,-424830.71572498395,717658.5656741429,0.0,-0.0,-0.0
10046221.366018703,-11271107.24260688,-504303.04245165,720582.8341365264,0.0,-0.0,-0.0
10024290.589090487,-11295564.432656012,-547824.6537797562,723449.1897857677,0.0,-0.0,-0.0
10008365.238107782,-11323873.92634969,-589249.9087026096,726258.779539298,0.0,-0.0,-0.0
10463376.134024201,-10890004.764475925,302384.0971489681,729012.7276006924,0.0,-0.0,-0.0
10355505.339858739,-10956480.099964002,130737.37580425979,731712.1359095222,0.0,-0.0,-0.0
10268446.196883334,-11006648.74609302,-3844.464627395617,734358.0845822917,0.0,-0.0,-0.0
10198318.722606858,-11054615.770255294,-119345.41530379781,736951.6323446373,0.0,-0.0,-0.0
10142029.90590703,-11107868.747329645,-226345.02446765057,739493.8169549635,0.0,-0.0,-0.0
10097213.818629775,-11160462.390503481,-321262.9162540196,741985.655619686,0.0,-0.0,-0.0
10062012.496249033,-11213730.429049607,-407289.78740032343,744428.1454002506,0.0,-0.0,-0.0
10034951.228947787,-11263950.069989167,-482176.577429291,746822.2636120898,0.0,-0.0,-0.0
10014840.430261742,-11287510.028115572,-523500.6296381514,749168.9682156792,0.0,-0.0,-0.0
10000631.137601031,-11316313.87378826,-564213.5379873827,751469.1981998464,0.0,-0.0,-0.0
10451819.827379992,-10890149.93099851,315393.7703389741,753723.8739574912,0.0,-0.0,-0.0
10345883.058351908,-10952561.187942859,149255.76806291088,755933.897653862,0.0,-0.0,-0.0
10260628.706540382,-11004967.686637493,13761.173490432324,758100.1535875432,0.0,-0.0,-0.0
10192198.147350417,-11050013.83454192,-97592.17864721676,760223.508544286,0.0,-0.0,-0.0
10137488.715089997,-11101421.485548604,-201627.9583147663,762304.81214384,0.0,-0.0,-0.0
10094083.874297542,-11147369.36279158,-288940.5913141266,764344.8971799101,0.0,-0.0,-0.0
10060113.108464174,-11192988.913325613,-366531.22490805644,766344.5799533839,0.0,-0.0,-0.0
10034131.792255482,-11239108.68570949,-436672.23285505,768304.6605989592,0.0,-0.0,-0.0
10014962.283401037,-11262385.004634295,-477196.79782795673,770225.9234053013,0.0,-0.0,-0.0
10001596.472936707,-11290788.122823168,-517082.5127575982,772109.1371288628,0.0,-0.0,-0.0
10455525.27950784,-10866072.721793706,363407.6130156173,773955.0553014845,0.0,-0.0,-0.0
10349453.992788441,-10928875.538523337,196342.87079701538,775764.4165319095,0.0,-0.0,-0.0
10264236.966394674,-10983619.424556898,58155.486639096984,777537.9448013204,0.0,-0.0,-0.0
10195983.050988473,-11035328.615194976,-60069.214453474735,779276.3497530288,0.0,-0.0,-0.0
10141533.329090673,-11087829.71054362,-165316.05447652075,780980.3269764245,0.0,-0.0,-0.0
10098457.695762694,-11136299.225028204,-255190.9709802071,782650.558285302,0.0,-0.0,-0.0
10064883.346355146,-11184678.345256208,-335507.28691038594,784287.7119906758,0.0,-0.0,-0.0
10039350.54044216,-11232339.049236685,-407096.0656263345,785892.4431681918,0.0,-0.0,-0.0
10020671.929110644,-11265145.647100171,-457008.3240692833,787465.3939202434,0.0,-0.0,-0.0
10007794.04906748,-11299397.669360597,-502596.4266602186,789007.1936328966,0.0,-0.0,-0.0
10470334.383942677,-10889742.516116237,371110.3270541666,790518.4592277266,0.0,-0.0,-0.0
10365202.8812327,-10955734.555104585,201468.1215367819,791999.7954086672,0.0,-0.0,-0.0
10280535.211344412,-10996838.94820381,77148.05804457248,793451.794903971,0.0,-0.0,-0.0
10212533.939259777,-11044440.889689708,-37031.91172655148,794875.0387033792,0.0,-0.0,-0.0
10158185.579190401,-11095705.14951954,-141249.47403854644,796270.096290593,0.0,-0.0,-0.0
10115096.030609008,-11142744.418854812,-230010.86237466172,797637.5258711413,0.0,-0.0,-0.0
10081413.415099783,-11188408.426409071,-308017.13671355136,798977.8745957359,0.0,-0.0,-0.0
10055706.197382564,-11234623.319850042,-378625.4436882733,800291.6787792043,0.0,-0.0,-0.0
10036795.304124288,-11264611.15575125,-426236.38751187886,801579.4641150847,0.0,-0.0,-0.0
10023705.91796291,-11301238.239437,-474690.575588119,802841.7458859729,0.0,-0.0,-0.0
10502287.481258277,-10902272.893589767,404093.61683821137,804079.0291697021,0.0,-0.0,-0.0
