Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181115679.1664178,286212.0979982689
59214105.14779269,121980662.11750358,181742818.1879297,548050.9226334096
59706955.23803828,121866410.32846436,182365847.41706902,792481.8505663602
60200470.18760126,121765978.86751682,182990534.6429828,1024085.5878647133
60694400.871976286,121678671.33681317,183618956.26148686,1245884.0526974148
61188276.26404601,121603816.58669974,184251972.89115387,1459880.0404081119
61681486.79111259,121540754.3277937,184889650.98511413,1667409.8662078497
62165971.42669781,121489026.28396346,185524371.51294288,1869373.802281631
62643097.44011036,121448027.11029936,186157511.21272832,2066386.662318573
56471613.84179623,124621894.67787962,183352384.72772098,2258876.2080451106
56960696.133591674,124168956.5970271,183454442.818632,2324790.088013245
57446005.81576392,123771224.3392897,183717083.65437767,2499853.4993240633
57930371.41309167,123421098.13416742,184022754.70819724,2671285.160938138
58415702.682271704,123112457.3228578,184367374.10266688,2839214.0975373588
58902196.61203602,122840378.33951819,184746321.94050914,3003746.988954933
59389656.20229639,122600827.70264669,185155459.3761992,3164975.4712561048
59876954.75358195,122390379.13222803,185590314.80204144,3322980.916231454
60354749.34566001,122206336.49736129,186038923.40606585,3477837.5630445876
60824176.43253059,122045966.32856198,186499757.33405626,3629614.57296369
54887439.80973613,124954558.94029872,183620376.1302755,3778377.380240654
55362830.14200743,124426053.61637282,183713072.34129107,3924188.5829108055
55835497.57341549,123959833.41450632,183862439.52072603,4067108.5328042153
56306885.21095939,123547580.27366212,184061661.21347812,4207195.728856624
56779133.83584465,123182456.26591522,184306097.18349695,4344507.081737098
57253224.04011119,122858894.67797218,184591216.8123229,4479098.094239532
57729527.13666904,122572355.60833557,184912905.7314886,4611022.986483952
58207368.26275957,122319067.64719656,185266770.6948661,4740334.784909962
58678958.76550871,122095984.68033713,185642028.8333146,4867085.387468744
59143728.673819065,121900112.22866288,186035166.51560506,4991325.6131231235
53155759.9148751,124781335.44039795,183050200.59623045,5113105.240957406
53627785.7714173,124221975.22158296,183082234.0353643,5232473.042364025
54100267.66568803,123728410.65202469,183178155.1262877,5349476.8085749885
54573307.80942736,123291874.33860278,183329345.52305305,5464163.375022903
55048425.23593859,122905182.47365181,183530186.35309443,5576578.643504035
55526121.30398356,122562563.39638855,183775452.3031537,5686767.602781584
56006489.28214912,122259244.90716177,184060508.53735942,5794774.348048493
56488732.93721797,121991185.56465755,184380560.60140175,5900642.099526221
56963260.69556768,121755008.92142159,184722682.83737174,6004413.220382463
57432250.09545822,121547178.74642304,185085558.07597092,6106129.23408968
51427595.122111894,124386995.30397025,182020421.26738846,6205830.841306334
51906299.484664544,123817445.79644443,182027303.21744555,6303557.936336568
52386712.23416988,123316030.46044154,182102092.3178183,6399349.623206882
52868317.92131296,122873593.84604186,182235155.998742,6493244.2313872
53353202.93938116,122482722.60449378,182421204.8750512,6585279.331176236
53841633.59316785,122137375.49492383,182654500.83685794,6675491.748766259
54333066.725982495,121832623.38094938,182929607.687931,6763917.58099913
54826953.83944312,121564346.52282289,183241892.5720893,6850592.209823311
55316145.76234091,121329199.96929066,183580896.04809168,6935550.3164601205
55801042.50389501,121123894.60683161,183943763.00601318,7018825.895286548
49715577.82821351,124083806.52054985,180899836.6162046,7100452.267441235
50204158.03120796,123508438.39264408,180893058.51801178,7180462.094159763
50696014.822633296,123001665.04196993,180956567.25444824,7258887.389845004
51188960.78025395,122554699.46021648,181079419.7753486,7335759.534878171
51684563.14136309,122160037.4094836,181255709.83902243,7411109.288175734
52182688.95864416,121811641.72328094,181479297.48142257,7484966.799497473
52683909.975158915,121504556.59515749,181745828.191827,7557361.62151061
53187762.89517322,121234662.07597595,182050747.6927641,7628322.721614941
53688295.74607395,120998827.72414319,182385001.96375084,7697878.493533714
54186009.9539603,120793493.85839738,182745560.5810326,7766056.768674904
47962145.64035431,123912699.8483609,179707730.31598267,7832884.827267482
48457191.67382139,123324411.71666627,180511402.2112676,8729798.82077994
48953313.54289855,122805370.24253865,180559448.58686972,8800764.801432507
49449768.13151401,122346734.97867335,180666828.4674322,8870325.357244821
49948049.72826146,121941120.47610907,180827678.52590933,8938508.3215388
50447639.077902704,121582517.95205215,181035498.00637436,9005340.976419518
50949208.74105887,121265906.12513849,181285964.92988902,9070850.063691638
51452731.56511526,120987073.68914755,181574867.04982245,9135061.795559632
51954352.25507653,120742677.85218547,181895031.97237808,9198001.865116093
52453956.70956862,120529422.91159523,182243075.07778618,9259695.456622338
45666443.606365845,123866646.52852467,178853257.3904759,9320167.2555854
46156890.47904326,123246877.46824186,178783209.40592057,9379441.458635462
46649019.33494943,122698671.50035945,178785232.61851656,9437541.783207698
47141463.88121212,122213044.82017878,178849000.1784232,9494491.477032308
47635946.45823864,121782461.63380083,178968721.41947615,9550313.327436682
48129307.06844065,121400461.43031849,179134798.16922244,9605029.670463296
48621654.91888161,121061673.22086155,179341990.53955022,9658662.399807071
49115253.73779218,120761889.8511679,179588376.56453577,9711232.975575691
49605375.23454642,120497633.15861546,179865770.82603836,9762762.432876471
50094462.171536304,120265616.97876222,180173350.54053167,9813271.390233142
43202283.52499309,123642601.74725412,176707665.33008316,9862780.057835963
43684772.1712726,123002977.48047586,176599057.8973769,9911308.245628444
44172944.46882862,122436206.57663377,176568026.41669628,9958875.371233886
44666412.74326663,121933452.11493886,176605365.32593048,10005500.467725022
45165488.01946492,121487409.64981513,176704099.86051974,10051202.191239696
45668009.59875066,121091754.07223302,176855762.49942943,10095998.82844577
46173876.93523039,120741209.51675524,177054994.75584382,10139908.30385819
46682733.48792027,120431468.1458153,177297149.8207467,10182948.187011125
47193115.14378745,120158698.09936446,177576948.94263998,10225135.699488083
47707192.31606713,119919457.44362462,177893137.48150456,10266487.721812805
40784023.62893393,123337310.84984285,174428355.27898046,10307020.800203677
41287032.3607461,122691444.52586167,174325228.03980213,10346751.15319437
41792807.54369488,122119279.10195717,174297781.32377547,10385694.678123407
42303757.787331164,121611959.0633257,174339583.80815202,10423866.957495142
42821021.828902654,121162175.09822847,174444480.19234592,10461283.265214816
43343019.680809684,120763680.69425692,174604658.94776672,10497958.572700122
43869943.51874217,120411214.69747584,174815065.77108973,10533907.55487173
44401132.958910435,120100430.88865314,175070708.44358873,10569144.596025154
44936181.151372805,119827538.18102008,175367403.12797928,10603683.795586389
45474874.173825085,119589545.87851802,175701959.02609658,10637538.973753486
38522483.11743968,123027793.8343423,172221000.62880847,10670723.677026479
