Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181037931.97165585,208464.90323631233
59214105.14779269,121980662.11750358,181593944.60040683,399177.3351105392
59706955.23803828,121866410.32846436,182150576.1507172,577210.5842145402
60200470.18760126,121765978.86751682,182712350.1000879,745901.0449698417
60694400.871976286,121678671.33681317,183280521.96477705,907449.7559876108
61188276.26404601,121603816.58669974,183855408.3202482,1063315.469502416
61681486.79111259,121540754.3277937,184436712.62044427,1214471.5015379759
62165971.42669781,121489026.28396346,185016571.2833042,1361573.5726429515
62643097.44011036,121448027.11029936,185596194.03776473,1505069.4873549796
58441865.303012006,123648033.14655001,183735169.2589594,1645270.809397373
58928423.95202355,123328620.54598656,182869562.253703,612517.7556928585
59410465.615538634,123049850.36538096,183118958.09353954,658642.1126199291
59891040.36332034,122806280.49405527,183401130.46153295,703809.6041573206
60372161.16429065,122593680.99938716,183713896.38841054,748054.2247327404
60854071.885559134,122408611.32748327,184054087.29456797,791404.0815255637
61336593.939698845,122248226.16913444,184418703.42693254,833883.318099252
61818602.004358865,122110085.4434575,184804200.82148173,875513.3736653699
62290482.76479522,121992465.27280998,185199261.84579116,916313.8081859605
62753603.50643667,121893225.12893085,185603131.47910586,956302.8437383573
61574007.78335399,122592629.62678283,185162135.13057122,995497.7204343973
62037490.55167531,122420449.17100936,185336816.57997924,878876.8572945728
62495481.890798695,122273528.61083566,185679896.27841717,910885.7767828013
62950118.203291066,122148897.1402808,186041275.6050443,942260.2614724296
63403823.40265654,122044229.01296496,186421065.4729244,973013.0573028844
63857797.43694946,121957588.69558626,186818542.727436,1003156.594900278
64312518.56743041,121887380.15339743,187232601.73844585,1032703.0176179896
64767360.59278581,121832300.95175703,187661325.74601084,1061664.201467992
65213277.61016919,121791623.03172968,188094952.41162038,1090051.76972151
65650412.676566966,121763941.96442105,188532231.7449833,1117877.1039952503
64687178.18809701,122403305.16061407,188235634.70172167,1145151.3530105988
65127708.975486375,122308489.27205889,189249416.81920826,1813218.5716630036
65564157.59368692,122234128.32069375,189652050.01778948,1853764.1034088084
65997591.23741023,122177653.53828827,190068751.42732877,1893506.651630265
66430118.10930767,122137083.76701008,190499663.99907959,1932462.122761824
66862572.7960663,122110880.84755394,190944099.75046316,1970646.106842897
67295228.98659843,122097754.36895926,191401057.23982003,2008073.88426234
67727333.55079992,122096606.55472305,191868700.5377265,2044760.4322035196
68147510.23121531,122106963.98557481,192335194.6476435,2080720.4308533769
68558392.72016147,122127234.05030347,192801595.03988263,2115968.269417707
66786910.21039459,123184571.92007428,192122000.18243992,2150518.0519710467
67202265.9235959,123081875.88122648,192702994.28160724,2418852.4767848453
67613421.25089191,123002929.97033477,193071961.66254234,2455610.441315638
68021202.40683398,122944604.40823378,193457447.25846276,2491640.4433950195
68428530.72817796,122904402.08835676,193859889.71633804,2526956.899803323
68836436.01905836,122880337.12360421,194278347.0844489,2561573.941786314
69244461.99574317,122870819.8661274,194710787.28258803,2595505.4207174885
69651907.1787394,122874567.9121217,195155240.00450674,2628764.9136456395
70049982.35903445,122891022.11102979,195602370.1987951,2661365.728730846
70438891.8476261,122918901.99445918,196051114.752657,2693320.910571701
68476594.80682574,124037664.61986305,195238902.6721151,2724643.2454263037
68874059.22421119,123936972.84681535,197197231.3444343,4386199.273407758
69268971.80638693,123861597.76737022,197564675.09197766,4434105.518220494
69660734.91157968,123808169.7768015,197949967.70630968,4481063.017928489
70051353.70593174,123773918.1912521,198352362.45885968,4527090.561675853
70441836.82937996,123756646.60144052,198770689.99732262,4572206.566502145
70832327.06196618,123754602.97110096,199203359.1177789,4616429.084711769
71222180.19138475,123766381.37816562,199648337.38064775,4659775.811097387
71603463.20836332,123791813.34484372,200097540.64322725,4702264.090020212
71976021.80283879,123829095.54298449,200549028.26817334,4743910.922350085
68558599.24588941,125654275.72053291,198997607.9386904,4784732.972268073
68941891.5646732,125469728.34918515,199961975.15305367,5550355.239195303
69321214.39251298,125321127.65772195,200237817.04655245,5595474.996317542
69697359.31285647,125203140.05351962,200540200.55888903,5639701.192512947
70072220.00665723,125111569.27386765,200866840.80457035,5683051.524045461
70446484.40293059,125043158.82653306,201215186.56618223,5725543.336718569
70820451.15180115,124995286.276002,201582931.06061906,5767193.6328159105
71193602.93880573,124965768.80181947,201967390.8185296,5808019.077904401
71558587.16262102,124953735.83778915,202360359.0079128,5848036.007502649
71915311.4803756,124957174.89735967,202759746.81135255,5887260.433617302
67861948.04820603,127023235.77999607,200810891.87935203,5925708.051149936
68233508.51847646,126768625.7982421,201036831.16213566,6034696.845417073
68603658.23603491,126557516.26286402,201233252.87145278,6072078.37255385
68970678.48445252,126383807.63119254,201463205.7039031,6108719.588258057
69336858.90740283,126242202.04318096,201723696.10439298,6144635.153809186
69701345.87865435,126128538.10823509,202009723.42702118,6179839.440131743
70064205.5864488,126039495.15695827,202318047.27695256,6214346.533545501
70425807.72978559,125972456.3085708,202646434.27975824,6248170.241401855
70778180.650626,125926000.50830045,202985505.25653505,6281324.097608588
71122751.36910091,125897980.21854791,203334552.95569402,6313821.368045196
66962723.50832096,128022690.00433613,201331088.56852806,6345675.055870974
67321526.74673341,127731749.90180649,200725470.07569024,5672193.427150332
67679814.80424133,127486661.49739096,200865892.1630487,5699415.8614164265
68036032.34444758,127281152.27327195,201043283.79472893,5726099.177009392
68391425.12775743,127109891.6918525,201253570.87035593,5752254.050746036
68746305.59501036,126968477.06012245,201492673.6031301,5777890.947997293
69100803.01367669,126853528.2814498,201757351.42200223,5803020.1268757535
69454606.2648071,126762267.62757722,202044525.53472456,5827651.64234023
69803458.17428052,126692812.30536927,202348065.82986888,5851795.350219075
70146790.92370704,126642795.65636727,202665047.4912281,5875460.91115379
66490816.676799886,128521215.44258012,200910689.91384456,5898657.794464556
66846283.33335779,128244512.44447848,257311160.98982605,62220365.2119898
67199869.19646113,128010633.95899662,257665055.92138124,62454552.76592347
67551464.43726456,127813962.52945064,258049529.3882086,62684102.42149338
67902465.31525746,127649679.27473141,258461250.61857915,62909106.02859025
68252564.07796006,127513771.10699952,258895988.80305028,63129653.618090674
68601672.15239727,127403071.6322631,259350577.22254172,63345833.43788135
68950076.68625493,127315056.78598115,259822865.46040577,63557731.988169685
69294049.51515494,127247958.18825758,260307441.75950778,63765434.05609524
69632676.49948034,127200196.33273384,260801895.58186987,63969022.7496557
27629253.876487803,147570700.649903,239368534.05735165,64168579.53096086
