period,oha,ohv,ogs,ocp,ocf
1,40893.060526201756,9127764.000000002,95844411.512239,157207288.20658755,-1633709.7813339978
2,38848.407499891684,8671375.800000016,97376394.98075883,156467421.42698973,-1746969.1197983061
3,42644.68881319106,8671375.800000018,98999595.17381538,155490293.14749444,-1861809.5843217599
4,42937.71355251183,8671375.800000012,100444611.36108702,155655033.44982952,-1958426.3341832347
5,42937.713552511865,8671375.800000018,101774128.91247506,155715365.43549463,-1952948.379386408
6,42937.713552511836,8671375.800000014,102982397.71813527,156062877.07621288,-1930628.4195703664
7,42937.7135525119,8671375.80000002,103843627.63581976,156223910.8031515,-1886841.0010059525
8,40301.79016165553,8671375.800000012,103908616.23691183,156184564.2379477,-1899115.2389918282
9,38848.40749989175,8671375.800000016,103389925.67426628,156745186.05967668,-1971565.247343456
10,38848.40749989166,8671375.800000008,103039170.11862375,157343076.6307629,-2012577.889439093
