Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181039405.64041954,209938.5720000002
59214105.14779269,121980662.11750358,181596766.4431285,401999.17783222615
59706955.23803828,121866410.32846436,182154656.53640717,581290.9699045127
60200470.18760126,121765978.86751682,182717622.9832146,751173.9280964951
60694400.871976286,121678671.33681317,183286936.8592713,913864.6504818616
61188276.26404601,121603816.58669974,183862925.05217296,1070832.2014271924
61681486.79111259,121540754.3277937,184445297.89637524,1223056.7774689407
62165971.42669781,121489026.28396346,185026196.4452011,1371198.7345398308
62643097.44011036,121448027.11029936,185606833.59318274,1515709.0427729988
58582470.25367743,123537294.2376989,183776665.95975745,1656901.4683810961
59068649.95327354,123236638.38321759,184010538.09599015,1705249.7594990109
59550616.3211902,122974467.12816586,184358743.44321302,1833659.993856974
60031266.80516292,122745747.70665856,184736420.8262797,1959406.314458221
60512580.02048883,122546582.48321442,185141745.86551094,2082583.3618076735
60994795.407579094,122373745.97180979,185571810.76569661,2203269.3863077476
61477740.49249658,122224555.00683165,186023827.10298026,2321531.6036520335
61960284.51926212,122096713.6510699,186494427.870949,2437429.700616998
62432827.71537865,121988614.86349979,186972460.71102586,2551018.13214743
62896696.33225041,121898246.25975601,187457290.2205228,2662347.6285163746
58834107.12947954,123930474.56254672,185536047.87823066,2771466.1862044074
59303235.12141966,123590402.00965823,185772056.85238534,2878419.7213074565
59768851.671636455,123294280.12640867,186046384.30035934,2983252.5023142025
60232447.726033404,123036422.96527989,186354878.1299157,3086007.4386024107
60696266.22239351,122812209.70185803,186695202.1987967,3186726.274545151
61161403.744923495,122617755.18602815,187064608.6527809,3285449.7218292207
61628258.73217376,122449946.42305495,187460422.7065199,3382217.551291184
62096167.83744826,122306212.16812067,187879448.6637636,3477068.6581946826
62556494.67908854,122184680.56166683,188311216.3508046,3570041.110049221
63009197.86459564,122083126.76903403,188753496.81654847,3661172.182918809
58912111.962474085,124110713.49447656,186773323.84705994,3750498.390109308
59371198.13714749,123763086.02667429,186972339.66959932,3838055.5057775457
59829379.636482336,123461429.09413622,187214687.31574443,3923878.585125856
60286801.06667516,123199767.76499309,187494570.81393927,4008001.9822710184
60745209.604735576,122973260.89264904,187808929.86388564,4090459.3665010463
61205244.08339406,122777884.56744595,188154412.38822785,4171283.737387823
61667040.8551533,122610373.06190474,188527921.35612127,4250507.439063214
62129826.47032693,122467945.16690889,188925933.8110972,4328162.17386139
62582592.92845679,122348540.24522988,189335412.18914828,4404279.015461603
63028132.48316495,122249330.98001936,189756351.8848051,4478888.421620789
58913722.89196642,124272189.95784217,187737933.09636465,4552020.246556073
59365970.98490062,123927896.80857447,187917571.54649314,4623703.75301805
59817880.99391161,123630245.13002111,188142093.74801588,4693967.62408316
60269008.304312676,123373198.62010463,188405046.8991025,4762839.974685177
60721953.96147435,123151883.72463715,188704186.049012,4830348.362900494
61177440.449303746,122962255.45193662,189036215.70223862,4896519.800998236
61634837.453027196,122801012.29845035,189397230.51774144,4961380.766263907
62093315.38898571,122665372.1538795,189783644.75446892,5024957.211603716
62544473.87485816,122553432.6878586,190185181.13865235,5087274.575935614
62989111.34118465,122462681.02133486,190600150.15689194,5148357.7943724515
58856661.2807086,124527727.53806305,188592620.1269737,5208231.308202043
59305003.8119299,124191067.63788554,188762990.52448413,5266919.074668696
59754412.01714663,123900841.83526804,188979698.4289751,5324444.576560431
60203502.06446619,123651236.80200268,189235569.69807482,5380830.831605938
60653566.781323984,123437382.77222668,189527049.95523584,5436100.401685185
61104997.206248656,123255204.90218522,189850477.5102913,5490275.401857445
61557542.514949605,123101373.47417188,190202293.49833193,5543377.509210446
62010913.721315324,122973136.24828494,190579477.94113442,5595427.971534169
62457492.37786679,122868981.3097021,190972921.30339172,5646447.615822836
62898497.66187643,122786046.63764407,191381001.156129,5696456.856608497
58735370.62707836,124914782.55338709,189395628.884595,5745475.704129551
59175335.75245404,124584312.37074354,189553171.89553505,5793523.772337476
59613737.389028594,124299537.27831334,189753894.954087,5840620.286745028
60050777.031242676,124054743.25685064,189992304.38021225,5886784.092118913
60487874.4156065,123845013.20609106,190264921.28171778,5932033.660020217
60924975.839563124,123666488.7555926,190567851.69135115,5976387.096195423
61362705.93470542,123515912.60241497,190898480.68494147,6019862.147821098
61800942.65036002,123390508.52808006,191253927.38904515,6062476.210605073
62233876.96890365,123288543.55772345,191626666.8623741,6104246.335747011
62661707.80923744,123207643.45589764,192014540.5018962,6145189.236761123
58453055.0168689,125361776.99606335,190000153.30909598,6185321.296163752
58875516.19830975,125031835.4730233,190132010.24336156,6224658.572028527
59297216.0334413,124746730.48579688,190307163.32364985,6263216.804411677
59717144.19275981,124501302.56169331,190519458.17610326,6301011.421650145
60136719.254905686,124290694.4107007,190765471.2121413,6338057.546534924
60554197.513598084,124110821.07625666,191039388.59221688,6374370.002362142
60969669.67468655,123958358.81237079,191337991.80592167,6409963.318864337
61384366.33613628,123830686.34352875,191659904.41768926,6444851.738024237
61791991.804139666,123726221.0082176,191997262.0321307,6479049.219773426
62194555.93471347,123642724.41101594,192349849.79330754,6512569.447578139
58039209.584177256,125720689.28212191,190305324.7002136,6545425.833914436
58438810.87017598,125400729.84026186,190417172.23607278,6577631.525634951
58839468.22724774,125124385.22987603,190573052.86635312,6609199.409229348
59241303.16164358,124886604.29842956,190768049.57605377,6640142.115980612
59644729.047415905,124682932.76251747,190998133.83695257,6670472.027019204
60047911.44655425,124509393.01782733,191257505.7426587,6700201.278277135
60450212.86347988,124362821.5632401,191542376.19206393,6729341.765343938
60853036.03116071,124240777.17664778,191851718.35603493,6757905.148226438
61252939.827921644,124141408.07971533,192180250.76365128,6785902.856014304
61652033.88135232,124062400.81224725,192527780.78505275,6813346.091453161
57481752.49917318,126175667.84134984,190497666.17595017,6840245.835427164
57880110.25678246,125859491.39571783,190606214.50385305,6866612.851352778
58279820.05769016,125586945.4215163,190759223.16869202,6892457.689485582
58682097.61148152,125353149.63521826,190953037.93784148,6917790.691141706
59087460.45730549,125153693.99694066,191183776.4470819,6942621.992835742
59494990.946883686,124984817.30666637,191446769.78388673,6966961.530336669
59904494.95430191,124843451.469982,191738765.46692735,6990819.042643455
60315997.97836784,124727130.10527313,192057332.1595229,7014204.0758819375
60726858.42368828,124634184.32928261,192398168.7400954,7037125.987124519
61137137.2936176,124562905.57419218,192759636.815944,7059593.94813422
56945387.08611838,126694406.67190705,190721410.70706,7081616.949034583
