Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1016021.8874227852,283848.2153102797,0.0,-0.0,-0.0
9897743.618604522,-11237177.673819216,-1027494.4496325478,311939.6055821459,0.0,-0.0,-0.0
9901749.9548598,-11289943.725949802,-1055554.7309711862,332639.04011881567,0.0,-0.0,-0.0
9907803.966104822,-11349110.091028057,-1092844.166029864,348461.95889337047,0.0,-0.0,-0.0
9915706.83165701,-11406658.395118712,-1129898.6274002534,361052.93606144894,0.0,-0.0,-0.0
9925279.415448545,-11461688.43595501,-1164921.5396571353,371487.48084933014,0.0,-0.0,-0.0
9936358.70522462,-11513569.021813238,-1196741.0740033982,380469.2425852181,0.0,-0.0,-0.0
9948791.255281938,-11535565.425050225,-1198315.2997400803,388458.8700282075,0.0,-0.0,-0.0
9962431.264975563,-11561563.010719867,-1203373.533940944,395758.21180336236,0.0,-0.0,-0.0
10298583.151787143,-11303364.532144452,-602216.0448280666,402565.33552924317,0.0,-0.0,-0.0
10247879.763668736,-11362468.699258626,-726028.9804432911,388559.9551465982,0.0,-0.0,-0.0
10208680.540105194,-11400281.287481133,-797180.1819645668,394420.5654113734,0.0,-0.0,-0.0
10178777.902175657,-11446696.505113846,-867845.6363728666,400072.96656532114,0.0,-0.0,-0.0
10156520.15048031,-11499447.751472222,-937374.3841579575,405553.21683395514,0.0,-0.0,-0.0
10140617.049135683,-11552307.098576358,-1000804.4568639884,410885.59257668676,0.0,-0.0,-0.0
10130035.07840679,-11603803.776942957,-1057682.041124972,416086.65741119505,0.0,-0.0,-0.0
10123937.621673763,-11650375.778642455,-1105270.2356015258,421167.921367167,0.0,-0.0,-0.0
10121659.923030764,-11662343.060949925,-1114545.5591967213,426137.5787224391,0.0,-0.0,-0.0
10122587.451896,-11677200.719655083,-1123611.6239386387,431001.64382044435,0.0,-0.0,-0.0
10457976.33632016,-11404069.618766362,-510328.5889387933,435764.6935074086,0.0,-0.0,-0.0
10395925.19765361,-11450238.275752194,-613882.7255793097,440430.3525192745,0.0,-0.0,-0.0
10346531.391518634,-11478516.742479138,-686983.7400604475,445001.610900058,0.0,-0.0,-0.0
10307444.502913537,-11512304.966405077,-755379.4318314493,449481.0316600897,0.0,-0.0,-0.0
10276863.709462058,-11554118.66051913,-823384.0643479091,453870.88670916395,0.0,-0.0,-0.0
10253374.887362923,-11599630.381994318,-888082.2487135979,458173.2459177973,0.0,-0.0,-0.0
10235861.469524987,-11646457.687492942,-948206.1824215346,462390.03554642084,0.0,-0.0,-0.0
10223438.008688513,-11690897.848434012,-1000936.7630913649,466523.0766541329,0.0,-0.0,-0.0
10215409.248332798,-11703814.043448495,-1017830.6846946725,470574.1104210231,0.0,-0.0,-0.0
10211097.667542024,-11715528.960067332,-1029886.4776102894,474544.8149150193,0.0,-0.0,-0.0
10530289.465185935,-11436063.657211535,-427337.3757616069,478436.816263994,0.0,-0.0,-0.0
