Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-429056.4482116249,71125.11794881447,0.0,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-427689.8008614666,78164.10335955101,0.0,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-426766.2252470384,83350.85333183833,0.0,-0.0,-0.0
1628126.27130303,-2142533.651920808,-427091.70769775077,87315.67292002747,0.0,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-428088.1076361162,90470.65043218652,0.0,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-429651.09838857857,93085.28102963087,0.0,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-431481.76208478794,95335.88127439505,0.0,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-432641.3048202979,97337.87798812642,0.0,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-432490.25312237826,99166.90673202425,0.0,-0.0,-0.0
1862848.1949148502,-2021216.0336998405,-57495.240589074994,100872.59819591529,0.0,-0.0,-0.0
1832545.4524075256,-2041860.8847717901,-111952.22502551822,97363.20733874629,0.0,-0.0,-0.0
1809175.4052389339,-2061162.5207690895,-153155.38884250846,98831.72668764731,0.0,-0.0,-0.0
1791261.126821729,-2079231.934474495,-187722.7335051598,100248.07414760611,0.0,-0.0,-0.0
1777700.8763439965,-2097299.456272056,-217977.29493845595,101621.28498960324,0.0,-0.0,-0.0
1767641.6875594826,-2113538.2445902494,-242939.11478107783,102957.44224968889,0.0,-0.0,-0.0
1760419.0366193643,-2129244.2621521456,-264564.5291850901,104260.69634769141,0.0,-0.0,-0.0
1755519.045994872,-2145563.7378736828,-284510.7604755371,105533.93140327388,0.0,-0.0,-0.0
1752536.6441338316,-2160517.306675688,-301201.4618485412,106779.20069331517,0.0,-0.0,-0.0
1751144.6597517352,-2175459.502745794,-316316.83173528675,107998.01125877237,0.0,-0.0,-0.0
1919663.2059090098,-1976632.0859764998,52222.62987300257,109191.5099404924,0.0,-0.0,-0.0
1881462.7359538577,-1994903.0220458715,-3079.681087227422,110360.6050047863,0.0,-0.0,-0.0
1850863.7929115463,-2013941.3769248228,-51571.53833290831,111506.04568036825,0.0,-0.0,-0.0
1826360.9497449729,-2032140.4047752104,-93150.9808380276,112628.47419220988,0.0,-0.0,-0.0
1806814.2268568294,-2049545.0880633907,-129002.40138364286,113728.45982291852,0.0,-0.0,-0.0
1791321.4947755036,-2065798.5775613547,-159670.56155663577,114806.52122921524,0.0,-0.0,-0.0
1779172.9958146487,-2081721.7337993209,-186685.59690187304,115863.14108279909,0.0,-0.0,-0.0
1769810.2636850209,-2097933.916663676,-211224.87728405488,116898.77569460026,0.0,-0.0,-0.0
1762783.8538771058,-2113537.574467635,-232839.8592306209,117913.86135990817,0.0,-0.0,-0.0
1757736.8752300676,-2128769.821054966,-252124.12726518326,118908.81855971534,0.0,-0.0,-0.0
1926734.0960596837,-1925809.2535328662,120808.89728697944,119884.05476016199,0.0,-0.0,-0.0
1885443.2669236837,-1941710.4723081216,64572.760910431694,120839.9662948697,0.0,-0.0,-0.0
1851796.3766020816,-1957500.2642603316,16073.051988708015,121776.93964695811,0.0,-0.0,-0.0
1824358.84064955,-1973792.061869898,-26737.868882578638,122695.35233776942,0.0,-0.0,-0.0
1802024.2612912846,-1989414.5935626875,-63794.758713809715,123595.57355759313,0.0,-0.0,-0.0
1783905.0392670154,-2004511.6061926712,-96128.60229883766,124477.96462681812,0.0,-0.0,-0.0
1769293.852035392,-2019011.6752466827,-124374.94386598123,125342.87934530932,0.0,-0.0,-0.0
1757640.6127347907,-2033833.7117063752,-150002.4347037876,126190.66426779714,0.0,-0.0,-0.0
1748500.805512972,-2048379.38205108,-172856.91760811995,127021.65892998794,0.0,-0.0,-0.0
1741505.8404314406,-2062040.6199604215,-192698.58348742028,127836.19604156038,0.0,-0.0,-0.0
1909895.70763477,-1864507.6841746056,174022.6251167928,128634.60165662834,0.0,-0.0,-0.0
1867347.9465287395,-1879502.4846950811,130885.51982842798,143040.0579947696,0.0,-0.0,-0.0
1832400.1585302844,-1893722.200273562,82565.85801112938,143887.89975440703,0.0,-0.0,-0.0
1803675.3123431504,-1906798.4838987645,41595.77905337274,144718.9506089869,0.0,-0.0,-0.0
1780051.6397932013,-1919113.367054995,6471.815852511907,145533.54311430556,0.0,-0.0,-0.0
1760651.3833591824,-1933173.7208657614,-26190.334275180125,146332.003231399,0.0,-0.0,-0.0
1744805.092060405,-1947166.9528894352,-55247.21036884829,147114.65046018187,0.0,-0.0,-0.0
1731981.5700730449,-1960556.2507799831,-80692.88273755042,147881.7979693879,0.0,-0.0,-0.0
1721720.8889508117,-1972999.6541396698,-102645.01246560825,148633.75272324975,0.0,-0.0,-0.0
1713636.5504322806,-1985830.1004398065,-122822.73440230486,149370.81560522114,0.0,-0.0,-0.0
1885020.3098780417,-1779013.2305342483,256100.3608827483,150093.28153895494,0.0,-0.0,-0.0
1840082.3249502813,-1793464.090987129,197419.67356984617,150801.43960669392,0.0,-0.0,-0.0
1803009.8349431166,-1807984.515642847,146520.89246546073,151495.5731651912,0.0,-0.0,-0.0
1772387.190022607,-1819626.0141487874,104937.13583307355,152175.95995925379,0.0,-0.0,-0.0
1747077.707352118,-1832662.229814945,67258.3497701565,152842.87223298344,0.0,-0.0,-0.0
1726221.130049518,-1847525.815980923,32191.890907374604,153496.57683877947,0.0,-0.0,-0.0
1709134.4953805963,-1862377.3595736485,894.4711511082132,154137.3353441604,0.0,-0.0,-0.0
1695245.172108723,-1877295.197657293,-27284.621412114968,154765.40413645492,0.0,-0.0,-0.0
1684085.2759580337,-1892067.7355706114,-52601.42508716803,155381.0345254097,0.0,-0.0,-0.0
1675263.6895077296,-1906261.2839445246,-75013.12159303576,155984.47284375908,0.0,-0.0,-0.0
1853375.5017835568,-1690542.4437132317,319409.0186161236,156575.96054579856,0.0,-0.0,-0.0
1805550.501395086,-1706399.0250962323,256307.21060285717,157155.73430400345,0.0,-0.0,-0.0
1766109.1329100155,-1722278.0056253213,201555.15338842713,157724.0261037327,0.0,-0.0,-0.0
1733551.3615628823,-1736948.6813089014,154883.74359003623,158281.06333605538,0.0,-0.0,-0.0
1706698.7065899828,-1752495.0638692062,113030.71160951495,158827.0688887384,0.0,-0.0,-0.0
1684620.0191896423,-1767811.433294267,76170.84713080733,159362.26123543194,0.0,-0.0,-0.0
1666565.062781724,-1784149.5314892922,42302.38581551988,159886.85452308803,0.0,-0.0,-0.0
1651912.547775704,-1798513.5037998706,13800.102633481118,160401.05865764775,0.0,-0.0,-0.0
1640154.8036299031,-1814943.557863775,-13883.674845840578,160905.07938803136,0.0,-0.0,-0.0
1630889.739820092,-1830262.8200401284,-37973.96183157133,161399.11838846502,0.0,-0.0,-0.0
1809399.863826425,-1619134.085565249,352149.15160035307,161883.37333917685,0.0,-0.0,-0.0
1761049.5168063967,-1636806.7806001857,286600.774211706,162358.03800549507,0.0,-0.0,-0.0
1721377.8453257864,-1654096.887810227,230104.25983093877,162823.30231537958,0.0,-0.0,-0.0
1688799.5882015615,-1671905.6514739587,180173.28916302058,163279.35243541782,0.0,-0.0,-0.0
1662097.8665287879,-1688651.93460863,137172.30276547378,163726.370845316,0.0,-0.0,-0.0
1640314.8661553797,-1707367.9917848425,97111.41078145186,164164.53641091465,0.0,-0.0,-0.0
1622679.140722555,-1726211.4409305386,61061.72424777495,164594.02445575857,0.0,-0.0,-0.0
1608541.0184764918,-1743749.8619717234,29806.16333601746,165015.0068312491,0.0,-0.0,-0.0
1597368.0949420808,-1761453.0569612503,1342.6899662378128,165427.65198540714,0.0,-0.0,-0.0
1588739.354715443,-1777686.0467598012,-23114.56701408379,165832.12503027442,0.0,-0.0,-0.0
1765026.8259773317,-1580190.1199650217,351065.29382028995,166228.5878079799,0.0,-0.0,-0.0
1718279.4578558211,-1602632.8284804518,282263.82833086705,166617.19895549773,0.0,-0.0,-0.0
1680291.0849135963,-1624009.539137689,223279.65974403068,166998.11396812325,0.0,-0.0,-0.0
1649409.8840779066,-1645187.7702938959,171593.59904570153,167371.4852616906,0.0,-0.0,-0.0
1624380.285658912,-1664364.616992974,127753.13089949774,167737.4622335597,0.0,-0.0,-0.0
1604219.7398184757,-1686090.924437673,86225.00670319701,168096.1913223945,0.0,-0.0,-0.0
1588145.4078342556,-1707721.498291148,48871.72560986494,168447.81606675757,0.0,-0.0,-0.0
1575515.4777008288,-1728337.3731551063,15970.581708266778,168792.47716254432,0.0,-0.0,-0.0
1565804.676184086,-1748179.6012571007,-13244.612553734856,169130.31251927983,0.0,-0.0,-0.0
1558597.838062946,-1767362.7092478867,-39303.41386964006,169461.45731530065,0.0,-0.0,-0.0
1733190.3085949805,-1569152.818604652,333823.53404217225,169786.0440518438,0.0,-0.0,-0.0
1688272.2868753048,-1595161.9456240905,263214.543857279,170104.20260606456,0.0,-0.0,-0.0
1652076.3366500034,-1620271.6166381268,202220.78029488106,170416.06028300454,0.0,-0.0,-0.0
1622942.5019204433,-1643662.4912843602,150001.75250261324,170721.74186653004,0.0,-0.0,-0.0
1599603.4133401772,-1665618.9793800022,105005.80362943701,171021.3696692621,0.0,-0.0,-0.0
1581070.0006613503,-1688257.1667895853,64127.897453282465,171315.06358151755,0.0,-0.0,-0.0
1566561.3036607273,-1711589.244549199,26575.000230808946,171602.94111928076,0.0,-0.0,-0.0
1555432.7472583023,-1732367.152720436,-5049.287990908197,171885.11747122553,0.0,-0.0,-0.0
1547163.37619582,-1753910.9889348147,-34585.90719418926,172161.70554480536,0.0,-0.0,-0.0
1541345.2039683878,-1775826.9538059642,-62048.93382614499,172432.81601143157,0.0,-0.0,-0.0
1714560.6603899503,-1554971.484311707,332287.7334289991,172698.557350756,0.0,-0.0,-0.0
