Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27272765.70829683,10571.7338
7409068.608032173,19991085.522161298,27420397.329217713,20243.19902424197
7540872.334331541,19998404.63547435,27568548.64358947,29271.673783578546
7672226.467124167,20007343.424668394,27717396.24609079,37826.35429823005
7803180.814584098,20017814.19304527,27867013.867918294,46018.860288924305
7933803.123650948,20029756.35109248,28017482.643173646,53923.16843022181
8064141.94690854,20043095.066932846,28168825.65165344,61588.63781205233
8194018.320522482,20057758.470448475,28320825.31249968,69048.52152872577
8323091.836063607,20073682.36214037,28473099.72698031,76325.52877633627
7911911.922208558,20377313.355460573,28372660.737335656,83435.45966652592
8036652.562351282,20355342.763210937,28486904.38529139,94909.05972917014
8161078.59537822,20338845.295500275,28601979.877053265,102055.98617477022
8285145.6001546625,20327088.417294227,28721288.66466213,109054.64721324085
8409047.313258816,20319492.78786742,28844450.411375947,115910.31024971396
8532480.757861225,20315581.98960013,28970690.07792699,122627.33046563747
8655443.083414868,20314954.937118497,29099607.469417203,129209.44888383946
8778253.498310043,20317289.870989274,29231203.35678964,135659.9874903229
8900645.267333118,20322317.946166605,29364945.19058284,141981.97708311534
9022710.823618906,20329800.50297527,29500689.56775042,148178.2411562461
8635488.686132351,20606953.206430927,29396693.343612377,154251.451049099
8754078.12498147,20580400.767695755,29494683.054990344,160204.16231312134
8872678.770916637,20560075.515564766,29598793.125280313,166038.83879890924
8991228.167015135,20545167.294504512,29708153.33023269,171757.86871304328
9109633.863297697,20535025.96901207,29822023.407731224,177363.5754214555
9227727.838694882,20529102.806367245,29939688.869876,182858.22481387423
9345501.608818172,20526947.453127578,30060693.092360888,188244.03041514044
9463140.561770454,20528192.783749726,30184856.502538525,193523.15701834648
9580554.308490552,20532524.198523313,30311776.23036015,198697.72334628555
9697652.179899061,20539674.437293764,30441096.421265103,203769.80407228094
9321090.544198794,20814170.807654183,30344002.78326981,208741.43141683724
9433761.96423116,20788423.886033867,30435800.44672668,213614.5964616527
9546100.575593308,20768958.98424729,30533450.810114183,218391.25027358645
9658344.78174391,20755004.971022412,30636423.057665512,223073.30489918953
9770388.319212254,20745932.53688387,30743983.490365632,227662.6342695089
9882115.63490563,20741216.463765476,30855493.173712317,232161.07504121112
9993429.974551355,20740412.376343217,30970412.778285723,236570.42739114768
10104488.137782767,20743125.55544284,31088506.149001252,240892.45577564556
10215186.132976305,20749016.67740668,31209331.70004498,245128.88966199473
10325384.176920472,20757809.03661974,31332474.63777732,249281.4242371062
9900912.948265614,21055076.933760308,31209341.603122603,253351.72109668478
10006843.14954963,21028350.48427134,31292535.04273816,257341.40891719222
10112306.645570645,21008221.869010463,31381780.598693285,261252.08411217385
