Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-472388.55816762126,27793.00799281815,0.0,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-475310.32676098647,30543.577460031134,0.0,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-477546.71525762184,32570.363321254907,0.0,-0.0,-0.0
1628126.27130303,-2142533.651920808,-480287.71564778755,34119.66496999065,0.0,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-483206.2471257303,35352.5109425724,0.0,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-486362.1696554631,36374.20976274637,0.0,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-489563.9840799327,37253.659279250285,0.0,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-491943.21887687984,38035.9639315445,0.0,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-492906.4806160261,38750.67923837646,0.0,-0.0,-0.0
1782986.7485153344,-2111561.4400852737,-289157.4925723506,39417.19899758897,0.0,-0.0,-0.0
1772113.6327881312,-2126434.682142594,-312270.360124259,42050.68923020333,0.0,-0.0,-0.0
1764593.7099696372,-2140554.465038041,-333275.81957149395,42684.93549690989,0.0,-0.0,-0.0
1759711.6163911647,-2154018.094363281,-351009.8289901164,43296.648981999795,0.0,-0.0,-0.0
1756930.0737511914,-2167822.492145118,-367002.68641946284,43889.73197446391,0.0,-0.0,-0.0
1755834.4186640251,-2180184.5820600716,-379883.35168846487,44466.81170758176,0.0,-0.0,-0.0
1756100.541322154,-2192181.2439631233,-391051.02191375446,45029.68072721485,0.0,-0.0,-0.0
1757478.9873102042,-2205127.9731134144,-402069.4011327836,45579.584670426375,0.0,-0.0,-0.0
1759773.1338299045,-2216862.1852471787,-410971.6410798968,46117.41033737732,0.0,-0.0,-0.0
1762820.872969916,-2228633.723732739,-419169.042151196,46643.80861162698,0.0,-0.0,-0.0
1851501.0868015215,-2131395.4055512,-232735.04394159542,47159.274808083035,0.0,-0.0,-0.0
1835790.679524773,-2144688.697040549,-261233.8163132887,47664.2012024873,0.0,-0.0,-0.0
1823867.5662791214,-2158581.3812211393,-286554.90355899016,48158.91138302755,0.0,-0.0,-0.0
1814983.2751969616,-2171920.907906925,-308293.9499864607,48643.68272350279,0.0,-0.0,-0.0
1808568.0458760115,-2184735.9173002327,-327049.1103299571,49118.761094264424,0.0,-0.0,-0.0
1804172.007899114,-2196697.292087337,-342940.9136876296,49584.370500593206,0.0,-0.0,-0.0
1801441.729068326,-2208430.093087722,-356947.6446133797,50040.71940601628,0.0,-0.0,-0.0
1800091.120894514,-2220644.8122374522,-370065.6864539633,50488.00488897472,0.0,-0.0,-0.0
1799889.3032152527,-2232344.5768826893,-381528.8582841836,50926.41538325298,0.0,-0.0,-0.0
1800658.2413231712,-2243566.048483598,-391551.67466790834,51356.1324925187,0.0,-0.0,-0.0
1888849.3330779762,-2142421.057020185,-201794.3917428199,51777.33219938894,0.0,-0.0,-0.0
1871201.7159029702,-2154081.289566868,-230689.3879854971,52190.18567840083,0.0,-0.0,-0.0
1857387.635708018,-2165193.412465071,-255210.91690734448,52594.85984970839,0.0,-0.0,-0.0
1846685.2986134044,-2177134.161120257,-277457.3447439342,52991.51776291799,0.0,-0.0,-0.0
1838539.4454999145,-2188608.9237350696,-296689.1593656597,53380.318869495524,0.0,-0.0,-0.0
1832514.1906251728,-2199569.481899439,-313293.8720523305,53761.419221935525,0.0,-0.0,-0.0
1828264.015132519,-2210220.840787965,-327821.8540307906,54134.9716246554,0.0,-0.0,-0.0
1825509.9608859194,-2221347.3009772045,-341336.21433835046,54501.12575293463,0.0,-0.0,-0.0
1824026.4853302932,-2232046.8512523617,-353160.3376714976,54860.02825057079,0.0,-0.0,-0.0
1823624.521570737,-2241852.5221007545,-363016.17771678395,55211.82281323378,0.0,-0.0,-0.0
1914760.2677622992,-2141206.829751799,-170889.91172741205,55556.650262087875,0.0,-0.0,-0.0
1895619.1070748318,-2152190.6493602474,-200676.89367474028,55894.64861067508,0.0,-0.0,-0.0
1880451.1310043915,-2162220.0465275645,-225542.96239614973,56225.95312702338,0.0,-0.0,-0.0
1868518.4098631875,-2172651.891039402,-247582.7847839443,56550.69639227039,0.0,-0.0,-0.0
1859244.5280845808,-2182427.9447820834,-266314.40834085,56869.00835665271,0.0,-0.0,-0.0
1852172.6523393434,-2192727.7005031668,-283374.0317703998,57181.016393423844,0.0,-0.0,-0.0
1846945.3459228831,-2202913.5669404347,-298481.3756664763,57486.84535107525,0.0,-0.0,-0.0
1843275.790539713,-2212979.6444681585,-311917.2363243331,57786.61760411217,0.0,-0.0,-0.0
1840925.8084326645,-2222746.4172617253,-323740.1557265054,58080.45310255537,0.0,-0.0,-0.0
1839702.8663482803,-2232169.157962322,-334097.82219375455,58368.46942028693,0.0,-0.0,-0.0
1927302.7427957256,-2133304.6316838404,-147351.10708579066,58650.78180232406,0.0,-0.0,-0.0
1907725.1663543717,-2143555.061972007,-176902.39240655364,58927.50321108163,0.0,-0.0,-0.0
1892123.9240490675,-2153451.9759086818,-202129.30748794466,59198.74437166967,0.0,-0.0,-0.0
1879779.2957127588,-2162300.3095987476,-223056.4000697272,59464.61381626165,0.0,-0.0,-0.0
1870121.0837827404,-2171356.2175761657,-241509.91586586222,59725.21792756331,0.0,-0.0,-0.0
1862704.3638819202,-2181403.47529781,-258718.45043448274,59980.6609814069,0.0,-0.0,-0.0
1857179.6715958936,-2191357.952679226,-273947.23589483945,60231.04518849299,0.0,-0.0,-0.0
1853260.577375526,-2201231.759886295,-287494.7117754693,60476.47073529973,0.0,-0.0,-0.0
1850711.9346321453,-2210958.007051271,-299529.03659494745,60717.03582417811,0.0,-0.0,-0.0
1849338.9260821857,-2220463.339620976,-310171.57682613935,60952.83671265083,0.0,-0.0,-0.0
1935377.5753213826,-2122075.090729484,-125513.54765617014,61183.967751931035,0.0,-0.0,-0.0
1915743.6416301923,-2132378.547386922,-155224.3843320522,61410.521424677325,0.0,-0.0,-0.0
1900089.6165831117,-2141850.3922579302,-180128.1872928183,61632.58838200028,0.0,-0.0,-0.0
1887691.037226804,-2151219.452486435,-201678.15777989512,61850.257479735665,0.0,-0.0,-0.0
1877994.2790051792,-2160750.5609410345,-220692.66612185634,62063.61581399899,0.0,-0.0,-0.0
1870567.5773958617,-2170605.2885560584,-237764.96240416085,62272.748756035784,0.0,-0.0,-0.0
1865063.769351804,-2180881.822624423,-253340.3132862375,62477.739986381406,0.0,-0.0,-0.0
1861193.8683036247,-2190256.621364803,-266384.0815328339,62678.671528344436,0.0,-0.0,-0.0
1858717.4776160007,-2199557.443680091,-277964.3422832632,62875.62378082688,0.0,-0.0,-0.0
1857424.7820503726,-2207620.470787033,-287127.01318616606,63068.6755504942,0.0,-0.0,-0.0
1954952.0460203993,-2102423.5060920753,-84213.5559883672,63257.90408330846,0.0,-0.0,-0.0
1933580.9391174365,-2111648.714811666,-114624.39059879267,63443.385095436744,0.0,-0.0,-0.0
1916453.4402775331,-2121602.1108524534,-141523.47777137224,63625.192803547674,0.0,-0.0,-0.0
1902784.6990871772,-2130483.7511102306,-163895.65206854563,63803.39995450763,0.0,-0.0,-0.0
1891971.8688732479,-2139027.700328648,-183077.75360091083,63978.077854489144,0.0,-0.0,-0.0
1883550.3986481386,-2148904.8035016474,-201205.10845600616,64149.296397502665,0.0,-0.0,-0.0
1877146.8786325539,-2158704.706015873,-217240.70328995565,64317.124093363316,0.0,-0.0,-0.0
1872435.7557897386,-2167186.554783027,-230269.17089818462,64481.628095103806,0.0,-0.0,-0.0
1869152.5500309381,-2176291.424699518,-242496.00044273547,64642.87422584437,0.0,-0.0,-0.0
1867096.0325846323,-2184759.5037613967,-252862.5441716337,64800.92700513066,0.0,-0.0,-0.0
1972585.3275913713,-2076378.7405872822,-38837.56332116092,64955.849674750025,0.0,-0.0,-0.0
1948676.8289660816,-2087761.4499503754,-73976.9167602571,65107.704224036504,0.0,-0.0,-0.0
1929490.371942006,-2098175.9306258257,-103429.00726914522,65256.55141467459,0.0,-0.0,-0.0
1914130.2105518307,-2108745.823785471,-129213.16242862801,65402.45080501197,0.0,-0.0,-0.0
1901906.4523013872,-2117742.128977571,-150290.21590229345,65545.46077389056,0.0,-0.0,-0.0
1892285.8114528325,-2127487.8964358894,-169516.44643905095,65685.6385440057,0.0,-0.0,-0.0
1884845.683180218,-2137742.8242526525,-187074.10086763144,65823.04020480278,0.0,-0.0,-0.0
1879233.2163220907,-2146159.516982533,-200968.57992552206,65957.72073492027,0.0,-0.0,-0.0
1875161.317913145,-2154301.7299937136,-213050.67805637995,66089.73402418841,0.0,-0.0,-0.0
1872407.2054597547,-2162928.1106669703,-224301.7723120235,66219.13289519219,0.0,-0.0,-0.0
1971309.767679276,-2067842.2952359724,-30186.558432289326,66345.96912440729,0.0,-0.0,-0.0
1948734.237854571,-2079435.5851593076,-64231.05384181897,66470.29346291743,0.0,-0.0,-0.0
1930618.0101955622,-2090674.172696175,-93464.00684389152,66592.15565672147,0.0,-0.0,-0.0
1916121.2274711397,-2101763.906519157,-118931.07458137853,66711.60446663831,0.0,-0.0,-0.0
1904599.9014955808,-2110983.9554904555,-139555.3663070573,66828.68768781758,0.0,-0.0,-0.0
1895547.853867095,-2121045.8545977934,-158554.54856183453,66943.45216886397,0.0,-0.0,-0.0
1888565.6544315207,-2131262.6112298826,-175641.01296777884,67055.94383058274,0.0,-0.0,-0.0
1883330.6543500137,-2139487.9272934315,-188991.06525906362,67166.20768435417,0.0,-0.0,-0.0
1879582.7903772243,-2149009.529290185,-202152.4510628166,67274.28785014393,0.0,-0.0,-0.0
1877110.8747851355,-2157960.684335089,-213469.58197579638,67380.22757415676,0.0,-0.0,-0.0
