Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-466329.9513793587,33851.61478108071,0.0,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-468652.1224462543,37201.78177476332,0.0,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-470446.6912384396,39670.38734043715,0.0,-0.0,-0.0
1628126.27130303,-2142533.651920808,-472849.95886184176,41557.42175593648,0.0,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-475499.74184806686,43059.016220235855,0.0,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-478432.9439220265,44303.43549618292,0.0,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-481443.0468623703,45374.596496812694,0.0,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-483651.7468155141,46327.435992910214,0.0,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-484459.2075341027,47197.95232029979,0.0,-0.0,-0.0
1752702.549027878,-2153725.096329996,-353012.7803650384,48009.76693707934,0.0,-0.0,-0.0
1748134.707952672,-2170468.9207840585,-401445.6168567074,20888.59597467904,0.0,-0.0,-0.0
1746090.4822858179,-2186196.805485268,-418902.6666572463,21203.65654220396,0.0,-0.0,-0.0
1746003.7170807011,-2201057.525831244,-433546.2847551244,21507.523995418684,0.0,-0.0,-0.0
1747457.1194084494,-2216066.280504702,-446807.02430765925,21802.1367885935,0.0,-0.0,-0.0
1750124.374684635,-2229383.8868129216,-457170.71213366836,22088.799994618108,0.0,-0.0,-0.0
1753749.9423629632,-2242227.974486987,-466109.6280669512,22368.404057072672,0.0,-0.0,-0.0
1758141.0153432162,-2255791.2221061457,-475008.63901924656,22641.567743683023,0.0,-0.0,-0.0
1763146.7783191523,-2268148.339214726,-482092.8293249137,22908.731570659755,0.0,-0.0,-0.0
1768644.617352306,-2280471.8065839102,-488656.97036849195,23170.218863112303,0.0,-0.0,-0.0
1805183.9008640535,-2251187.778320055,-422577.6017882686,23426.275667732792,0.0,-0.0,-0.0
1803272.8606874242,-2266594.66757816,-443104.24080524046,20217.566085495117,0.0,-0.0,-0.0
1803299.909800339,-2282062.539823007,-458335.2243612246,20427.40566144333,0.0,-0.0,-0.0
1804815.8712372086,-2296542.725714184,-471093.8249643993,20633.029512575875,0.0,-0.0,-0.0
1807493.3339197494,-2310056.655774386,-481728.77992573293,20834.54192890399,0.0,-0.0,-0.0
1811083.4276145243,-2322421.1526399637,-490305.687099435,21032.037926004414,0.0,-0.0,-0.0
1815398.3030940031,-2334364.3859215556,-497740.47690039256,21225.605927159813,0.0,-0.0,-0.0
1820294.3375798955,-2346549.009070608,-504839.3419642334,21415.32952647869,0.0,-0.0,-0.0
1825657.9906726342,-2358090.476395094,-510831.19707116554,21601.288651294206,0.0,-0.0,-0.0
1831399.6696763488,-2369172.5872377665,-515989.3572295861,21783.560331831548,0.0,-0.0,-0.0
1864239.231042028,-2347379.0917384797,-461177.6414823979,21962.21921405354,0.0,-0.0,-0.0
1863505.971185893,-2359851.592269445,-496345.62108355213,0.0,0.0,-0.0,-0.0
1864441.8517281096,-2371963.5067596026,-507521.655031493,0.0,0.0,-0.0,-0.0
1866645.459954035,-2384452.178344187,-517806.718390152,0.0,0.0,-0.0,-0.0
1869833.6718586027,-2395818.2745546093,-525984.6026960067,0.0,0.0,-0.0,-0.0
1873794.669099615,-2406270.4554857337,-532475.7863861189,0.0,0.0,-0.0,-0.0
1878366.1673625554,-2415998.9533018307,-537632.7859392754,0.0,0.0,-0.0,-0.0
1883423.0245939405,-2425875.5048277033,-542452.4802337629,0.0,0.0,-0.0,-0.0
1888866.8809127181,-2435133.2977178018,-546266.4168050833,0.0,0.0,-0.0,-0.0
1894619.7620242045,-2443355.6464595054,-548735.884435301,0.0,0.0,-0.0,-0.0
1900614.737383084,-2451040.297905254,-550425.5605221703,0.0,0.0,-0.0,-0.0
1906798.4031929856,-2459194.754660685,-552396.3514676994,0.0,0.0,-0.0,-0.0
1913141.2627367524,-2466215.003309403,-553073.7405726506,0.0,0.0,-0.0,-0.0
1919609.8332567739,-2473210.561788318,-553600.7285315441,0.0,0.0,-0.0,-0.0
1926158.8818075256,-2479436.167659939,-553277.2858524134,0.0,0.0,-0.0,-0.0
1932758.6435227776,-2486127.015689472,-553368.3721666944,0.0,0.0,-0.0,-0.0
1939392.6558733112,-2492517.763226669,-553125.1073533577,0.0,0.0,-0.0,-0.0
1946058.8356427592,-2498362.1278705415,-552303.2922277823,0.0,0.0,-0.0,-0.0
1952737.2640222851,-2503497.8979791687,-550760.6339568835,0.0,0.0,-0.0,-0.0
1959401.4269903959,-2508503.2268452197,-549101.7998548236,0.0,0.0,-0.0,-0.0
1966044.2415280717,-2514350.0437810184,-548305.8022529468,0.0,0.0,-0.0,-0.0
1972658.4154164388,-2519605.2268532496,-546946.8114368109,0.0,0.0,-0.0,-0.0
1979249.6533703636,-2524189.125983643,-544939.472613279,0.0,0.0,-0.0,-0.0
1985822.811665043,-2527468.2892496176,-541645.4775845746,0.0,0.0,-0.0,-0.0
1992350.5751645458,-2530269.2741478495,-537918.6989833036,0.0,0.0,-0.0,-0.0
1998808.00613297,-2534615.615158711,-535807.609025741,0.0,0.0,-0.0,-0.0
2005198.0202820008,-2538766.8122906913,-533568.7920086904,0.0,0.0,-0.0,-0.0
2011530.332682687,-2542448.405597829,-530918.0729151416,0.0,0.0,-0.0,-0.0
2017802.7017850643,-2545886.82821484,-528084.1264297755,0.0,0.0,-0.0,-0.0
2024004.6406909854,-2548597.4634492276,-524592.8227582419,0.0,0.0,-0.0,-0.0
2030136.57895931,-2553314.6570953783,-523178.0781360683,0.0,0.0,-0.0,-0.0
2036200.0769003516,-2556518.4197601373,-520318.34285978554,0.0,0.0,-0.0,-0.0
2042229.9775812218,-2559496.2790627046,-517266.3014814828,0.0,0.0,-0.0,-0.0
2048211.5355641143,-2560048.3653917396,-511836.8298276253,0.0,0.0,-0.0,-0.0
2054098.9498838612,-2561867.0258029485,-507768.07591908734,0.0,0.0,-0.0,-0.0
2059898.1909659284,-2564475.430322533,-504577.23935660475,0.0,0.0,-0.0,-0.0
2065615.5594755402,-2567313.0750985905,-501697.5156230503,0.0,0.0,-0.0,-0.0
2071254.822076392,-2568872.358932204,-497617.5368558121,0.0,0.0,-0.0,-0.0
2076818.7530287562,-2571315.6477347836,-494496.89470602747,0.0,0.0,-0.0,-0.0
2082311.4591889777,-2573428.168872741,-491116.7096837632,0.0,0.0,-0.0,-0.0
2087735.1424576498,-2576158.0256255744,-488422.88316792436,0.0,0.0,-0.0,-0.0
2093090.7077610553,-2577158.4356255075,-481453.6199010251,2614.1079634271864,0.0,-0.0,-0.0
2098381.609412248,-2578497.6601306745,-477494.4515882393,2621.599130187445,0.0,-0.0,-0.0
2103606.514479402,-2579580.3536805054,-473344.89726075914,2628.9419403443007,0.0,-0.0,-0.0
2108764.685474873,-2580161.479666504,-468760.6548596485,2636.1393319823655,0.0,-0.0,-0.0
2113858.5635758075,-2581556.7106539877,-465054.95289318037,2643.1941849998198,0.0,-0.0,-0.0
2118888.7716285493,-2582757.9395480463,-461219.05859723594,2650.1093222607497,0.0,-0.0,-0.0
2123855.697852808,-2583230.9102875595,-456718.3249240267,2656.887510724662,0.0,-0.0,-0.0
2128761.72795901,-2584550.4511044505,-453125.19168288726,2663.5314625536294,0.0,-0.0,-0.0
2133608.1849427153,-2585439.2197323646,-449160.99095345184,2670.0438361975107,0.0,-0.0,-0.0
2140437.084956892,-2584298.7779200263,-441185.2657256767,2676.4272374576763,0.0,-0.0,-0.0
2144657.02802476,-2585219.124539319,-432924.5298641191,7637.566650439996,0.0,-0.0,-0.0
2148906.780339247,-2585290.5062189554,-428728.6984640214,7655.027415687029,0.0,-0.0,-0.0
2153170.463334912,-2585700.682837816,-424858.0771185469,7672.142384356881,0.0,-0.0,-0.0
2157436.509144336,-2586396.925845749,-421271.4982967373,7688.9184046759065,0.0,-0.0,-0.0
2161697.279341633,-2587080.5763108386,-417677.9347799584,7705.3621892467845,0.0,-0.0,-0.0
2165945.7657265128,-2587870.8863760023,-414203.64033175545,7721.480317734433,0.0,-0.0,-0.0
2170175.9282581266,-2587939.6332910517,-410026.4257934261,7737.279239498736,0.0,-0.0,-0.0
2174383.4967045146,-2588551.02703285,-406414.76505215996,7752.765276175129,0.0,-0.0,-0.0
2178562.4467410534,-2588927.262724626,-402596.87135936844,7767.944624204084,0.0,-0.0,-0.0
2188304.2933507455,-2583167.6896150266,-387080.5729069706,7782.823357310499,0.0,-0.0,-0.0
2191206.431420449,-2583296.53255582,1856281.0602483419,2248371.1613837127,0.0,-0.0,-0.0
2194256.3548951023,-2583196.4220685055,1863553.1076382308,2252493.174811634,0.0,-0.0,-0.0
2197415.6333353147,-2582955.8031690917,1870993.385206183,2256533.55503996,0.0,-0.0,-0.0
2200655.781109853,-2582848.957674348,1878300.7421848306,2260493.918749325,0.0,-0.0,-0.0
2203952.901910428,-2582835.2635822883,1885493.4889314254,2264375.8506032857,0.0,-0.0,-0.0
2207290.192717054,-2582837.3734089513,1892633.7231905013,2268180.9038823987,0.0,-0.0,-0.0
2210653.3830882595,-2582254.5905466857,1900309.3936473047,2271910.601105731,0.0,-0.0,-0.0
2214032.5463992106,-2582299.6308043646,1907299.3502349183,2275566.4346400723,0.0,-0.0,-0.0
2217418.74292127,-2581839.6012370065,1914729.0089813361,2279149.867297073,0.0,-0.0,-0.0
3890662.781114861,-779992.9907903852,5393332.123243037,2282662.332918561,0.0,-0.0,-0.0
