period,oha,ohv,ogs,ocp,ocf
1,67.52594865258192,17830.340947190154,6996272.854529927,26743657.23259308,1557490.7903084077
2,64.16733866376724,16938.823899830644,9658942.875603031,27907428.327326637,1642101.2889057004
3,64.1496512199528,16938.823899830644,12656275.45675299,28952360.281025138,1717828.585201809
4,64.1496512199528,17298.586863685974,15811853.598098153,29790365.66802932,1777889.9606109774
5,64.14965121995282,17647.059382267045,18961432.556316245,30369008.22066116,1817970.1192907947
6,68.23396176331224,18721.85799454966,21975024.202175908,30713513.82272991,1841057.8189660918
7,70.902246085211,18721.85799454966,24759698.55119211,30895513.9806133,1852991.825666926
8,70.902246085211,18721.85799454966,27261367.435711924,30984937.480911117,1858960.9793520898
9,70.90224608521102,18721.857994549664,29435289.056873295,31024279.279832546,1861841.0219327796
10,70.90224608521089,18721.85799454966,31260791.916371286,31043846.122510213,1863378.8937563677
