Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27267479.82989683,5285.8554
7409068.608032173,19991085.522161298,27410275.70768491,10121.57749143893
7540872.334331541,19998404.63547435,27553912.774855766,14635.805049874321
7672226.467124167,20007343.424668394,27698483.02779392,18913.13600136361
7803180.814584098,20017814.19304527,27844004.38771422,23009.38008485004
7933803.123650948,20029756.35109248,27990521.000300568,26961.52555714158
8064141.94690854,20043095.066932846,28138031.265750896,30794.251909509952
8194018.320522482,20057758.470448475,28286300.976623893,34524.18565293721
8323091.836063607,20073682.36214037,28434936.87956474,38162.68136076719
8316817.665713123,20157321.305424422,28515856.610209174,41717.639071633486
8445328.43098033,20166558.324955817,28654821.713355962,42934.95741981398
8573420.192508075,20177915.286215536,28797503.562501438,46168.08377782458
8701045.802787982,20191188.759049468,28941568.699673127,49334.137835676476
8828390.833840156,20206215.259573728,29087041.595875822,52435.50246193563
8955144.977570891,20222853.336580966,29233472.462005302,55474.14785344685
9081315.986230878,20240978.87449999,29380746.627104867,58451.76637399805
9207198.627190456,20260497.22005804,29529065.708072007,61369.8608235115
9332549.800523354,20281329.41104288,29678109.013840538,64229.80227430247
9457458.560414486,20303396.909932338,29827888.338365335,67032.8680185101
9450954.445824401,20391318.28450578,29912052.996846743,69780.2665165598
9574317.393299745,20406977.688545104,30053768.23569358,72473.15384873399
9697377.999803547,20424621.778776668,30197112.4231919,75112.64461168693
9820088.301309293,20444072.24560481,30341860.366096336,77699.81918223553
9942389.821813729,20465174.44363479,30487799.994053103,80235.72860458618
10064116.766696963,20487792.940824628,30634631.105443455,82721.39792186208
10185265.715673953,20511820.33970631,30782243.883868627,85157.82848836036
10306044.302766483,20537170.4100116,30930760.712391194,87545.99961311124
10426346.484364748,20563764.66586668,31079998.01999529,89886.86976386444
10546100.514300553,20591535.902276345,31229817.794058166,92181.37748127192
10533084.473018788,20686828.320575196,31314343.235695165,94430.44210118093
10650830.62192806,20708028.156539176,31455493.742816303,96634.96434906672
10767812.345530383,20731112.467113275,31597720.63949215,98795.82684849297
10884315.354163038,20755907.73909037,31741136.98782442,100913.89457101753
11000253.277911719,20782266.08166177,31885509.374818996,102990.0152455078
11115509.072442064,20810063.929316603,32030598.021497317,105025.0197386482
11229990.130623514,20839194.168112278,32176204.02115018,107019.72241438541
11343852.021237332,20869565.75160225,32322392.694316998,108974.92147741662
11457000.249107363,20901097.408627417,32468989.057038877,110891.39930409931
11569279.169428613,20933715.237936024,32615764.33012767,112769.92276303437
11547163.76198073,21034383.156375542,32696158.16188311,114611.24352683387
11657065.68746363,21060179.983922914,32833661.769762646,116416.0983761038
11765988.511162478,21087769.954936985,32971943.675595816,118185.20949635287
11874205.749052864,21116975.022841953,33111100.05666315,119919.28476833463
11981565.30211725,21147647.143807523,33250831.46397696,121619.01805218888
12088112.47096631,21179660.23991834,33391057.800350312,123285.08946566269
12193790.461850824,21212906.817162022,33531615.444669478,124918.16565662947
12298640.728832003,21247296.503869444,33672456.13277153,126518.90007008552
12402644.451460637,21282744.885972504,33813477.27064292,128087.93320977717
12505700.480152356,21319176.438102927,33954502.81114988,129625.89289459266
12473987.963174501,21423698.207521167,34028819.565205514,131133.3945098419
12574476.040138273,21453109.896885376,34160196.978277184,132611.04125353656
12673913.911896069,21484226.81592363,34292200.15219747,134059.42437777796
12772302.88004461,21516858.515526544,34424640.518996514,135479.12342535492
12869725.33571872,21550852.218636807,34557448.26081717,136870.7064616492
12966225.85714524,21586090.06616335,34690550.653610535,138234.73030194448
13061782.581935579,21622458.74440128,34823813.06707109,139571.74073423064
13156399.709781706,21659865.20168285,34957147.18420215,140882.2727375937
13250099.133492038,21698227.574286275,35090493.55847459,142166.85069628025
13342807.992075877,21737471.87925223,35223705.85993763,143425.9886095208
13301074.889083479,21844612.12134467,35290347.200725354,144660.190297198
13391176.472808683,21876639.914554793,35429041.06850191,161224.68113843474
13480112.147321528,21910264.96630439,35552912.41690323,162535.30327730367
13567998.86447609,21945301.564840864,35677120.3989034,163819.96958644676
