period,oha,ohv,ogs,ocp,ocf
1,2725.403177355716,383033.0,6566622.667408977,26696698.235953346,1525778.7769554695
2,2589.1330184879284,363881.35,8799435.694252068,27797504.405362327,1609355.3448490715
3,2589.1330184879293,363881.35,11338410.39619354,28776396.61168782,1682220.6452754259
4,2589.1330184879284,363881.3500000001,14007775.250087552,29530080.248350624,1736049.4047458125
5,2589.1330184879303,363881.35000000003,16646123.22963691,30018243.185725898,1770133.5823266958
6,2589.1330184879303,363881.35000000003,19134094.090696055,30280601.94215574,1786356.4567440122
7,2589.13301848793,365252.5404284452,21391839.36804939,30398803.110754028,1791108.1008681906
8,2861.673336223501,402184.64999999997,23333624.721807092,30459510.99848298,1788937.5381587152
9,2861.6733362235013,402184.64999999997,24959993.418339103,30476339.324697908,1788462.7836320645
10,2861.6733362235013,402184.65000000014,26265318.276772775,30466771.14286435,1786843.7092205086
