Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-468418.1876871886,31763.37847325075,0.0,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-470947.02364728786,34906.88057372975,0.0,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-472893.87562611845,37223.202952758314,0.0,-0.0,-0.0
1628126.27130303,-2142533.651920808,-475413.5505112141,38993.830106564084,0.0,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-478155.9637633886,40402.79430491412,0.0,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-481165.93149626884,41570.44792194058,0.0,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-484242.1121498181,42575.531209364875,0.0,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-486509.5908065527,43469.59200187164,0.0,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-487370.7518822194,44286.40797218314,0.0,-0.0,-0.0
1749036.1582975995,-2160517.9499218646,-366433.6482049063,45048.143419358836,0.0,-0.0,-0.0
1745234.8140185508,-2177569.0915922504,-388853.37387529324,43480.903698406204,0.0,-0.0,-0.0
1743909.2955025963,-2193653.1110496125,-405607.093802614,44136.721744402326,0.0,-0.0,-0.0
1744478.0988598727,-2208713.1925721737,-419465.85308121395,44769.24063108698,0.0,-0.0,-0.0
1746519.3089872093,-2223856.142901851,-431954.33854379697,45382.49537084455,0.0,-0.0,-0.0
1749712.4761726323,-2237277.677078283,-441585.9983520858,45979.202553564784,0.0,-0.0,-0.0
1753810.4035889285,-2250196.0518925707,-449824.4326110416,46561.21569260043,0.0,-0.0,-0.0
1758626.3492883493,-2263839.7931864937,-458083.6211069244,47129.82279122035,0.0,-0.0,-0.0
1764015.394534217,-2276192.6679884815,-464491.33264311816,47685.94081114636,0.0,-0.0,-0.0
1769859.0045261628,-2288527.0716891424,-470437.82438940025,48230.242773579295,0.0,-0.0,-0.0
1837041.1673391638,-2230072.4455570634,-344268.0373779821,48763.240839917555,0.0,-0.0,-0.0
1829134.5628890323,-2244383.9479700793,-365964.0444531883,49285.34062785881,0.0,-0.0,-0.0
1824071.095109315,-2259313.803683231,-385445.83184254833,49796.87673136796,0.0,-0.0,-0.0
1821236.1553296268,-2273389.5406820006,-401855.2493941818,50298.13595819202,0.0,-0.0,-0.0
1820171.8643977607,-2286656.686234277,-415695.4492953711,50789.372541145465,0.0,-0.0,-0.0
1820524.3203327088,-2298833.4389828863,-427038.30054587335,51270.81810430434,0.0,-0.0,-0.0
1822021.5350085094,-2310611.297659795,-436847.0744498951,51742.68820138997,0.0,-0.0,-0.0
1824451.7383339703,-2322714.381932207,-446057.4569844249,52205.186613811755,0.0,-0.0,-0.0
1827646.1735266056,-2334131.571110255,-453826.88939934643,52658.5081843032,0.0,-0.0,-0.0
1831471.9471030743,-2345111.3831028645,-460536.595306613,53102.84069317728,0.0,-0.0,-0.0
1897263.9338051719,-2281902.4295415427,-331100.1296278558,53538.36610851501,0.0,-0.0,-0.0
1887526.0278626864,-2294313.530240188,-352822.24095071485,53965.26142678666,0.0,-0.0,-0.0
1880726.811214454,-2306231.029755782,-371120.5192959473,54383.69924538055,0.0,-0.0,-0.0
1876253.3068614642,-2318704.544189918,-387657.38916896,54793.8481594937,0.0,-0.0,-0.0
1873649.4474143982,-2330261.481979037,-401416.1615208351,55195.87304380378,0.0,-0.0,-0.0
1872561.7625314847,-2341012.179321392,-412860.4815314949,55589.93525841239,0.0,-0.0,-0.0
1872713.5243356666,-2351094.4770422294,-422404.7599016915,55976.19280487147,0.0,-0.0,-0.0
1873889.033675033,-2361446.73342777,-431202.8993035691,56354.80044916777,0.0,-0.0,-0.0
1875916.0525925285,-2371197.7026046026,-438555.7401893737,56725.90982270036,0.0,-0.0,-0.0
1878652.4836213589,-2379900.2382569057,-444158.0851270769,57089.66950846994,0.0,-0.0,-0.0
1947271.2805155588,-2312985.6592204226,-308268.153587659,57446.22511720471,0.0,-0.0,-0.0
1936620.4755047958,-2322373.8321615164,-327957.63730020175,57795.71935651869,0.0,-0.0,-0.0
1928693.45391194,-2330888.237146881,-344056.49113980815,58138.29209513246,0.0,-0.0,-0.0
1922981.0700319833,-2338996.544604901,-357541.3941494273,58474.08042349045,0.0,-0.0,-0.0
1919064.9792980528,-2346921.3231158257,-369053.12510611815,58803.21871165475,0.0,-0.0,-0.0
1916632.7605891575,-2355287.0861444264,-379528.48689021193,59125.83866505686,0.0,-0.0,-0.0
1915442.3629409212,-2363459.2436973443,-388574.8113779281,59442.06937849481,0.0,-0.0,-0.0
1915316.5567128116,-2371086.295059317,-396017.7009578692,59752.03738863602,0.0,-0.0,-0.0
1916086.2063478217,-2378005.6315207896,-401863.5584477651,60055.866725202635,0.0,-0.0,-0.0
1917589.881102964,-2384910.122867342,-406966.56280341634,60353.67896096168,0.0,-0.0,-0.0
1981401.4763871676,-2313995.059084725,-271947.98943695065,60645.593260606685,0.0,-0.0,-0.0
1969487.0147282768,-2323268.165377401,-292849.42422053026,60931.7264285937,0.0,-0.0,-0.0
1960474.362756289,-2332128.6836848664,-310442.1279725982,61212.19295597944,0.0,-0.0,-0.0
1953842.0977297372,-2339353.0563972346,-324023.85360119864,61487.105066298645,0.0,-0.0,-0.0
1949152.1531568929,-2347088.17120578,-336179.44528837554,61756.572760511306,0.0,-0.0,-0.0
1946068.5053961764,-2355777.5148689677,-347688.3056117455,62020.703861045615,0.0,-0.0,-0.0
1944330.4345372024,-2364328.127643378,-357718.08905121643,62279.604054959505,0.0,-0.0,-0.0
1943710.6675932196,-2372502.9039586657,-366258.85942920466,62533.37693624127,0.0,-0.0,-0.0
1944019.7835095255,-2380211.3745535915,-373409.46699679736,62782.12404726854,0.0,-0.0,-0.0
1945119.9747697483,-2387758.3074548007,-379612.3877656085,63025.944919443864,0.0,-0.0,-0.0
2002822.5218340121,-2307426.636634731,-241339.1776876957,63264.93711302333,0.0,-0.0,-0.0
1990161.8327400147,-2317770.7253523474,-264109.69635617686,63499.196256155934,0.0,-0.0,-0.0
1980648.4023201116,-2327848.2808517334,-283471.06244847324,63728.816083148486,0.0,-0.0,-0.0
1973756.6178618977,-2336473.6385613685,-298763.13222749793,63953.888471972816,0.0,-0.0,-0.0
1969039.5594825894,-2345552.6470883936,-312338.5841247749,64174.50348102939,0.0,-0.0,-0.0
1966114.4353751517,-2355798.0683320626,-325292.883571728,64390.74938518295,0.0,-0.0,-0.0
1964670.0785761022,-2366127.6695271423,-336854.8782399562,64602.71271108424,0.0,-0.0,-0.0
1964424.7890427567,-2374864.2508894294,-345628.98357488064,64810.47827179215,0.0,-0.0,-0.0
1965143.9947177342,-2384002.617043651,-353844.49312520697,65014.129200710144,0.0,-0.0,-0.0
1966679.0201528848,-2392464.4195394716,-360571.6524017363,65213.7469848506,0.0,-0.0,-0.0
2028859.3960586423,-2329288.1318487185,-235019.32429263587,65409.41149744027,0.0,-0.0,-0.0
2017205.8527119693,-2340615.061873103,-257808.00813125374,65601.20102988012,0.0,-0.0,-0.0
2008732.2945192193,-2351956.360716268,-277434.8738739767,65789.19232307207,0.0,-0.0,-0.0
2002793.8797424436,-2362194.036572021,-293426.69623145193,65973.4605981255,0.0,-0.0,-0.0
1998907.6895812873,-2371616.857915729,-306555.0887479863,66154.07958645544,0.0,-0.0,-0.0
1996682.770703198,-2381616.2707694294,-318602.37850694655,66331.12155928486,0.0,-0.0,-0.0
1995806.757039365,-2391107.734422377,-328796.3200264493,66504.65735656265,0.0,-0.0,-0.0
1996045.7184387117,-2399710.5941361147,-336990.1192820943,66674.7564153087,0.0,-0.0,-0.0
1997212.0955229625,-2408371.3005535747,-344317.71823321417,66841.486797398,0.0,-0.0,-0.0
