Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27279813.49249683,17619.518
7409068.608032173,19991085.522161298,27433892.7218316,33738.591638129765
7540872.334331541,19998404.63547435,27588062.986638807,48786.01683291441
7672226.467124167,20007343.424668394,27742613.678463772,63043.786671212045
7803180.814584098,20017814.19304527,27897692.941245534,76697.93361616682
7933803.123650948,20029756.35109248,28053431.226600565,89871.7518571386
8064141.94690854,20043095.066932846,28209884.52020642,102647.50636503319
8194018.320522482,20057758.470448475,28366857.40981408,115080.61884312403
8323091.836063607,20073682.36214037,28523983.1360732,127208.93786922396
7940162.528586539,20350326.579516586,28429547.90500857,139058.7969054449
8068824.714815384,20332055.77736002,28543997.016908117,143116.5247327132
8197236.44358178,20319098.38547956,28670228.44165409,153893.6125927485
8325314.86255338,20310732.556944195,28800494.545616496,164447.12611892156
8453246.355409171,20306393.28949506,28934424.653110683,174785.00820645207
8580708.800884413,20305615.351950917,29071237.979013484,184913.8261781561
8707698.364488304,20308009.88418789,29210547.46992285,194839.22124666005
8834496.130693955,20313260.563519254,29352322.89695825,204566.20274503823
8960845.158765586,20321103.37319353,29496047.872873455,214099.34091434148
9086827.685645292,20331307.784366995,29641578.363407318,223442.89339503352
8686905.350593746,20612840.51580049,29532346.75478277,232600.8883885326
8809637.607796704,20589433.8342272,29640648.621519685,241577.17949577974
8932323.514865685,20572079.438756146,29754778.435660787,250375.48203895622
9054880.100139411,20559995.80656181,29873875.30397534,258999.39727411818
9177230.922297211,20552551.042200003,29997234.393179167,267452.42868195375
9299199.887943499,20549210.543967035,30124148.42498341,275737.99307287333
9420780.993655674,20549535.541315235,30254175.963265445,283859.4282945343
9542148.677642249,20553170.41696378,30387139.0933164,291819.99871037056
9663214.798312688,20559809.496606413,30522647.194131985,299622.89921288117
9783937.631637346,20569192.504890706,30660401.394798957,307271.25827090617
9367199.317636374,20856178.840999,30538146.298972644,314768.14033726946
9482825.802023463,20832231.915690172,30637174.26554386,322116.5478302223
9598010.44176246,20814518.186135463,30741848.050726235,329319.42282830976
9713020.908987941,20802245.51493444,30851646.072492436,336379.6485700584
9827724.01162963,20794776.355487477,30965800.417935465,343300.0508183593
9942009.003635852,20791576.89921813,31083669.30198281,350083.39912882727
10055795.683850842,20792197.49565344,31204725.58755223,356732.4080479514
10169224.143756486,20796265.066670883,31328738.948685423,363249.7382580554
10282225.831405856,20803459.232723925,31455323.061810113,369637.997680331
10394574.280380256,20813500.197351288,31583974.220274992,375899.7425434479
9981552.297267208,21095188.904473692,31458778.68016368,382037.47842277965
10088505.57058389,21073315.769041847,31549875.000879414,388053.6612536791
10194893.545256121,21057504.84699081,31646349.090568107,393950.6983211761
10300875.137354536,21047012.06993529,31747618.156517603,399730.94922778197
10406186.755958887,21041220.965613015,31852804.44841253,405396.7268406294
10511032.333875118,21039604.342660986,31961586.974754978,410950.2982188754
10615403.25598571,21041724.878624193,32073522.020132,416393.88552209793
10719177.41245802,21047240.126590487,32188147.20594879,421729.6669002848
10822302.774733603,21055823.011223838,32305085.563323364,426959.7773659236
10924719.951295523,21067172.960840046,32423979.22178421,432086.3096486421
10519365.030276526,21341449.73475043,32297926.080059763,437111.3150328061
10617216.222939322,21322410.797598872,32381663.824716646,442036.8041784548
10714616.820935525,21309179.83813468,32470661.40699613,446864.7479259261
10811374.405676503,21301038.40099727,32564009.88475829,451597.07808451605
10907465.808595786,21297396.399142455,32661097.89594374,456235.6882054971
11003193.49782224,21297766.766317267,32761742.69847932,460782.4343398147
11098536.110745005,21301741.08262586,32865516.32915163,465239.13578076835
11193433.594772132,21308975.67150428,32972016.842068393,469607.5757919787
11287932.76392153,21319172.70632829,33080994.972570755,473889.5023209338
11381915.467713395,21332071.111584082,33192073.207995877,478086.62869840243
10963561.185509373,21608848.041533764,33054609.86136713,482200.6343239929
11054141.466494061,21591027.24104386,33131401.872876056,486233.1653381361
11144255.155338682,21579030.61714727,33213471.60776671,490185.8352807567
11233734.799661249,21572124.1237871,33299919.14918525,494060.22573690256
11322601.114440775,21569709.169293657,33390168.17070402,497857.88696958555
11411090.806530526,21571300.72576863,33483971.87083925,501580.3385400903
11499284.024127817,21576477.025063545,33580990.11910736,505229.0699159971
11586830.955626205,21584884.282103863,33680520.77879723,508805.54106716503
11673956.74011051,21596217.27283112,33782485.19599154,512311.18304990965
11760504.35900148,21610207.5693283,33886459.32690939,515747.398579614
11333333.209658325,21891272.877995346,33743721.65024567,519115.56259199773
11416721.600262875,21874425.166706476,33813563.78976262,522417.022793272
11499596.444271747,21863281.26829102,33888530.81276216,525653.1001993956
11581732.521808736,21857112.986067533,33967670.59754093,528825.0896646585
11662914.8613275,21855321.454611897,34050170.576339185,531934.2603997894
11743729.949630167,21857438.599490024,34136150.405600004,534981.856479808
11824163.322445218,21863056.348035924,34225188.76782295,537969.0973418164
11904084.285737338,21871826.96017091,34316808.42418118,540897.1782729346
11983496.475707918,21883452.79181588,34410716.53841238,543767.2708885714
12062211.402089356,21897660.58876595,34506452.51445653,546580.5236012232
11617100.017678436,22180954.335654464,34347392.41541289,549338.0620799898
11694108.625675585,22163695.274328895,34411603.9864962,553800.0864917203
11770654.68128782,22152216.320729624,34479328.92919191,556457.9271744653
11846526.809243582,22145779.461136498,34551369.40181513,559063.1314350496
11921838.463476308,22143781.15822575,34627236.36339803,561616.7416959765
11996823.161570271,22145729.779264715,34706672.720570385,564119.7797354003
12071502.51691898,22151193.654681988,34789269.41869694,566573.2470959709
12145511.572541064,22159810.016909085,34874299.714935735,568978.1254855823
12218855.631762858,22171262.124238327,34961453.13317137,571335.3771701837
12291192.35560142,22185255.56847467,35050093.8694349,573645.9453588121
11857400.355841989,22458345.59166481,34891656.7020878,575910.7545809994
11929657.278424393,22441509.811168432,34964651.54696788,593484.4573750555
12001560.782114595,22430522.997566383,35027802.01811625,595718.2384352724
12072958.877088282,22424613.92909186,35095480.58741724,597907.7812370927
12143566.674854128,22423151.58087187,35166772.21761006,600053.9618840616
12213874.867775312,22425609.77550742,35241642.282411925,602157.63912919
12283877.364765462,22431563.817926694,35319660.837410726,604219.6547185679
12353378.926639805,22440644.956828922,35400264.7171969,606240.8337281729
12422340.828468192,22452540.668725938,35483103.48208813,608221.9848940088
12490756.75749698,22466976.59908996,35567897.25752265,610163.9009357061
12020539.988989806,22755840.79423003,35388448.14209355,612067.3588737122
