Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27265717.87809683,3523.9036000000006
7409068.608032173,19991085.522161298,27406901.8485211,6747.718327625955
7540872.334331541,19998404.63547435,27549034.173172474,9757.203366582882
7672226.467124167,20007343.424668394,27692178.6491268,12608.75733424241
7803180.814584098,20017814.19304527,27836334.594352603,15339.586723233362
7933803.123650948,20029756.35109248,27981533.825114854,17974.35037142772
8064141.94690854,20043095.066932846,28127766.515114393,20529.50127300664
8194018.320522482,20057758.470448475,28274792.91473958,23016.123768624813
8323091.836063607,20073682.36214037,28422215.985777818,25441.78757384479
8368906.695483023,20131369.767971314,28528088.22283543,27811.759381088992
8497051.961859139,20144426.179569155,28670101.446374834,28623.304946542645
8624740.54694859,20159127.61833124,28814646.887798376,30778.722518549705
8751927.783615923,20175350.38311401,28960167.591953713,32889.4252237843
8878813.638609955,20192991.81672997,29106762.45698122,34957.0016412904
9005090.533956023,20211959.91631906,29254033.215510715,36982.76523563122
9130768.831998136,20232170.89580982,29401907.57205729,38967.84424933202
9256147.236858193,20253563.389332764,29550623.866739966,40913.24054900765
9380980.18276058,20276085.11710917,29699885.168052617,42819.86818286829
9505360.850305859,20299679.69069756,29849729.119682424,44688.57867900671
9546461.418178389,20363429.22555213,29956410.821408227,46520.17767770651
9669613.295634456,20383722.319587667,30101651.05112128,48315.435899156
9792440.015427325,20405554.3270642,30248069.438899316,50075.09640779129
9914899.237133346,20428806.675471604,30395505.792059775,51799.879454823684
10036927.559238948,20453373.47894039,30543791.52391573,53490.4857363908
10158368.747645073,20479159.02986982,30692675.376129467,55147.59861457473
10279223.41523749,20506089.3726853,30842084.673581697,56771.88565890692
10399689.301875187,20534107.861565776,30992161.16318304,58363.99974207417
10519658.776619473,20563161.416782282,31142744.773244333,59924.57984257632
10639065.785797888,20593204.431144893,31293724.468596965,61454.25165418131
10673655.321962183,20663809.20587205,31400418.15590169,62953.628067453974
10791436.089511946,20690318.039990183,31546177.439068172,64423.30956604452
10908447.938079085,20718274.3490596,31692586.17170435,65863.884565662
11024974.968952665,20747554.526825547,31839805.425492227,67275.92971401171
11140915.645169906,20778056.049248766,31987631.704582345,68660.0101636719
11256152.812907172,20809691.453147504,32135860.945880443,70016.67982576549
11370603.077595394,20842384.10896462,32284333.668169603,71346.48160959031
11484412.432916585,20876071.321326926,32433133.70189512,72649.9476516111
11597498.36779322,20910696.38583803,32582122.353167318,73927.59953606625
11709760.140550237,20946206.489137053,32731146.57819598,75179.94850868963
11734594.402820583,21024258.387198903,32835260.285704043,76407.49568455596
11844607.574201332,21055940.388390914,32978158.694842983,77610.73225073588
11953588.68382397,21088938.65296863,33121317.476456836,78790.13966423526
12061861.38473091,21123131.309106357,33264938.88368283,79946.18984555645
12169259.092846798,21158421.56631066,33408760.00452558,81079.34536812593
12275794.58504898,21194725.325142253,33552709.96983501,82190.05964377515
12381436.253563086,21231969.070748422,33696684.10141593,83278.77710441967
12486207.060630132,21270091.50144404,33840644.49545424,84345.93338005703
12590107.970061518,21309033.44350457,33984533.369039275,85391.95547318479
12692973.986198362,21348741.29175318,34128132.539881274,86417.26192972845
12708992.488730878,21430872.38588657,34227287.137624,87422.26300656128
12809267.267416915,21466626.54433873,34364301.172591336,88407.36083569101
12908426.752661902,21503557.050149724,34501356.75239681,89372.9495851853
13006532.613115776,21541540.924191833,34638392.952924505,90319.41561690328
13103644.325005887,21580482.882282447,34775374.344929434,91247.1376410995
13199799.74526986,21620310.600764588,34912266.83290241,92156.48686796302
13294959.540683435,21660949.00587505,35048956.37371464,93047.82715615374
13389121.095100444,21702337.346018493,35185379.956277326,93921.51515839579
13482323.297141604,21744421.762307327,35321522.95991311,94777.90046418684
13574495.528063362,21787152.778018057,35457265.6318211,95617.32573968056
13582119.346199729,21870844.457581893,35549403.93064642,96440.1268647987
13671688.532105748,21909590.285509247,35678525.450682625,97246.6330676273
13760051.027598161,21949373.570651375,35807461.76530569,98037.16705615143
13847260.165457912,21990076.101324953,35936148.31193025,98812.04514738062
13933358.064921346,22031602.836123616,36064532.47843888,99571.57739391722
14018398.556672867,22073886.410750616,36192601.0351315,100316.06770801816
14102464.672519878,22116851.270156432,36320361.756659515,101045.81398319954
14185272.362041296,22160437.957928274,36447471.428183004,101761.10821343308
14267095.45485477,22204591.28268089,36574148.97414564,102462.23660998204
14347828.751497693,22249262.55871204,36700240.78992565,103149.47971592289
14342675.504650807,22335253.398954798,36781752.01612401,103823.11251839963
14420489.796134138,22375639.044817936,36900612.24551073,104483.40455865437
14497101.817528429,22416951.64758346,37019184.08515177,105130.62003987913
14572463.231350008,22459071.540891945,37137299.79017489,105765.01793293169
14646589.123286122,22501899.191984944,37254875.16735102,106386.85207995788
14719679.350184299,22545366.165458616,37372041.88693887,106996.3712959616
14791710.830907175,22589402.073402565,37488706.723778106,107593.81946836329
14862604.703225259,22633950.94113824,37604735.08001809,108179.43565458694
14932454.81363211,22678968.351163954,37720176.61897378,108753.45417771429
15001108.339946574,22724404.633477192,37834829.07814401,109316.10472024465
14984985.947228538,22810182.964171562,37905036.523816094,109867.61241599797
15051423.681514699,22851196.40389498,38013028.28334988,110408.19794019793
15116604.301411329,22893067.54694436,38120609.925953455,110938.07759777072
15180623.34131594,22935682.0208338,38227762.82555964,111457.46340989543
