Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-488270.29923297034,11911.26692746903,0.0,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-492763.824005869,13090.080215148657,0.0,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-496158.3774715924,13958.701107284367,0.0,-0.0,-0.0
1628126.27130303,-2142533.651920808,-499784.6943278167,14622.686289961532,0.0,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-503407.7102039599,15151.047864342794,0.0,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-507147.4614474817,15588.91797072772,0.0,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-510851.81915567117,15965.824203511831,0.0,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-513678.08580772247,16301.097000701868,0.0,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-515049.7568648339,16607.40298956868,0.0,-0.0,-0.0
1708021.8266141606,-2208342.403374054,-483427.52297763363,16893.053782259565,0.0,-0.0,-0.0
1714478.478988248,-2221656.3555373927,-490872.5376622425,16305.338886902326,0.0,-0.0,-0.0
1721408.5203015837,-2234417.7513069515,-496457.960351217,16551.270654150867,0.0,-0.0,-0.0
1728689.4859346715,-2246670.2885762067,-501192.33740487753,16788.46523665761,0.0,-0.0,-0.0
1736229.859417657,-2259340.025120409,-506091.72993868584,17018.435764066693,0.0,-0.0,-0.0
1743957.1375777982,-2270582.1808199836,-509382.8422845988,17242.20095758679,0.0,-0.0,-0.0
1751813.2225230455,-2281565.7469336432,-512292.0685258726,17460.45588472515,0.0,-0.0,-0.0
1759757.1324801515,-2293398.8910867725,-515968.0750599137,17673.683546707627,0.0,-0.0,-0.0
1767757.6725218876,-2304126.980138323,-518487.07981225534,17882.22780417988,0.0,-0.0,-0.0
1775786.5013351375,-2314937.9513874333,-521065.10901220347,18086.34104009223,0.0,-0.0,-0.0
1801246.3833794931,-2305482.2768547465,-485949.6781602842,18286.215314969075,0.0,-0.0,-0.0
1805506.6675742157,-2315522.797437783,-491534.12712812005,18482.00273544707,0.0,-0.0,-0.0
1810348.3615333368,-2326386.661948011,-497364.4716404112,18673.828774262995,0.0,-0.0,-0.0
1815646.272322757,-2336899.7933124253,-502391.7200053461,18861.80098432202,0.0,-0.0,-0.0
1821301.1347120176,-2347000.12474974,-506652.9753347931,19046.014702929562,0.0,-0.0,-0.0
