Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52968289.83419346,94652.47391524269
14439629.099533154,38540260.76420462,53161134.388415754,181244.5246779794
14640881.53763132,38455602.19189735,53358563.38379084,262079.65426216662
14842543.100859858,38380344.8255564,53561560.662720114,338672.7363038548
15044923.758035498,38313739.19520053,53770686.094899565,412023.1416635371
15247816.019716727,38255135.46724563,53985744.696650326,482793.2096879707
15450688.018913468,38204014.89855883,54206127.78724916,551424.8697768584
15653960.276384931,38159944.61240689,54432120.73744323,618215.8486514093
15857272.128023852,38122544.762834236,54663186.360638835,683369.4697807536
12906781.702835556,39718397.789959446,53372206.68995088,747027.1971558845
13104704.017171072,39435809.79854637,52544914.37028241,4400.554564975658
13304157.64870203,39187659.72345396,52496549.30119549,4731.929039503978
13504464.812882828,38969720.31711823,52479241.559039496,5056.429038444473
13705511.165667588,38778596.52507131,52489481.98952926,5374.298790364631
13907725.451825006,38611411.078877695,52524822.27093036,5685.74022765801
14111480.162440542,38465775.24840115,52583246.33764833,5990.926806632481
14315853.391610036,38339714.52126712,52661857.92543169,6290.012554529614
14519502.227479583,38231489.866007864,52757575.231484815,6583.137997365929
14724444.07578634,38139016.93546579,52870331.445301436,6870.434049298363
14912680.083612889,38069354.88210361,52989186.99028618,7152.024569679792
15120040.303633312,38001672.46222987,53125353.96709252,3641.2012293345615
15328079.86995928,37945187.60480611,53277041.28947297,3773.814707574261
15536732.541381571,37898416.48703359,53439052.8281272,3903.7997120415284
15745751.367588215,37860545.88854766,53610328.46518525,4031.209049372385
15954993.522858717,37830975.887137085,53790125.50421566,4156.094219854616
16164721.03362198,37809044.55184412,53978044.09099969,4278.505533600373
16375156.389966294,37794227.38601729,54173782.26817671,4398.492193121969
16585591.176236218,37786042.195037074,54376149.47362712,4516.102353822653
16796188.180192064,37784046.48106244,54584866.04442444,4631.383169927054
16997514.93735495,37793063.64173243,54795322.959918156,4744.380830770658
17207866.822643086,37801476.58829484,55009343.41093793,0.0
17418549.706347305,37815127.87672354,55233677.583070844,0.0
17629561.31814472,37833523.967386365,55463085.28553109,0.0
17832597.55473507,37856228.745912634,55688826.3006477,0.0
18035389.010871302,37882965.97321602,55918354.98408732,0.0
18238101.9879487,37913600.43456749,56151702.42251619,0.0
18440790.830663458,37947964.37559123,56388755.20625469,0.0
18645720.4562487,37985922.932660155,56631643.38890885,0.0
18850645.181539714,38027355.69561737,56878000.87715708,0.0
19055154.273212716,38072115.92699859,57127270.20021131,0.0
19259574.241086688,38120055.73022658,57379629.97131327,0.0
19463858.36294409,38171055.364598915,57634913.727543004,0.0
19665670.540301036,38224865.9675437,57890536.50784474,0.0
19866827.710755356,38281321.237130314,58148148.94788567,0.0
20067521.19633581,38340470.01279369,58407991.209129505,0.0
20269075.16143725,38402172.59417057,58671247.75560782,0.0
20470213.79279349,38466357.99387661,58936571.7866701,0.0
20674570.97358347,38532985.38271561,59207556.35629909,0.0
20878398.776340485,38602004.112472974,59480402.88881346,0.0
21081035.5522419,38673318.602257505,59754354.154499404,0.0
21283207.288187467,38746835.685014784,60030879.19696625,836.2237640091206
21485001.344748966,38822482.70906893,60308329.41085148,845.3570335802782
21685947.057118945,38900238.158085376,60587039.52463033,854.3094260062994
21886039.047865003,38979993.188157275,60866895.320545696,863.0845234155452
22084990.427092835,39061659.52584615,61147521.63877598,871.685836995077
22283678.64809045,39145178.5916887,61429737.35658754,880.1168083956272
22481627.321161836,39230480.65907014,61712996.36104309,888.3808111087307
22677289.16064351,39317479.22917164,61995664.87096697,896.4811518165776
22871158.196221355,39406049.14902243,62278111.766315505,904.4210717151295
23062467.5502648,39496642.96978641,62560022.72379903,912.2037478110258
23253801.827391807,39588083.04972527,63025573.75266993,183688.87555285744
23444167.612774663,39680930.858813286,63310280.584437124,185182.11284917934
23633456.16989389,39775120.46602152,63595222.413683146,186645.7777677318
23821924.265882198,39870592.15175622,63880596.873604365,188080.45596595207
24008636.246662814,39967325.44089433,64165448.40905994,189486.72150279683
24194215.76829912,40065220.51522209,64450301.42058965,190865.1370684415
24378236.898222465,40164245.44202523,64734698.59445712,192216.25420942952
24559439.802678466,40264285.50103692,65017265.91726475,193540.6135493636
24739142.232503306,40365275.53304597,65299256.5105545,194838.74500522533
24763342.437946964,40544643.212470144,65504096.81841652,196111.16799941193
24939616.84021802,40637116.901617795,66106154.59668462,529420.8548488105
25114442.03059202,40731410.27273585,66378552.62035336,532700.3170254956
25287827.82340512,40827361.55436732,66651104.209832855,535914.8320604226
25457673.85009183,40924691.54600604,66921431.08227798,539065.6861801117
25624814.702898074,41023120.76795767,67190089.61099413,542154.1401383891
25789874.306875546,41122605.683232464,67457661.41982886,545181.4297208529
25953104.775367215,41223069.46752312,67724323.00912969,548148.7662393502
26114451.588728,41324360.916207366,67989869.84195203,551057.3370166599
26273775.110596806,41426406.49865129,68254089.91510966,553908.3058615768
26027027.0104535,41730554.047117226,68314283.87110531,556702.8135345874
26181154.29621607,41807382.64050006,68770484.86088084,781947.924164719
26328804.24624282,41887054.99508945,69001559.95112367,785700.7097913857
26473662.90882195,41969040.47435036,69232082.5576539,789379.1744815848
26617032.92973648,42052958.83819998,69462976.55803885,792984.7901023893
26756549.180498194,42138607.769237354,69691675.94910727,796518.9993717157
26894118.260528367,42225706.58630732,69919808.06327128,799983.2164355979
27029363.900921717,42314073.01403926,70146815.74239501,803378.8274340322
27161406.46174631,42403536.4058911,70371650.05869302,806707.1910556139
27293677.858611796,42494025.17422233,70597672.67191532,809969.6390811905
26851371.85776613,42873128.94464218,70537668.27932505,813167.4769167484
26981787.859760266,42926820.93298722,88810998.84807014,18902390.055322662
27110706.91506973,42985175.40347139,89069417.96221696,18973535.64367583
27237863.78564329,43047614.39743475,89328750.43327914,19043272.250201106
27363515.771905072,43113409.60563205,89588553.1562008,19111627.778663676
27480534.45113603,43181918.289335355,89841082.3206882,19178629.580216825
27595628.527475648,43252884.01176959,90092817.00359124,19244304.464346003
27709247.38446603,43326053.210965365,90343979.3050275,19308678.70959611
27818508.3996917,43401135.17217119,90591421.64594923,19371778.074086335
27927760.194971036,43477944.34319383,90839332.34398167,19433627.805816796
12968987.388841446,51344559.52065971,83807799.5622722,19494252.652771052
