Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52883507.69527822,9870.335
14439629.099533154,38540260.76420462,52998789.99493867,18900.131200895477
14640881.53763132,38455602.19189735,53123813.326709285,27329.597180609835
14842543.100859858,38380344.8255564,53258204.62997837,35316.70356211774
15044923.758035498,38313739.19520053,53401628.61771104,42965.664475005935
15247816.019716727,38255135.46724563,53553297.03545391,50345.548491555215
15450688.018913468,38204014.89855883,53712205.357365236,57502.43989293633
15653960.276384931,38159944.61240689,53878372.274334885,64467.38554306348
15857272.128023852,38122544.762834236,54051078.47881772,71261.58795963807
15612923.37819748,38325276.29951209,54016099.47667987,77899.79897030693
15815245.791513087,38264339.06213786,54168197.018106125,88612.16445517352
16017743.109296298,38213048.08818467,54326076.11397219,95284.91649121436
16219743.32398504,38170583.2365815,54492145.80059522,101819.24002867925
16421295.405120958,38136252.32065572,54665767.77877486,108220.05299817595
16622993.183498722,38109469.777692705,54846954.38282101,114491.42162958601
16825258.0516095,38089740.47315211,55035635.36350313,120636.83874151933
17026480.682986777,38076605.039142646,55229745.12804686,126659.40591743749
17226100.881353635,38069586.43599294,55428249.27021874,132561.95287216446
17426186.7011552,38068156.95929831,55632690.77622396,138347.11577044567
17233925.605997372,38276707.93851384,55654650.93322854,144017.3887173271
17434010.886790987,38251426.106562875,55835012.151065916,149575.15771205703
17634020.95821562,38234436.067656904,56023479.749009594,155022.7231370727
17833857.502197072,38224981.693586834,56219201.51053343,160362.31474952167
18033117.82942027,38222437.28075979,56421151.21194792,165596.10176786076
18231932.316818077,38226340.55163268,56628999.06819846,170726.1997476944
18430584.142432164,38236167.59800962,56842506.41579576,175754.67535397332
18628613.766560458,38251523.84052133,57060821.15683487,180683.5497530862
18826087.151252735,38272055.80816976,57283657.76052022,185514.80109773114
19023207.364049926,38297238.26811141,57510695.998575,190250.36641366986
18740868.445268236,38573644.400232695,57509404.98859138,194892.14309044648
18935538.64781627,38568745.88623091,57703726.5241554,199441.9901082192
19130096.1720162,38571437.58721337,57905435.48831672,203901.72908715685
19324561.659203816,38580770.50904821,58113605.31346801,208273.14521598548
19510544.333014216,38595960.99321776,58319063.31432873,212557.98809676166
19695911.935912415,38616440.573555894,58529110.4819985,216757.9725301911
19880852.579992052,38641881.430586435,58743608.78983597,220874.77925747648
20065236.00196205,38671943.74982069,58962089.80745197,224910.05566923242
20251602.10883927,38706361.40301381,59186828.928341515,228865.41648844056
20437865.181702193,38744910.76938919,59415518.39552347,232742.44443209088
20172475.101656843,39010450.026248306,59419467.81875978,236542.6908546303
20357200.815485753,39021571.77540898,59619040.26727009,240267.67637534277
20541736.534298763,39039926.540876545,59825581.96666643,243918.89149113192
20724566.80928616,39064594.15049922,60036658.75696113,247497.7971757475
20906880.016224634,39094996.26454446,60252882.1062353,251005.82546621727
21088619.84686758,39130801.25713364,60473865.48403828,254444.38003705922
21271155.90161267,39171544.46839781,60700515.20677321,257814.83676272476
21452582.756272707,39216698.73724746,60930400.037788816,261118.54426864546
21637264.15059377,39265831.91792828,61167452.89299325,264356.824471197
21821490.073641136,39318675.905854516,61407696.95260251,267530.9731068587
21607531.973436482,39579471.92022425,61457646.15391155,270642.2602508226
21790246.304907065,39604889.75789104,61668827.99362339,273691.93082528317
21972698.861361846,39637024.39251524,61886404.45897472,276681.2050976305
22154430.166955546,39675260.897866644,62109302.343990944,279611.2791687576
22335235.07733209,39719110.51626455,62336828.91904832,282483.3254516831
22515065.49782701,39767936.030152895,62568300.02112059,285298.4931406871
22694829.63113156,39821355.689454876,62804243.229257576,288057.9086711505
22874088.14824267,39879033.13026251,63043883.95467546,290762.67617028364
23051338.5448645,39940661.66270726,63285414.08547069,293413.8778989266
23227882.17907146,40005975.7359512,63529870.489707254,296012.57468459825
22882453.347040396,40341524.46458775,63522537.61797411,298559.8063459678
23055252.129474223,40378108.456674136,63734417.17825728,301056.5921089199
23227383.55476444,40421168.18999564,63952055.67577446,303503.9310143794
23398814.32549904,40469702.34313043,64174419.470947534,305902.80231805827
23569780.439097427,40523106.25583813,64401140.86081785,308254.1658822871
23739333.38132759,40580944.529192254,64630836.873079926,310558.96256008535
23908112.855076823,40642751.05879552,64863682.02844397,312818.1145716259
24075764.484155316,40708241.24457733,65099038.25460589,315032.5258732443
24241021.507454246,40776998.115833476,65335222.70580686,317203.0825191388
24405230.819270518,40848727.52716478,65573288.999451205,319330.65301590896
24101524.649300355,41158470.879662685,65581411.61763311,321416.0886700709
24263351.893055446,41199560.181009896,65786372.297994025,323460.22392869054
24424247.9187171,41246884.64698443,65996596.442414805,325463.87671327754
24584031.08148968,41299780.9580823,66211239.88831903,327427.8487470513
24741825.0070987,41357770.85358625,66428948.7865607,329352.92587574205
24897910.656462785,41420068.64181606,66649219.176660866,331239.8783820295
25052429.304735187,41486348.764922895,66871867.53095184,333089.4612937573
25205568.050217927,41556335.823736526,67096806.2886405,334902.41468604305
25357355.321053434,41629632.31423531,67323667.09926616,336679.46397740446
25507656.86716133,41705820.82448314,67551899.0118645,338421.32022002246
25060261.519846268,42081467.77538114,67481857.97561166,340128.68038425426
25208627.36899163,42120457.73777824,67670887.33440739,341802.2276375143
25352013.33841599,42165687.33248035,67861143.30251397,343442.6316176271
25494243.911049888,42216308.209977746,68055602.66972841,345050.5487007743
25635118.865227785,42271654.900665484,68253400.3881574,346626.62226412847
25772350.162640713,42331265.580755204,68451787.2263392,348171.48294328846
25907898.517105028,42394597.09763384,68652181.36362348,349685.74888461654
26042010.81102509,42461279.475231394,68854460.31224905,351170.02599257755
26173158.42125672,42530972.066507325,69056755.39593622,352624.9081721799
26304786.593073767,42603328.18499115,69262165.75563154,354050.97756661533
25905695.402134743,42943716.88162623,69204861.08855118,355448.80479019275
26033435.8141838,42983268.01624536,69373522.77958582,356818.94915665855
26159987.661565028,43028432.77523356,69546582.39570159,358161.9589029928
26285092.708359215,43078568.54821337,69723139.62798136,359478.37140878034
26408993.17243694,43132909.605383225,69902671.4912314,360768.71341122955
26524528.68375467,43190769.3056948,70077331.4906654,362033.50121593714
26638410.511172943,43251829.7443061,70253513.49638252,363273.2409034779
26749944.550763965,43315729.30028104,70430162.27957691,364488.4285319031
26857438.351589702,43382122.07758183,70605239.97950676,365679.5503352284
26965210.12654441,43450856.158946306,70782913.36840871,366847.08291799144
26631996.770174086,43763315.487467386,70763303.75108744,367991.4934459558
