Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-311261.3214442358,33363.0305689483,0.0,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-352927.66846423177,36664.84422079757,0.0,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-388413.0211121383,39097.82012114611,0.0,-0.0,-0.0
3211482.199131155,-3674964.254385618,-422524.43650048674,40957.61875397669,0.0,-0.0,-0.0
3206944.278738542,-3704786.043744383,-455404.22447151295,42437.540534328,0.0,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-485393.95803143823,43663.99896511501,0.0,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-511702.21209277876,44719.69977700803,0.0,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-538081.7746727839,45658.78683212155,0.0,-0.0,-0.0
3206571.424589799,-3814915.432166111,-561827.268678114,46516.73889819844,0.0,-0.0,-0.0
3288031.7406931776,-3713225.0904549016,-377876.5132595826,47316.83650214118,0.0,-0.0,-0.0
3270015.725953139,-3742464.1238705353,-421970.29095628054,50478.10696111575,0.0,-0.0,-0.0
3256554.139882638,-3770812.246814389,-463018.6438198419,51239.46311190879,0.0,-0.0,-0.0
3246920.85861179,-3797272.130487979,-498377.50121082016,51973.77066536851,0.0,-0.0,-0.0
3240549.097497719,-3823712.263447453,-530477.4519778827,52685.71397185108,0.0,-0.0,-0.0
3236998.7792155663,-3852562.7468512105,-562185.5208447434,53378.44679090062,0.0,-0.0,-0.0
3235927.02114601,-3883279.621990354,-593298.479930182,54054.120914161605,0.0,-0.0,-0.0
3237047.2008276773,-3908306.077051233,-616544.6446055764,54714.23161797935,0.0,-0.0,-0.0
3240094.556823303,-3931246.2252836186,-635791.8250333559,55359.843426959706,0.0,-0.0,-0.0
3244697.8786501433,-3960655.704980602,-659966.0886616176,55991.73766884139,0.0,-0.0,-0.0
3325238.8681682013,-3867390.253665638,-485540.8765723832,56610.50892505327,0.0,-0.0,-0.0
3310986.608427729,-3895221.192247264,-527017.9557318519,57216.6280876833,0.0,-0.0,-0.0
3301193.5977863306,-3922362.6119854613,-563358.5306036017,57810.483595529004,0.0,-0.0,-0.0
3295138.7398615438,-3949731.1212413115,-596199.9729686374,58392.40841113027,0.0,-0.0,-0.0
3292252.8830250967,-3976126.4827520144,-624910.9020469737,58962.6976799443,0.0,-0.0,-0.0
3292091.5675764936,-4002728.59014127,-651115.4022644178,59521.62030035844,0.0,-0.0,-0.0
3294285.5780927227,-4030343.886848143,-675988.882241151,60069.42651426916,0.0,-0.0,-0.0
3298541.421250218,-4056463.3405936514,-697315.5664466424,60606.35289679116,0.0,-0.0,-0.0
3304614.4764440986,-4083068.3127597687,-717321.2106697713,61132.62564589889,0.0,-0.0,-0.0
3312146.204654442,-4109409.5826708907,-735614.9152558288,61648.462760619856,0.0,-0.0,-0.0
3419397.797581802,-4008026.3968698056,-526474.5237955924,62154.07549241109,0.0,-0.0,-0.0
3404829.7050965424,-4030051.001356869,-562571.6269392687,62649.66932105784,0.0,-0.0,-0.0
3394920.2860582797,-4055986.9009144153,-597931.1702367984,63135.44461933741,0.0,-0.0,-0.0
3388791.858898689,-4081309.348364404,-628905.8923519355,63611.597113779426,0.0,-0.0,-0.0
3385739.715983216,-4075307.8959188974,-625489.8617240149,64078.31821166632,0.0,-0.0,-0.0
3385252.1380321323,-4097605.4066616665,-647817.4733894164,64535.79524011816,0.0,-0.0,-0.0
3386960.101299115,-4120923.3492736695,-668979.0363473272,64984.21162722776,0.0,-0.0,-0.0
3390560.1526587876,-4143822.9200446205,-687839.0203409967,65423.74704483651,0.0,-0.0,-0.0
3395819.2295453367,-4176273.4779632217,-714599.670892123,65854.57752576181,0.0,-0.0,-0.0
3402551.0173792886,-4201304.607558976,-732476.714615831,66276.87556385642,0.0,-0.0,-0.0
3507965.272024683,-4102000.9813104803,-527344.8990834119,66690.8102023851,0.0,-0.0,-0.0
3493969.6244587135,-4128117.3746465,-567051.2030734743,67096.54711431211,0.0,-0.0,-0.0
3484658.9176972904,-4153489.8529733056,-601336.6865991586,67494.24867685673,0.0,-0.0,-0.0
3479113.3678842764,-4172696.50594198,-625699.0640158376,67884.07404186564,0.0,-0.0,-0.0
3476710.0128101846,-4196762.894912432,-651786.7028992238,68266.17920302322,0.0,-0.0,-0.0
3476993.472091147,-4220569.890707511,-674935.7015557894,68640.71706057512,0.0,-0.0,-0.0
3479564.343847889,-4249235.453813582,-700663.2724816779,69007.83748401506,0.0,-0.0,-0.0
3484003.1806514785,-4270193.916252185,-716823.048227669,69367.6873730367,0.0,-0.0,-0.0
3489972.986953764,-4306707.368596283,-747013.9709255621,69720.410716956,0.0,-0.0,-0.0
3497270.178331898,-4329605.086792795,-762268.7598081502,70066.14865274608,0.0,-0.0,-0.0
3592067.5794928623,-4231147.7093028,-568675.0902881522,70405.03952178522,0.0,-0.0,-0.0
3579520.7618806544,-4254956.696348298,-604698.7155422526,70737.21892539087,0.0,-0.0,-0.0
3571348.171658509,-4278969.789061531,-636558.7976238276,71062.81977919533,0.0,-0.0,-0.0
3566796.1271632393,-4301726.058032935,-663547.95850329,71381.97236640587,0.0,-0.0,-0.0
3565271.1886851895,-4324332.282177903,-687366.2891027286,71694.80438998523,0.0,-0.0,-0.0
3566298.539835028,-4345974.136946819,-707674.1560880088,72001.44102378219,0.0,-0.0,-0.0
3569504.5344988843,-4370958.594984164,-729152.0555226416,72302.00496263882,0.0,-0.0,-0.0
3574587.1672866256,-4394468.8366235625,-747285.0528654389,72596.6164714985,0.0,-0.0,-0.0
3581291.667182603,-4412504.138857316,-758327.078241177,72885.39343353678,0.0,-0.0,-0.0
3589410.0189577267,-4435030.611627664,-772452.1412726019,73168.45139733591,0.0,-0.0,-0.0
3699374.3265144373,-4346235.642364806,-573415.4122272452,73445.90362312345,0.0,-0.0,-0.0
3687942.778820214,-4369925.391426476,-608264.751478168,73717.86112809357,0.0,-0.0,-0.0
3680770.1788438866,-4392615.072752402,-637860.4611776859,73984.43273083025,0.0,-0.0,-0.0
3676959.966096045,-4413938.092808038,-662732.4016171431,74245.72509484991,0.0,-0.0,-0.0
3675918.970178534,-4435901.145049945,-685480.3321001305,74501.84277128159,0.0,-0.0,-0.0
3677192.0023316247,-4454504.793172129,-702559.9025998029,74752.88824070146,0.0,-0.0,-0.0
3680403.579449159,-4475068.742064478,-719666.2006611796,74998.96195413884,0.0,-0.0,-0.0
3685261.1470018467,-4494425.907219803,-733924.5978446867,75240.1623732698,0.0,-0.0,-0.0
3691504.795731115,-4508556.235610014,-741574.8538690837,75476.58600981513,0.0,-0.0,-0.0
3698902.6919078594,-4527242.713400714,-752631.6940286977,75708.32746415734,0.0,-0.0,-0.0
3813720.6599168824,-4432814.931276527,-543158.791896451,75935.4794631936,0.0,-0.0,-0.0
3800236.815550113,-4451607.97065921,-575213.022211659,76158.1328974385,0.0,-0.0,-0.0
3790954.0602553743,-4469811.7598147,-602481.3227019337,76376.37685739211,0.0,-0.0,-0.0
3785104.8761392864,-4487311.460040159,-625616.2852316835,76590.29866918804,0.0,-0.0,-0.0
3782079.5523647536,-4501725.355558864,-642845.8192645753,76799.98392953514,0.0,-0.0,-0.0
3781386.3485782407,-4516014.745942781,-657622.8808245726,77005.51653996747,0.0,-0.0,-0.0
3782650.9091186775,-4530865.739156117,-671007.8512970234,77206.97874041596,0.0,-0.0,-0.0
3785571.269582768,-4546586.199762445,-683610.4790375619,77404.451142115,0.0,-0.0,-0.0
3789886.106797011,-4561875.296872573,-694391.177315704,77598.01275985755,0.0,-0.0,-0.0
3795367.302896798,-4576474.743837811,-703319.6998974015,77787.74104361146,0.0,-0.0,-0.0
3905355.891605928,-4462896.816028197,-479567.2125127592,77973.71190950944,0.0,-0.0,-0.0
3889000.8124466687,-4481602.034943918,-514445.22272702307,78155.99977022562,0.0,-0.0,-0.0
3877031.7621104885,-4482440.702643909,-527074.26296867,78334.6775647502,0.0,-0.0,-0.0
3868640.3375000767,-4497186.749152953,-550036.594865301,78509.8167875747,0.0,-0.0,-0.0
3863204.680268736,-4510348.21189546,-568462.0441094248,78681.48751729901,0.0,-0.0,-0.0
3860234.883374643,-4515790.802673155,-576706.1608538409,78849.75844467207,0.0,-0.0,-0.0
3859334.979834368,-4528208.698217881,-589859.021483436,79014.69690007718,0.0,-0.0,-0.0
3860197.874229918,-4541256.663716898,-601882.4206065073,79176.36888047287,0.0,-0.0,-0.0
3862570.804399317,-4550009.349244388,-608103.7057692702,79334.83907580037,0.0,-0.0,-0.0
3866190.279360642,-4570000.537435441,-624320.0871799312,79490.17089486802,0.0,-0.0,-0.0
3969488.328395886,-4465411.62011505,-416280.8652284405,79642.42649072314,0.0,-0.0,-0.0
3952298.699473233,-4476462.637680796,-444372.2714220417,79791.66678552136,0.0,-0.0,-0.0
3939369.5951110967,-4489026.354277398,-469718.80767139804,79937.95149490345,0.0,-0.0,-0.0
3929931.062681272,-4500864.809016738,-490852.4071835766,80081.33915188933,0.0,-0.0,-0.0
3923326.299068485,-4512689.835678751,-509141.6494799665,80221.88713029903,0.0,-0.0,-0.0
3919017.9242234332,-4497368.943131758,-497991.36724061513,80359.65166770962,0.0,-0.0,-0.0
3916638.74579652,-4507223.816712973,-510090.3830284954,80494.68788795773,0.0,-0.0,-0.0
3915880.515970323,-4513983.345524216,-517475.77973069716,80627.04982319617,0.0,-0.0,-0.0
3916495.3352967817,-4514537.617019445,-517285.49128714926,80756.79043551392,0.0,-0.0,-0.0
3918319.981949228,-4531067.4674968375,-531863.5239094817,80883.96163812786,0.0,-0.0,-0.0
4014278.6464687847,-4416052.51868205,-320765.25789710996,81008.61431615498,0.0,-0.0,-0.0
