period,oha,ohv,ogs,ocp,ocf
1,6627.010052064737,1072860.0,16756621.537304055,49847037.94244569,3093062.139164026
2,6295.659549461496,1019216.9999999994,19520607.494719047,50003708.552644715,2987540.568942653
3,6295.659549461496,1019216.9999999998,22567293.355076708,50465291.49641701,2982392.5445350553
4,6295.659549461498,1019216.9999999999,25790133.701024942,51180737.79267966,3031965.8947820864
5,6295.659549461495,1019217.0,28955924.650976054,51679553.884231396,3079726.8740986977
6,6958.360554667969,1019216.9999999997,31920157.776220378,51896809.119267404,3104129.2861870634
7,6958.360554667971,1019217.0,34610686.75403511,52253371.70984676,3135454.0001909016
8,6958.360554667972,1019216.9999999992,36999141.05083478,52657627.64107096,3172169.493316642
9,6958.360554667971,1019216.9999999997,39055127.93353154,53074075.57479662,3210827.2524844334
10,6958.360554667971,1029094.5532314638,40846434.66280984,53475140.73440588,3245178.5259210467
