Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-316821.86972966365,27802.48228352046,0.0,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-359038.5232993794,30553.98938564997,0.0,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-394929.37508032215,32581.466152962257,0.0,-0.0,-0.0
3211482.199131155,-3674964.254385618,-429350.75931510545,34131.295939358,0.0,-0.0,-0.0
3206944.278738542,-3704786.043744383,-462477.2028320447,35364.56217379621,0.0,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-492671.3477181643,36386.609278388874,0.0,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-519155.5532814935,37266.35858829332,0.0,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-545691.6315863932,38048.92991851227,0.0,-0.0,-0.0
3206571.424589799,-3814915.432166111,-569580.1187134107,38763.888862901855,0.0,-0.0,-0.0
3250348.535404424,-3799248.571172733,-509469.3999378989,39430.63583040931,0.0,-0.0,-0.0
3245423.6654064795,-3827885.2423242894,-544402.7458723516,38058.831045458304,0.0,-0.0,-0.0
3242841.284015595,-3855176.85531483,-573702.702777871,38632.86852136392,0.0,-0.0,-0.0
3242221.214735569,-3879077.9126392235,-597670.1856584072,39186.51224524712,0.0,-0.0,-0.0
3243272.6379987802,-3903147.124556614,-620151.1924947534,39723.2940630803,0.0,-0.0,-0.0
3245773.2334853555,-3929166.367566683,-643147.5422755808,40245.59180574644,0.0,-0.0,-0.0
3249552.058480245,-3956508.564393551,-666201.478059992,40755.027853314285,0.0,-0.0,-0.0
3254459.658197288,-3977725.2546543633,-682012.8668621479,41252.729594927754,0.0,-0.0,-0.0
3260341.4827469764,-3996256.658551858,-694175.6761577834,41739.49964709836,0.0,-0.0,-0.0
3267080.036892243,-4022045.6559882797,-712749.6919908144,42215.92710522191,0.0,-0.0,-0.0
3316331.119837585,-4006390.3148670066,-647376.734765298,42682.46026412374,0.0,-0.0,-0.0
3315946.4314763574,-4030305.218641822,-671219.3330045273,43139.454160937705,0.0,-0.0,-0.0
3317539.5744015193,-4053372.1541988766,-692245.3781316268,43587.201665730725,0.0,-0.0,-0.0
3320795.742645541,-4073905.0195780634,-709083.3231112247,44025.95382129766,0.0,-0.0,-0.0
