Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52890910.406278215,17273.045999999995
14439629.099533154,38540260.76420462,53012965.01626696,33075.15252917989
14640881.53763132,38455602.19189735,53144310.41314804,47826.68361936488
14842543.100859858,38380344.8255564,53284692.013632834,61804.087216576074
15044923.758035498,38313739.19520053,53433852.69085865,75189.737622618
15247816.019716727,38255135.46724563,53591055.99151968,88104.50455732898
15450688.018913468,38204014.89855883,53755331.95279714,100629.03532483184
15653960.276384931,38159944.61240689,53926722.55060219,112817.66181037118
15857272.128023852,38122544.762834236,54104524.37919155,124707.48833346329
15624998.46729797,38301479.51869904,54062802.31652935,136324.33053233393
15829469.915484468,38247593.34316895,54217365.52543894,140302.2667855211
16034207.012904426,38202687.58735935,54387762.033153854,150867.43289008946
16238357.158330819,38165944.78093302,54565515.36031315,161213.42104931196
16442057.76181394,38136693.26169367,54750099.041476116,171348.0179685064
16645905.35263625,38114364.88586119,54941547.90032743,181277.6618299827
16850298.971413836,38098485.072373524,55139791.92670435,191007.88291698648
17053635.7793493,38088609.082552835,55342788.453960694,200543.5920585552
17255320.02867711,38084271.0841127,55549480.38241585,209889.26962605337
17457407.826200884,38085100.860695474,55761557.77643363,219049.0895372682
17238093.304052435,38303027.33099846,55769147.63583355,228027.00078265404
17439311.868172716,38285594.15344675,55961732.802805014,236826.78118555018
17640339.668023773,38275359.85311848,56161151.594151914,245452.07300966274
17840523.039445125,38271663.151248634,56366092.59738934,253906.4066955816
18039958.384368848,38273935.8260644,56576087.427264445,262193.2168311931
18238811.41023131,38281757.57401259,56790884.83728231,270315.853038399
18437359.837438334,38294647.66551468,57010285.090482086,278277.5875290798
18635144.27135382,38312240.344178505,57233466.23600822,286081.6204758936
18832237.892135337,38334201.65606051,57460170.63214249,293731.0839466474
19028844.526820663,38360234.942571804,57690308.51428412,301229.04489165056
18803254.93773356,38602232.10789601,57714065.553133585,308578.50750401424
18996793.83119391,38607841.27372674,57920417.52008278,315782.4151621307
19190098.97312006,38619632.109043725,58132574.734255,322843.65209121205
19382947.725298893,38636825.455552205,58349538.22568459,329765.04483348835
19567118.72696236,38658762.42080062,58562430.51134874,336549.3635857611
19750477.319321156,38684994.45665408,58778671.09941806,343199.3234428206
19933251.85468027,38715252.81604433,58998222.256296635,349717.58557203657
20115191.59685477,38749260.11156579,59220558.466756366,356106.75833580433
20298970.184281625,38786797.224941455,59448136.80759597,362369.3983728871
