Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52895845.56227822,22208.201999999997
14439629.099533154,38540260.76420462,53022415.05984672,42525.19610894557
14640881.53763132,38455602.19189735,53157975.17989643,61491.45036775485
14842543.100859858,38380344.8255564,53302350.324266136,79462.39784988352
15044923.758035498,38313739.19520053,53455335.473036535,96672.51980050886
15247816.019716727,38255135.46724563,53616228.70710749,113277.22014513727
15450688.018913468,38204014.89855883,53784083.10574709,129380.1882747838
15653960.276384931,38159944.61240689,53958956.168262295,145051.27947047722
15857272.128023852,38122544.762834236,54140155.09014396,160338.19928588136
15422083.57456586,38402689.11678866,54000046.83061038,175274.13925585788
15627596.077158272,38330166.91192546,54138151.61780797,180388.62872424157
15833558.906737022,38269009.96143659,54296541.28188945,193972.41371582943
16039192.897527665,38218048.55261694,54464515.848636575,207274.39849197274
16244511.325147405,38176349.512425445,54641165.43210379,220304.5945309369
16450108.710529808,38143134.639021605,54826314.62904711,233071.2794956922
16656369.021637155,38117759.57538908,55019710.160776645,245581.56375041133
16861659.76609364,38099643.698442325,55219145.22575411,257841.7612181426
17065402.512712866,38088209.11454755,55423469.259636775,269857.6323763546
17269645.320781004,38082866.810370415,55634146.67484219,281634.5436907736
16833587.423208952,38403963.9710133,55530728.966657095,293177.57243484113
17038107.49806027,38359673.93438064,55702273.008250915,304491.57580999314
17242782.975082234,38325875.181541175,55884239.39335012,315581.2367267093
17447345.391355302,38301487.496825136,56075283.98250333,326451.0943228907
17651424.02453443,38285622.01634477,56274151.60537645,337105.5644972482
17855178.04047035,38277579.673999935,56480306.6683768,347548.9539065131
18058828.791927114,38276646.662424706,56693260.92403206,357785.4696802454
18261910.534610823,38282275.30639516,56912005.067332126,367819.22632614884
18464477.266603358,38293979.92219974,57136111.439591646,377654.2507885467
18666705.39369777,38311140.37127943,57365140.251266465,387294.48628926516
18229661.36649063,38659260.70428651,57285665.86613944,396743.79536230414
18429553.83366547,38635672.134357,57471231.93037378,406005.96235131094
18629507.368053023,38621664.01054608,57666256.074144945,415084.69554584415
18829508.289389774,38616077.6806062,57869569.599067606,423983.6290716281
19021187.27842157,38617944.62064721,58071838.223679036,432706.3246102644
19212343.16562219,38626552.49992877,58280151.938548885,441256.2729979122
19403142.087905366,38641421.71776617,58494200.701407015,449636.89573547564
19593290.414532557,38662099.138188384,58713241.09915269,457851.54643174843
19785474.19064755,38688215.33430127,58939593.03714253,465903.5121937121
19977463.01976729,38719238.32965057,59170497.36439131,473796.01497344533
19531195.119835697,39080584.554929025,59093311.88764272,481532.2128779992
19721451.879172027,39069936.05673885,59280503.13735744,489115.2014465596
19911605.624093022,39068374.08302176,59476527.72201268,496548.0148978957
20099592.32279986,39074842.607764795,59678268.55791487,503833.6273502107
20287104.221370656,39088509.767991394,59886588.943377,510974.9540149466
20474159.69106346,39108865.786794975,60101000.33022414,517974.8523657132
20662079.485519424,39135317.13980021,60322232.7486029,524836.1232832605
20848796.814011734,39167409.84788779,60547768.17407678,531561.512177248
21038821.729942445,39204780.44107724,60781755.88110514,538153.7100854553
21228427.903923623,39247003.42219128,61020046.6808659,544615.3547509976
20778635.80674102,39613315.07684427,60942899.915263355,550949.0316780624
20966284.269901015,39613646.14742035,61137087.69248799,557157.2751666391
21153897.5269308,39623152.05996843,61340292.15622593,563242.5693266996
21340849.015214093,39640790.31538306,61550846.679669395,569207.349072244
21527230.125363074,39665733.87316235,61768017.99962107,575054.0010956416
21712853.661248855,39697336.171268106,61990974.69733962,580784.8648226543
21898593.69414852,39735050.69133938,62220046.61883643,586402.233348535
22084015.72205194,39778298.05367559,62454222.130083114,591908.3543555818
22267626.78845742,39826553.39752721,62691485.616997145,597305.431012514
22450686.459509533,39879443.12710493,62932725.209470496,602595.6228560338
22022405.432497595,40222783.26256722,62852969.741719745,607781.0466549284
22203889.345377423,40237322.34845312,63054075.4710876,612863.7772570581
22385203.638857786,40260747.63138943,63263797.118666776,617845.8484195635
22566313.01051058,40291976.15670013,63481018.42083336,622729.2536226433
22747364.670519155,40330272.56781588,63705153.18520224,627515.9468672031
22927394.398563128,40374974.750126936,63934576.992146775,632207.8434567114
23107016.68077043,40425390.3163596,64169213.8178936,636806.8207635754
23285806.534489226,40480984.46193998,64408105.71540954,641314.7189803317
23462517.81457856,40541046.63122972,64649297.78766425,645733.3418559673
23638318.99614958,40605182.9652254,64893566.418792635,650064.4574176534
23207647.624093004,40976892.064223744,64838849.48699494,654309.7986781892
23381225.668101937,41002392.60538419,65042089.33781556,658471.0643294316
23554274.978898503,41035967.809711725,65252792.70803222,662549.9194219962
23726608.879524354,41076668.76164988,65469825.63720573,666547.9960314941
23897600.30952696,41123659.81295193,65691727.016390465,670466.8939115767
24067032.661304694,41176188.58247491,65917529.424913645,674308.1811340456
24235186.3852458,41233794.48646034,66147054.26642243,678073.3947162867
24402321.519023553,41295993.96626254,66380079.526522376,681764.0412362778
24568364.169134773,41362285.27651827,66616031.04308846,685381.5974354184
