Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52885975.25027822,12337.890000000003
14439629.099533154,38540260.76420462,53003514.97268719,23625.108949414218
14640881.53763132,38455602.19189735,53130645.64639965,34161.916870974936
14842543.100859858,38380344.8255564,53267033.702999525,44145.77658326866
15044923.758035498,38313739.19520053,53412369.90868076,53706.95544472718
15247816.019716727,38255135.46724563,53565883.27593188,62931.78896952074
15450688.018913468,38204014.89855883,53726580.799847186,71877.88237487993
15653960.276384931,38159944.61240689,53894488.932942085,80584.04415026517
15857272.128023852,38122544.762834236,54068893.66823913,89076.77738104526
15761804.377414599,38230013.23265612,54089192.13187953,97374.52180881
15965902.611039536,38186027.183562025,54252145.69944836,100215.90484680087
16170203.224298274,38149936.72812206,54427902.40448468,107762.45206434968
16373889.768797044,38121091.088382766,54610133.30078646,115152.4436066515
16577082.623953009,38098950.72834003,54798424.793699116,122391.44140607609
16780391.22595902,38083056.35388206,54992931.62400535,129484.04416427345
16984221.100098483,38073019.7674938,55193675.06967585,136434.20208356186
17186956.67905916,38068469.21610849,55398671.31806662,143245.42289896813
17388011.237864964,38069000.26922159,55606932.413962305,149920.90687575247
17589456.000658218,38074295.35590002,55820214.991942,156463.63538376312
17495663.059955474,38222483.43905369,55881022.92813963,162876.42913046727
17697710.088257916,38217433.31379268,56084305.388611704,169161.98656110748
17899630.39938845,38218670.81343231,56293624.122113384,175322.90929261644
18100754.343432482,38225611.81688375,56507727.8793845,181361.7190682728
18301178.06689895,38237777.42609948,56726236.362163566,187280.86916513814
18501052.4630445,38254825.912003115,56948961.127217904,193082.75217028527
18700644.664637655,38276337.4745063,57175751.84452187,198769.7053779143
18899481.64554307,38302005.508956775,57405831.16912548,204344.0146256385
19097651.81294088,38331547.80823945,57639007.538285084,209807.9171047484
19295325.2150286,38364714.09748967,57875202.9160123,215163.60349403645
19204075.56849973,38539916.16287049,57964404.95101594,220413.2196457248
19399324.34327586,38561365.86761832,58186249.07886713,225558.8679729506
19594325.225439478,38587775.100197375,58412702.93427344,230602.60863658015
19788779.25502626,38618504.11566108,58642829.83128268,235546.46059534897
19974547.32154176,38653020.003731266,58867959.727834284,240392.402561258
20159520.23052231,38690961.802564144,59095624.40697419,245142.37388772896
20343874.362131078,38732172.52906775,59325845.16660742,249798.2754085976
20527337.923093483,38776452.65751363,59558152.55084698,254361.9702398603
20712595.77515032,38823649.02804211,59795080.08774449,258835.28455206228
20897544.66028547,38873638.327963255,60034402.99656731,263220.0083185808
20792004.69501866,39067825.551969424,60127348.14303141,267517.8960433329
20974542.300833385,39104680.19727742,60350953.16558112,271730.667470311
21156582.63369604,39145790.483544335,60578233.12551698,275860.0082766088
21335718.832928345,39190682.69177102,60806309.095449485,279907.57075011707
21513859.81449362,39239001.16196109,61036735.95090746,283874.97445274814
21691177.20226088,39290609.07112333,61269550.080254056,287763.8068698407
21869034.2573104,39345226.63763844,61505836.518995106,291575.624046256
22045101.869275365,39402653.578314334,61743067.39879928,295311.9512095824
22224188.009331536,39462750.42904321,61985912.72175555,298974.2833808086
22402555.431610264,39525395.61768431,62230515.135267355,302564.08597277664
22291404.19394697,39731420.70466716,62328907.69399083,306082.7953767016
22466561.072784994,39780470.76663857,62557991.18455744,310959.34513386764
22641194.51150957,39833526.28648492,62789076.45359813,314355.65560364194
22813956.096964236,39890535.64506422,63022176.44687225,317684.70484380034
22985373.268841155,39950960.70326785,63257281.79701864,320947.8249096339
23155608.616636045,40014380.87207839,63494135.81019053,324146.321476102
23325586.333511133,40080582.84517381,63733450.65304524,327281.47436028725
23494855.72373669,40149365.6740148,63974575.93578499,330354.538033497
23661967.894080322,40220538.27103187,64215872.907235414,333366.7421232218
