Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-316821.86972966365,27802.482283520443,0.0,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-359038.5232993794,30553.989385649944,0.0,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-394929.37508032215,32581.466152962243,0.0,-0.0,-0.0
3211482.199131155,-3674964.254385618,-429350.7593151055,34131.29593935798,0.0,-0.0,-0.0
3206944.278738542,-3704786.043744383,-462477.20283204474,35364.562173796185,0.0,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-492671.3477181644,36386.60927838886,0.0,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-519155.5532814935,37266.358588293304,0.0,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-545691.6315863932,38048.92991851225,0.0,-0.0,-0.0
3206571.424589799,-3814915.432166111,-569580.1187134107,38763.88886290184,0.0,-0.0,-0.0
3246183.7594211116,-3799836.0953679336,-514221.70011641266,39430.635830409294,0.0,-0.0,-0.0
3241948.196725507,-3829026.206671938,-549019.1789009729,38058.8310454583,0.0,-0.0,-0.0
3239989.6240074635,-3856760.202676295,-578137.7101474676,38632.86852136392,0.0,-0.0,-0.0
3239930.4683796098,-3881013.7858310034,-601896.8052061468,39186.51224524712,0.0,-0.0,-0.0
3241487.052501124,-3905346.2012496404,-624135.8546854364,39723.2940630803,0.0,-0.0,-0.0
3244443.140127027,-3931628.641136505,-646939.9092037317,40245.59180574644,0.0,-0.0,-0.0
3248633.3730143304,-3959208.761435414,-669820.3605677693,40755.02785331428,0.0,-0.0,-0.0
3253912.843815064,-3980591.2782580773,-685425.7048480859,41252.72959492774,0.0,-0.0,-0.0
3260131.034099965,-3999278.2778026145,-697407.7440555512,41739.49964709836,0.0,-0.0,-0.0
3267174.2447287487,-4025220.3594582696,-715830.1876242989,42215.927105221905,0.0,-0.0,-0.0
3311570.9271918014,-4008019.622311148,-653766.2348552225,42682.460264123736,0.0,-0.0,-0.0
3311681.2610711665,-4034003.238889755,-679182.5236576514,43139.454160937734,0.0,-0.0,-0.0
3313869.4172531227,-4058781.3900770806,-701324.7711582272,43587.20166573075,0.0,-0.0,-0.0
3317772.4623658415,-4080677.269849212,-718878.8536620729,44025.953821297684,0.0,-0.0,-0.0
3323112.393897828,-4102606.6137325503,-735038.2866771244,44455.93315759788,0.0,-0.0,-0.0
3329675.204093723,-4125059.104940755,-750506.558431868,44877.342415163985,0.0,-0.0,-0.0
3337277.3985873573,-4147991.200273937,-765423.4314184309,45290.37026814867,0.0,-0.0,-0.0
3345775.803263592,-4168960.8595685014,-777489.8612185083,45695.19508640098,0.0,-0.0,-0.0
3355047.9227107996,-4189993.6338725905,-788853.723746043,46091.98741574781,0.0,-0.0,-0.0
3364991.548898035,-4211403.750470455,-799931.2899521389,46480.911620279985,0.0,-0.0,-0.0
3413165.349509052,-4192524.979033267,-732497.5025475726,46862.12697664226,0.0,-0.0,-0.0
3416234.322884292,-4210795.414472171,-747325.3031780504,47235.78840982888,0.0,-0.0,-0.0
3421030.286543573,-4232867.373933364,-764235.040395473,47602.04699431821,0.0,-0.0,-0.0
3427193.487430634,-4252864.6526157325,-777710.1148836274,47961.05030147078,0.0,-0.0,-0.0
3434423.010627867,-4242130.84410873,-759394.8908347856,48312.942646076954,0.0,-0.0,-0.0
3442524.1005312647,-4259878.029180503,-768696.0633826194,48657.86526661895,0.0,-0.0,-0.0
3451379.595243618,-4278450.741655647,-778075.1899501882,48995.95646184078,0.0,-0.0,-0.0
3460888.6361470115,-4295948.830644078,-785732.8427986699,49327.35169839654,0.0,-0.0,-0.0
3470981.197548621,-4323313.347028088,-802679.9657802308,49652.18369923605,0.0,-0.0,-0.0
3481602.0172500648,-4343042.029123159,-811469.4293540476,49970.582519046235,0.0,-0.0,-0.0
3531655.6676679887,-4320420.120118162,-738481.7768392891,50282.67561088427,0.0,-0.0,-0.0
3535170.6523371628,-4339608.906453833,-753849.6662299584,50588.58788671169,0.0,-0.0,-0.0
3540272.784420849,-4358491.721229243,-767330.4950347871,50888.44177360686,0.0,-0.0,-0.0
3546654.395315377,-4368091.889331692,-770255.1367494918,51182.35726682329,0.0,-0.0,-0.0
3554086.0824552774,-4384437.405558208,-778880.8711224665,51470.45198046412,0.0,-0.0,-0.0
3562425.9648059285,-4401818.720214117,-787639.914211907,51752.8411962815,0.0,-0.0,-0.0
3571539.9425800284,-4423946.888316997,-800377.3078260283,52029.63791094042,0.0,-0.0,-0.0
3581319.3561311816,-4437466.049147651,-803845.7401344946,52300.952881974335,0.0,-0.0,-0.0
3591688.555294072,-4468692.854839239,-824437.4048725796,52566.89467258772,0.0,-0.0,-0.0
3602585.9864611397,-4486298.893167178,-830885.3370106255,52827.569695412494,0.0,-0.0,-0.0
3652798.359769819,-4460706.007665355,-754824.5656402418,53083.08225529403,0.0,-0.0,-0.0
3656579.4369155956,-4478671.553216872,-768512.6135058983,53579.502795377695,0.0,-0.0,-0.0
3661925.979533477,-4496785.494293541,-781033.3874560946,53826.12730396906,0.0,-0.0,-0.0
3668573.7595593575,-4511067.221017228,-788425.5938480431,54067.867609827495,0.0,-0.0,-0.0
3676281.608327147,-4526369.785289154,-795783.3565211742,54304.82044083339,0.0,-0.0,-0.0
3684869.3789690514,-4541606.273188949,-802199.8136106933,54537.08060920411,0.0,-0.0,-0.0
3694203.016102407,-4560195.212660963,-811227.4555091078,54764.74104944766,0.0,-0.0,-0.0
3704172.0555081787,-4577030.192085508,-817870.2437217709,54987.89285555906,0.0,-0.0,-0.0
3714676.1941391737,-4588387.007795081,-818504.1883384296,55206.62531747687,0.0,-0.0,-0.0
3725632.4548787144,-4604265.040493508,-823211.5596579777,55421.02595681535,0.0,-0.0,-0.0
3776300.179905497,-4578386.433589564,-746455.0731221789,55631.18056188749,0.0,-0.0,-0.0
3779977.5530670695,-4594558.65462114,-756407.1451002484,58173.95645382228,0.0,-0.0,-0.0
3785158.4624423,-4610547.934696561,-767005.152605249,58384.3196490116,0.0,-0.0,-0.0
3791566.0798109765,-4625881.714757393,-775725.1181780966,58590.5167683201,0.0,-0.0,-0.0
3798986.6193074007,-4642055.562686402,-784276.3130614304,58792.63031757109,0.0,-0.0,-0.0
3807254.776024354,-4655125.789459813,-788880.272266834,58990.741168625005,0.0,-0.0,-0.0
3816226.9844097774,-4670337.3650132455,-794925.4520117295,59184.92859173895,0.0,-0.0,-0.0
3825814.5354166594,-4683221.74514123,-798031.9394372844,59375.270287285275,0.0,-0.0,-0.0
3835883.390861924,-4692016.497934876,-796571.2646561102,59561.842416842075,0.0,-0.0,-0.0
3846349.5304898997,-4705332.322123349,-799238.0719997814,59744.71963366777,0.0,-0.0,-0.0
3897155.889983028,-4676274.987218722,-719195.1221231213,59923.97511257231,0.0,-0.0,-0.0
3900110.2069390537,-4690190.611755891,-732073.5495633668,58006.85525347053,0.0,-0.0,-0.0
3904537.152705476,-4703769.380936004,-741059.1445610845,58173.083669443164,0.0,-0.0,-0.0
3910203.995986884,-4716680.208778692,-748140.1927280455,58336.02006376255,0.0,-0.0,-0.0
3916858.2210362507,-4727359.364410794,-752005.4137422425,58495.72963230096,0.0,-0.0,-0.0
3924287.9766388126,-4737158.137395369,-754217.8844767779,58652.27627977816,0.0,-0.0,-0.0
3932363.4805396325,-4747437.430100543,-756268.2269155794,58805.72264533178,0.0,-0.0,-0.0
3940998.835831877,-4758550.168988763,-758595.2030293051,58956.13012758106,0.0,-0.0,-0.0
3950067.210049893,-4769171.941859795,-760001.1729007076,59103.55890919446,0.0,-0.0,-0.0
3959492.438806306,-4779141.110180609,-760400.6033933323,59248.06798097045,0.0,-0.0,-0.0
4007784.7189940554,-4748674.430536714,-681499.9963772172,59389.715165441674,0.0,-0.0,-0.0
4009741.518828377,-4763986.964489701,-695318.3945194256,58927.051141898606,0.0,-0.0,-0.0
4013103.226171043,-4760290.959329968,-688125.9648415463,59061.76831737875,0.0,-0.0,-0.0
4017573.7301759105,-4770349.7361691175,-693582.1884669296,59193.817526277264,0.0,-0.0,-0.0
4022930.776356361,-4778253.407864993,-695999.3799030804,59323.2516055517,0.0,-0.0,-0.0
4028999.7818411277,-4778595.640144832,-690145.7359579394,59450.12234576562,0.0,-0.0,-0.0
4035634.3626185134,-4785591.840253617,-690382.9971232915,59574.480511811686,0.0,-0.0,-0.0
4042727.3096404267,-4791382.660179693,-688958.9746760422,59696.3758632242,0.0,-0.0,-0.0
4050185.484404607,-4793926.966726656,-683925.6251479595,59815.85717408943,0.0,-0.0,-0.0
4057957.0278057833,-4808401.076829041,-690511.0767706968,59932.972252561645,0.0,-0.0,-0.0
4106269.6064037024,-4774304.149259817,-607986.7748961223,60047.76795999259,0.0,-0.0,-0.0
4106323.666055799,-4782212.147100983,-615728.1908155018,60160.290229682214,0.0,-0.0,-0.0
4107802.7757448414,-4789866.950634919,-621793.5908048201,60270.58408525798,0.0,-0.0,-0.0
4110458.1971926508,-4796651.106029811,-625814.2151784699,60378.69365869015,0.0,-0.0,-0.0
4114005.8651351538,-4803083.016545356,-628592.4892022519,60484.66220795043,0.0,-0.0,-0.0
4118201.796966939,-4782370.824725555,-603580.4956242957,60588.53213432079,0.0,-0.0,-0.0
4122919.9282122273,-4786373.78561608,-602763.5124044938,60690.34499935946,0.0,-0.0,-0.0
4128097.3511645976,-4791761.401494642,-602873.9087885132,60790.14154153109,0.0,-0.0,-0.0
4133620.3701552562,-4786030.818012544,-591522.4861647803,60887.961692507415,0.0,-0.0,-0.0
4139439.039545176,-4796520.389080328,-596097.504942007,60983.84459314515,0.0,-0.0,-0.0
4185627.434913834,-4759014.245303592,-512308.9817806101,61077.8286091474,0.0,-0.0,-0.0
