Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-787830.4298217564,636643.4946721031,0.0,-119623.00870053866,-4980.813060255985
9897743.618604522,-11237177.673819216,-771714.152709387,692323.7242661014,0.0,-119623.00870053866,-4980.813060255985
9901749.9548598,-11289943.725949802,-781428.1822172374,731369.410633559,0.0,-119623.00870053866,-4980.813060255985
9907803.966104822,-11349110.091028057,-806417.0332644258,759492.9134196034,0.0,-119623.00870053866,-4980.813060255985
9915706.83165701,-11406658.395118712,-835127.5015948367,780427.8836276602,0.0,-119623.00870053866,-4980.813060255985
9925279.415448545,-11461688.43595501,-864397.8311722457,796615.0110950143,0.0,-119623.00870053866,-4980.813060255985
9936358.70522462,-11513569.021813238,-892164.0279360695,809650.1104133413,0.0,-119623.00870053866,-4980.813060255985
9948791.255281938,-11535565.425050225,-890801.079024588,820576.9125044944,0.0,-119623.00870053866,-4980.813060255985
9962431.264975563,-11561563.010719867,-893657.1847428941,830078.3827622068,0.0,-119623.00870053866,-4980.813060255985
10851091.983122656,-10742298.921096234,822790.9740299088,838601.7337642806,0.0,-119623.00870053866,-4980.813060255985
10679760.690884395,-10812289.464341763,553215.7025153445,804118.1066454683,0.0,-113641.85826551159,-4731.77240724318
10539528.183724558,-10860645.406652361,371605.82356765325,811096.6771682113,0.0,-113641.85826551159,-4731.77240724318
10424329.60054918,-10916540.705302536,207142.93774784982,817727.6731739615,0.0,-113641.85826551159,-4731.77240724318
10329444.019356191,-10977309.031547729,57851.89716599178,824090.5400302841,0.0,-113641.85826551159,-4731.77240724318
10251247.553011494,-11037435.68990211,-74323.7658597633,830238.0017036069,0.0,-113641.85826551159,-4731.77240724318
10186918.699649213,-11095918.195408352,-191167.82082700884,836205.3056048857,0.0,-113641.85826551159,-4731.77240724318
10134204.081487603,-11149320.677999625,-291473.96345028694,842016.2637344885,0.0,-113641.85826551159,-4731.77240724318
10091290.024649989,-11168380.53442476,-347776.9400094469,847687.2004380778,0.0,-113641.85826551159,-4731.77240724318
10056654.657574546,-11189863.357169244,-398352.7979868113,853229.5322806432,0.0,-113641.85826551159,-4731.77240724318
10849840.36341634,-10383445.73783567,1206672.4490122658,858651.4541043496,0.0,-113641.85826551159,-4731.77240724318
10650252.57580424,-10455497.60640405,940340.379764778,863959.0410373423,0.0,-113641.85826551163,-4731.772407243182
10485162.340736695,-10508802.182389028,727143.4965385717,869156.9688636599,0.0,-113641.85826551163,-4731.772407243182
10348052.856103435,-10564879.344002377,539048.8664428074,874248.9850145044,0.0,-113641.85826551163,-4731.772407243182
10233809.080030352,-10626599.342870982,368074.3230899426,879238.2166033285,0.0,-113641.85826551163,-4731.772407243182
10138474.080271786,-10690412.34012464,213815.48144995203,884127.3719755618,0.0,-113641.85826551163,-4731.772407243182
10058969.905939242,-10754771.33798383,74743.80995527249,888918.8726726151,0.0,-113641.85826551163,-4731.772407243182
9992848.242082167,-10816209.846904332,-48120.29557345386,893614.9399214649,0.0,-113641.85826551163,-4731.772407243182
9938128.689845854,-10849322.988108154,-131350.27753016617,898217.6514048881,0.0,-113641.85826551163,-4731.772407243182
9893138.08568976,-10879095.426688852,-201601.99306462202,902728.9786072237,0.0,-113641.85826551163,-4731.772407243182
10674963.733830158,-10059997.716641802,1403743.1979783091,907150.8114627087,0.0,-113641.85826551163,-4731.772407243182
10466904.32525641,-10146678.330256239,1113337.3390295317,911484.9747021156,0.0,-113641.85826551175,-4731.772407243187
10294833.685988313,-10217530.543267265,874662.7508183696,915733.2387700754,0.0,-113641.85826551175,-4731.772407243187
10151995.025892686,-10285842.403723283,667676.3186867133,919897.327190064,0.0,-113641.85826551175,-4731.772407243187
10033098.553713435,-10357325.612767683,481378.2318766207,923978.9216036239,0.0,-113641.85826551175,-4731.772407243187
9934071.380221313,-10429353.679754244,314323.7350796856,927979.6652853731,0.0,-113641.85826551175,-4731.772407243187
9851718.559500951,-10500900.018943189,164346.07554266325,931901.165657655,0.0,-113641.85826551175,-4731.772407243187
9783477.189297773,-10568819.668701425,32028.8860708048,935744.9961472125,0.0,-113641.85826551175,-4731.772407243187
9727220.3773324,-10601174.466082793,-52815.02181545283,939512.697607694,0.0,-113641.85826551175,-4731.772407243187
9681152.69892114,-10638736.523525085,-132751.6758223845,943205.7794543166,0.0,-113641.85826551175,-4731.772407243187
10445253.937101685,-9806504.400716959,1467201.626318356,946825.7206063851,0.0,-113641.85826551175,-4731.772407243187
10236903.81313418,-9903804.948232606,1165099.2045290908,950373.9703002718,0.0,-113641.85826551168,-4731.772407243185
10065623.412618097,-9988613.928793728,912487.8019654661,953851.9488138527,0.0,-113641.85826551168,-4731.772407243185
9924382.751576822,-10068002.684969226,695267.4840641002,957261.0481292574,0.0,-113641.85826551168,-4731.772407243185
9807729.235695869,-10152446.41626971,497511.8213049665,960602.6325515625,0.0,-113641.85826551168,-4731.772407243185
9711444.551178401,-10236084.213306427,320864.7464942409,963878.0392950211,0.0,-113641.85826551168,-4731.772407243185
9632231.171337686,-10316728.240418375,164217.8792910302,967088.5790444731,0.0,-113641.85826551168,-4731.772407243185
9567462.699916119,-10394700.302807938,24624.302932440045,970235.5364970128,0.0,-113641.85826551168,-4731.772407243185
9514994.364954105,-10446494.052627832,-76553.14745919607,973320.1708872843,0.0,-113641.85826551168,-4731.772407243185
9473026.73917839,-10498195.129193567,-167198.3041892392,976343.7164986928,0.0,-113641.85826551168,-4731.772407243185
10285512.435782522,-9660511.665903296,1485934.5223685543,979307.3831620836,0.0,-113641.85826551168,-4731.772407243185
10076551.843953455,-9758329.452611925,1182061.1174117483,982212.3567429733,0.0,-113641.85826551172,-4731.772407243186
9904764.789587293,-9850070.739008328,921380.2195243036,985059.7996180949,0.0,-113641.85826551172,-4731.772407243186
9763284.803118996,-9931879.514632078,700882.5089560155,987850.851141852,0.0,-113641.85826551172,-4731.772407243186
9646640.95185245,-10016755.423232077,502098.526050696,990586.6281030778,0.0,-113641.85826551172,-4731.772407243186
9550625.430187406,-10099635.910808213,325884.1138789085,993268.2251724706,0.0,-113641.85826551172,-4731.772407243186
9471936.2664396,-10183767.857207755,165691.49390007072,995896.71534098,0.0,-113641.85826551172,-4731.772407243186
9407952.713621698,-10265800.18334183,22252.049956502324,998473.1503493866,0.0,-113641.85826551172,-4731.772407243186
9356553.395538453,-10327114.558787668,-87936.23281267246,1000998.5611092976,0.0,-113641.85826551172,-4731.772407243186
9315903.824937303,-10387965.079452652,-186960.9270723565,1003473.958115748,0.0,-113641.85826551172,-4731.772407243186
10189020.122809198,-9541286.490585167,1535260.333402877,1005900.3318516015,0.0,-113641.85826551172,-4731.772407243186
9974738.468310647,-9632850.774809625,1325466.9289080924,1114413.2482559052,0.0,-125604.15913556553,-5229.853713268782
9797907.983975306,-9713869.432123631,1070194.39946607,1116989.8604632295,0.0,-125604.15913556553,-5229.853713268782
9651729.720471878,-9790400.577889193,850010.5746475034,1119515.4449136518,0.0,-125604.15913556553,-5229.853713268782
9530828.256338263,-9870607.601676503,651377.6539843092,1121991.0121713849,0.0,-125604.15913556553,-5229.853713268782
