Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1224753.1266340604,93396.54074256579,0.0,-17548.872012903215,-730.6926306580641
9897743.618604522,-11237177.673819216,-1256148.7072162644,101564.91264199071,0.0,-17548.872012903215,-730.6926306580641
9901749.9548598,-11289943.725949802,-1299180.3632462143,107292.97248734874,0.0,-17548.872012903215,-730.6926306580641
9907803.966104822,-11349110.091028057,-1348166.9576932883,111418.7318735077,0.0,-17548.872012903215,-730.6926306580641
9915706.83165701,-11406658.395118712,-1394741.2051894472,114489.92291581658,0.0,-17548.872012903215,-730.6926306580641
9925279.415448545,-11461688.43595501,-1437823.9867326745,116864.59841735219,0.0,-17548.872012903215,-730.6926306580641
9936358.70522462,-11513569.021813238,-1476713.0144970685,118776.86673510908,0.0,-17548.872012903215,-730.6926306580641
9948791.255281938,-11535565.425050225,-1484673.8896753425,120379.8447365068,0.0,-17548.872012903215,-730.6926306580641
9962431.264975563,-11561563.010719867,-1495637.5859345882,121773.72445327947,0.0,-17548.872012903215,-730.6926306580641
10102503.87110559,-11496082.294722695,-1288833.875629717,123024.11263094924,0.0,-17548.872012903215,-730.6926306580641
10092774.562364295,-11545811.161417382,-1341847.4268820493,130382.71504677617,0.0,-18426.315613548362,-767.2272621909666
10087839.951677622,-11575588.618970893,-1375427.9636166245,131514.24655238597,0.0,-18426.315613548362,-767.2272621909666
10086805.792140082,-11614911.739630446,-1414710.069339286,132589.42102681825,0.0,-18426.315613548362,-767.2272621909666
10089023.163918579,-11660986.322425356,-1457535.581343635,133621.12003888172,0.0,-18426.315613548362,-767.2272621909666
10093985.715433683,-11707442.178599395,-1498032.1135919122,134617.89244953863,0.0,-18426.315613548362,-767.2272621909666
10101277.17071017,-11752752.243473751,-1535083.162233589,135585.45340573153,0.0,-18426.315613548362,-767.2272621909666
10110548.70721923,-11793305.889330234,-1565423.0611125492,136527.66387419298,0.0,-18426.315613548362,-767.2272621909666
10121541.044054864,-11799314.65772842,-1559519.9858039592,137447.1707453377,0.0,-18426.315613548362,-767.2272621909666
10133938.14285136,-11808378.260499803,-1555287.8353805027,138345.8251436803,0.0,-18426.315613548362,-767.2272621909666
10272445.220354537,-11729418.961690325,-1336942.328399973,139224.95581155608,0.0,-18426.315613548362,-767.2272621909666
10261894.78637893,-11764037.724404281,-1381250.9331081442,140085.5477929471,0.0,-18426.315613548362,-767.2272621909666
10256006.701842628,-11781185.532697733,-1403444.0144938903,140928.35923695212,0.0,-18426.315613548362,-767.2272621909666
10253890.443936681,-11804965.883272357,-1428514.9844453437,141753.99776607164,0.0,-18426.315613548362,-767.2272621909666
10254893.436292183,-11837149.087045118,-1458886.2232065082,142562.97042216783,0.0,-18426.315613548362,-767.2272621909666
10258503.0971643,-11873317.493859673,-1490652.2232246217,143355.71634649058,0.0,-18426.315613548362,-767.2272621909666
10264320.620189821,-11911014.398157502,-1521754.6926666063,144132.62817681424,0.0,-18426.315613548362,-767.2272621909666
10272038.02114209,-11946474.396218617,-1548735.8518810843,144894.0660711822,0.0,-18426.315613548362,-767.2272621909666
10281436.662332552,-11950298.521168483,-1542415.0347988263,145640.36691284482,0.0,-18426.315613548362,-767.2272621909666
10292212.458121723,-11953081.183988776,-1533690.4183771522,146371.85036564097,0.0,-18426.315613548362,-767.2272621909666
10429024.429324483,-11871590.4286554,-1314670.7193360855,147088.82287057096,0.0,-18426.315613548362,-767.2272621909666
10416798.215325614,-11905278.536258163,-1372129.7156472777,133716.19169665404,0.0,-16671.42841225804,-694.1579991251601
10409302.743480014,-11923258.62598222,-1396982.0506051355,134339.41830845305,0.0,-16671.42841225804,-694.1579991251601
10405648.301120771,-11943741.700791629,-1420508.6898538424,134950.2962284001,0.0,-16671.42841225804,-694.1579991251601
10405160.71646922,-11971595.420464076,-1448251.2182504456,135549.07215579262,0.0,-16671.42841225804,-694.1579991251601
10407320.17974013,-12002381.627112774,-1476291.0466225832,136135.98716144345,0.0,-16671.42841225804,-694.1579991251601
10411713.125901744,-12034003.818208741,-1502945.0016617961,136711.277056584,0.0,-16671.42841225804,-694.1579991251601
10418003.049782166,-12062757.391895665,-1524844.7558596395,137275.1726652407,0.0,-16671.42841225804,-694.1579991251601
