period,oha,ohv,ogs,ocp,ocf
1,18902.743875748525,4563882.0,101213684.45341548,157722690.477848,8651360.512644343
2,17957.606681961104,4335687.899999999,107829367.48129964,158260397.19203424,8622012.739085404
3,17957.606681961108,4335687.899999993,114594504.001142,159082219.42385182,8638411.875931319
4,17957.606681961082,4335687.899999999,121162717.1456642,160116597.76281172,8685784.037402848
5,19847.881069535953,4335687.900000001,127212568.56562711,161376465.60909992,8730638.795530522
6,19847.88106953594,4335687.900000005,132598669.78786704,162723514.75545225,8773491.58504647
7,19847.881069535943,4335687.900000001,137217647.75053442,164043821.8087355,8806044.592932707
8,19847.881069535928,4792076.100000002,140453834.54147398,164848545.93099433,8804026.339925837
9,19847.881069535953,4792076.099999999,142806756.06659263,165240494.2685668,8802655.160603888
10,19847.881069535953,4792076.100000003,144223030.29223147,165315260.23290774,8788176.946125107
