Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181018411.78321955,188944.71480000034
59214105.14779269,121980662.11750358,181558063.2853035,363296.0200072361
59706955.23803828,121866410.32846436,182100988.07715014,527622.5106474725
60200470.18760126,121765978.86751682,182651368.16862822,684919.1135101416
60694400.871976286,121678671.33681317,183210224.49596196,837152.2871725301
61188276.26404601,121603816.58669974,183777709.1246389,985616.2738931311
61681486.79111259,121540754.3277937,184353407.0066373,1131165.8877310078
62165971.42669781,121489026.28396346,184929366.3387621,1274368.6281008425
62643097.44011036,121448027.11029936,185506728.62877452,1415604.0783647841
58955623.542249985,123393138.93280347,183903891.33405775,1555128.8590043015
59441358.55529937,123108923.35152738,184158745.02634344,1608463.1195166917
59922492.94389264,122861621.85084614,184522327.93760762,1738213.142868811
60402079.73017001,122646329.64413288,184915116.1003844,1866706.7260815254
60882141.18218159,122459308.35401401,185335455.98357806,1994006.4473824461
61362906.93566838,122297515.96426618,185780583.48138142,2120160.5814468516
61844198.794573866,122158395.23563375,186247801.94059643,2245207.910388826
62324888.328397475,122039749.92133893,186733819.12002254,2369180.8702861415
62795373.04312175,121940047.71509004,187227528.36825338,2492107.610041575
63256992.01637615,121857346.4849619,187728351.84081796,2614013.3394798962
59683990.94584527,123683695.39861389,186102607.5574167,2734921.2129575713
60150148.79612159,123380834.50091437,186385836.20644614,2854852.9094101875
60612009.63390877,123117599.5794021,186703438.2273022,2973829.0139913405
61071331.89226779,122888861.02902578,187052062.19130778,3091869.2700141915
61530412.4214641,122690585.98748711,187429991.15504575,3208992.7460945635
61990384.4516377,122519413.74991426,187835016.14938653,3325217.9478345728
62451670.892810345,122372564.70257819,188264798.48860726,3440562.893218722
62913605.42523905,122247757.85633631,188716408.4458262,3555045.164250846
63367391.45115155,122143364.8924078,189179438.2865786,3668681.9430192495
63813040.884393916,122057294.84417416,189651825.76610887,3781490.037540782
60198832.7324413,123883278.64127046,187975597.27459285,3893485.900881081
60650826.18450815,123579601.49296847,188235113.32331368,4004685.645837064
61101154.27743554,123316951.71413614,188533211.04824805,4115105.056676346
61550250.78101259,123090032.21719752,188865042.59712115,4224759.598911036
61999954.734957054,122894635.65897913,189228254.82168174,4333664.427745558
62450944.80722937,122727318.31465752,189620097.51750407,4441834.395617188
62903375.02082415,122585184.20742373,190037843.2873516,4549284.059103722
63356468.60279346,122465769.86954024,190478266.15771213,4656027.685378427
63799241.75178864,122367236.16849476,190928557.1786141,4762079.258330692
64234342.84089029,122286973.59935786,191388768.92467874,4867452.48443057
60592539.879525505,124184740.64064483,189749441.31855938,4972160.798389047
61026626.9114584,123885022.83418065,189987867.11428764,5076217.368648598
61458285.73817688,123625430.07223955,190263350.91314378,5179635.102727366
61887822.73106064,123401074.06319006,190571323.44668365,5282426.652432957
62318154.362642586,123207971.79061994,190910730.57221937,5384604.41895686
62750198.99197855,123042791.03777403,191279170.58761007,5486180.557857495
63183535.93060724,122902755.93793236,191673458.8524773,5587166.983937725
63617423.96347798,122785524.34053999,192090523.68003923,5687575.376021276
64043154.341806695,122689512.23100962,192520083.75444794,5787417.18163164
64461596.70023209,122612471.5785699,192960771.9003784,5886703.621576399
60688452.1999683,124601386.14408168,191275284.03848952,5985445.6944395155
61104398.29303823,124292798.73183684,191480851.20585892,6083654.180983838
61519177.38951418,124025515.86396474,191726032.9019448,6181339.648465865
