Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180915366.37274393,85899.30432438316
59214105.14779269,121980662.11750358,181359931.32090625,165164.05560997844
59706955.23803828,121866410.32846436,181813236.82544988,239871.25894723492
60200470.18760126,121765978.86751682,182277831.54301286,311382.4878947834
60694400.871976286,121678671.33681317,182753663.95573407,380591.74694462767
61188276.26404601,121603816.58669974,183240180.28387576,448087.4331299925
61681486.79111259,121540754.3277937,183736499.28661644,514258.1677101598
62165971.42669781,121489026.28396346,184234359.66170898,579361.9510477078
62643097.44011036,121448027.11029936,184734695.9022679,643571.3518581802
61298009.05763038,122299135.3007882,184304147.39507213,707003.0366535608
61775793.994706236,122163565.68259974,184670609.89059803,731250.2132920764
62247780.569144964,122048969.55013831,185086988.15212783,790238.0328445687
62717368.693076365,121952729.86978562,185518753.2040769,848654.6412149201
63186663.38031108,121873074.00478917,185966265.87323388,906528.4881336429
63655969.85487064,121808541.02626963,186428392.4016953,963881.5205550471
64125171.86755557,121757873.48070428,186903776.71812195,1020731.3698620667
64593182.9513184,121719963.65677413,187390239.39045286,1077092.782360354
65050160.019668914,121694459.09685105,187877597.67181146,1132978.5552915172
65497654.59162437,121680004.35379678,188366059.09513512,1188400.149713952
64155037.46949605,122535264.74528378,187933670.30699518,1243368.0922153678
64599720.51712138,122429857.34617952,188327470.1019187,1297892.2386178116
65038036.40502283,122344323.36101623,188734341.7135199,1351981.947480872
65472324.01639855,122276213.37713392,189154183.58817354,1405646.1946410416
65905081.69990274,122223749.20281866,189587724.55192083,1458893.6491994131
66337578.95486379,122185441.51591207,190034753.1950719,1511732.7242960397
66770345.98606308,122160065.64883347,190494583.24628356,1564171.6113870074
67202810.07616681,122146637.38930652,190965665.7691933,1616218.3037199697
67625680.47886708,122145004.27539444,191438565.36699185,1667880.612730318
68039319.48721887,122153813.52383877,191912299.19084823,1719166.1797905874
66674436.21578469,123025505.05186908,191470023.7525568,1770082.4849030308
67087689.21606738,122943108.66769898,191851434.737141,1820636.8533746742
67496467.1635176,122880222.30343762,192247525.92810956,1870836.4611543494
67901857.19476573,122834394.65077643,192656940.18481833,1920688.3392761534
