period,oha,ohv,ogs,ocp,ocf
1,4254.817200598467,912776.4000000001,105509102.80635667,157609786.66130647,-1758984.9802568045
2,4042.0763405685425,958415.2199999999,116030818.66068564,158546056.301387,-2243718.74617889
3,4454.443225297424,958415.2199999997,126706524.26371506,159962160.26639345,-2512543.5817172
4,4466.558550413128,958415.22,137195278.42146632,161654019.07073584,-2662165.904279488
5,4307.041641868542,867137.5799999998,147296321.40458632,163524157.2911541,-2744224.3473334163
6,4467.558060628385,867137.58,156676570.6868455,165429009.17059758,-2806725.467310749
7,4467.558060628388,867137.58,165126508.66508877,167245076.38293865,-2853632.930310216
8,4467.558060628389,867137.5799999997,172470206.64267525,168527715.81030333,-2870944.1849769317
9,4042.0763405685425,867137.5799999998,178687786.4442445,169414220.7580293,-2868644.2098917277
10,4042.0763405685434,867137.5799999998,183728983.5680341,169985929.96825677,-2877053.590335384
