Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1112077.7653543046,233491.22395476024,0.0,-43872.15600000002,-1826.7305760000008
9897743.618604522,-11237177.673819216,-1131220.7992735272,253912.14251716647,0.0,-43872.15600000002,-1826.7305760000008
9901749.9548598,-11289943.725949802,-1165660.373379717,268232.28428628464,0.0,-43872.15600000002,-1826.7305760000008
9907803.966104822,-11349110.091028057,-1208458.334397563,278546.67710167135,0.0,-43872.15600000002,-1826.7305760000008
9915706.83165701,-11406658.395118712,-1250425.7995360934,286224.65050160885,0.0,-43872.15600000002,-1826.7305760000008
9925279.415448545,-11461688.43595501,-1289946.5710790106,292161.3360034546,0.0,-43872.15600000002,-1826.7305760000008
9936358.70522462,-11513569.021813238,-1325967.1989855203,296942.00417909585,0.0,-43872.15600000002,-1826.7305760000008
9948791.255281938,-11535565.425050225,-1331523.6093568916,300949.446987396,0.0,-43872.15600000002,-1826.7305760000008
9962431.264975563,-11561563.010719867,-1340396.4879498237,304434.14437048265,0.0,-43872.15600000002,-1826.7305760000008
10278142.422136247,-11325591.202237794,-785587.553575231,307560.11310231616,0.0,-43872.15600000002,-1826.7305760000008
10231518.549433144,-11380425.830685768,-897408.1010127485,294913.12248707714,0.0,-41678.54820000003,-1735.394047200001
10195629.267477712,-11414920.99443318,-965233.1316168022,297472.53758586664,0.0,-41678.54820000003,-1735.394047200001
10168434.40974783,-11458674.474809336,-1033749.5287914097,299904.47851729667,0.0,-41678.54820000003,-1735.394047200001
10148378.864356412,-11508843.969736382,-1101640.9654799355,302238.0821472357,0.0,-41678.54820000003,-1735.394047200001
10134256.614789473,-11559223.541851867,-1163888.1841351842,304492.68517441093,0.0,-41678.54820000003,-1735.394047200001
10125112.160439258,-11608398.751645919,-1220019.3187440347,306681.2147098257,0.0,-41678.54820000003,-1735.394047200001
10120169.830131233,-11652782.525003996,-1267214.23323223,308812.4038877339,0.0,-41678.54820000003,-1735.394047200001
10118823.508324377,-11662590.326785896,-1276288.5209898287,310892.2397188893,0.0,-41678.54820000003,-1735.394047200001
10120482.024615418,-11675454.118263029,-1285461.1266264562,312924.90926835284,0.0,-41678.54820000003,-1735.394047200001
10391895.341858668,-11429391.742573993,-765996.9249394323,314913.4180230936,0.0,-41678.54820000003,-1735.394047200001
10339340.844154313,-11479363.971237274,-866577.0752725964,316859.994057565,0.0,-41678.54820000002,-1735.3940472000006
10298597.88421644,-11510656.430724613,-936706.1365234866,318766.3522318844,0.0,-41678.54820000002,-1735.3940472000006
10267390.837240428,-11547381.876369048,-1002771.1144462936,320633.866929526,0.0,-41678.54820000002,-1735.3940472000006
10243942.505121773,-11591271.858911961,-1068279.611007125,322463.68503026426,0.0,-41678.54820000002,-1735.3940472000006
10226894.432325399,-11638386.795374706,-1130649.5054672689,324256.7998292394,0.0,-41678.54820000002,-1735.3940472000006
10215208.942911604,-11686595.289362779,-1188786.189263159,326014.0994352162,0.0,-41678.54820000002,-1735.3940472000006
10208066.014221426,-11732202.516495826,-1239814.0460306571,327736.3984909422,0.0,-41678.54820000002,-1735.3940472000006
10204825.444729969,-11745856.571871761,-1255020.6103951647,329424.45899382787,0.0,-41678.54820000002,-1735.3940472000006
10204866.447640343,-11758182.218086945,-1265650.7087011659,331079.0039926365,0.0,-41678.54820000002,-1735.3940472000006
10464493.281390937,-11493424.34223387,-739644.2764627857,332700.72662734636,0.0,-41678.54820000002,-1735.3940472000006
10408821.830761,-11556688.532918021,-856990.3482798822,334290.2961243381,0.0,-41678.54820000002,-1735.3940472000006
10366321.277450005,-11601488.933645492,-942733.2366423283,335848.3618003595,0.0,-41678.54820000002,-1735.3940472000006
10334358.726772573,-11646169.14211607,-1017848.8018270354,337375.5557636619,0.0,-41678.54820000002,-1735.3940472000006
10310869.707573978,-11695726.186506167,-1089397.926417239,338872.494762151,0.0,-41678.54820000002,-1735.3940472000006
10294315.139807114,-11746633.215557398,-1155392.2365249551,340339.7814725288,0.0,-41678.54820000002,-1735.3940472000006
10283519.007111814,-11797299.018238645,-1215415.947951481,341778.0054225509,0.0,-41678.54820000002,-1735.3940472000006
10277539.809085052,-11844203.079167522,-1266889.468657703,343187.7436719673,0.0,-41678.54820000002,-1735.3940472000006
10275637.471353067,-11856087.70322552,-1279294.6127854194,344569.56133423216,0.0,-41678.54820000002,-1735.3940472000006
10277081.995358303,-11867269.485474525,-1287677.420370776,345924.0119926453,0.0,-41678.54820000002,-1735.3940472000006
10536523.304842988,-11586103.317463713,-745742.3168219018,347251.63804602384,0.0,-41678.54820000002,-1735.3940472000006
10480777.428351581,-11652936.131393598,-867019.6742823501,348552.97100686614,0.0,-41678.54820000003,-1735.394047200001
10438780.85863052,-11700698.630537173,-955503.1823868109,349828.53176704113,0.0,-41678.54820000003,-1735.394047200001
10407726.756051015,-11746609.219983993,-1031217.5753393255,351078.8308408535,0.0,-41678.54820000003,-1735.394047200001
10385431.600994682,-11799742.928700162,-1105420.9013607264,352304.36859195237,0.0,-41678.54820000003,-1735.394047200001
10370276.241057139,-11854751.901219217,-1174383.966960945,353505.63544833276,0.0,-41678.54820000003,-1735.394047200001
10361029.375774551,-11907072.665407375,-1234774.1197717874,354683.1121082351,0.0,-41678.54820000003,-1735.394047200001
10356705.811954321,-11955228.819965046,-1286099.6805191217,355837.26973880274,0.0,-41678.54820000003,-1735.394047200001
10356522.866654884,-11969143.168194741,-1299065.6736183197,356968.570168737,0.0,-41678.54820000003,-1735.394047200001
10359773.583454354,-11985606.253161872,-1311169.145878933,358077.4660757853,0.0,-41678.54820000003,-1735.394047200001
