Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180976424.06881955,146957.00040000008
59214105.14779269,121980662.11750358,181477330.83641303,282563.57111673884
59706955.23803828,121866410.32846436,181983738.6303396,410373.0638369225
60200470.18760126,121765978.86751682,182499163.92118153,532714.8660634428
60694400.871976286,121678671.33681317,183024190.65436807,651118.4455786336
61188276.26404601,121603816.58669974,183558683.285996,766590.4352502122
61681486.79111259,121540754.3277937,184102036.80936375,879795.6904574494
62165971.42669781,121489026.28396346,184646173.31029525,991175.5996339874
62643097.44011036,121448027.11029936,185192149.94469345,1101025.3942837196
59835972.3498204,122911048.00365071,183956565.02158555,1209544.6681144552
60325109.03757416,122681505.80524887,184389328.752583,1382713.9097599601
60810322.57458814,122485161.18209492,184789737.16020185,1494253.4035188
61294537.745567515,122317423.96159907,185216674.50678053,1604712.7996139398
61779647.47001465,122174701.39279498,185668494.7561735,1714145.8933638541
62265817.32482002,122054214.33715667,186142625.8460275,1822594.1840507989
62752807.07457276,121953721.37265907,186636619.45791695,1930091.0106851272
63239431.32310673,121871307.40131955,187147402.98133892,2036664.256912644
63716161.78364384,121805653.79422224,187664153.69877902,2142338.120912929
64184086.14737636,121755141.11448456,188186361.53615066,2247134.2742897305
61138673.002209574,123280442.70564997,186770188.32952482,2351072.621665276
61617252.69842062,123038941.82154275,187110366.31928092,2454171.7993175327
62092698.18500271,122834629.72358422,187483777.41184264,2556449.5032557165
62566555.677208036,122662297.28568767,187886775.6686974,2657922.705801676
63040824.84128527,122517916.95833793,188317349.5988975,2758607.799274277
63516470.316939674,122398196.79836395,188773187.8073018,2858520.691998144
63993778.49460654,122300521.92774442,189251977.29546884,2957676.873117851
64472032.85927347,122222751.02197236,189750875.33823338,3056091.456987572
64942534.40010557,122163356.99895129,190259670.6132313,3153779.214174446
65404890.39334982,122120552.68878382,190776197.67580906,3250754.593675413
62330010.02208842,123650362.51890302,189327404.28034538,3347031.739353916
62803810.18838713,123418310.91326298,189336876.60396785,3114755.5023177196
63276947.190536395,123225110.03770114,189702694.49454138,3200637.266303828
63749433.17242054,123065142.57291357,190100499.8778205,3285924.1324863643
64222721.15030991,122934114.63188918,190527463.67044562,3370627.8882465498
64697320.372746415,122828614.10750884,190980694.56573528,3454760.085480038
65173233.18134266,122745865.52350502,191457430.75081724,3538332.045969565
65649613.61982352,122683518.3060311,191954486.79226008,3621354.866405446
66115292.096325435,122639946.12079175,192459077.6402633,3703839.423146096
66572823.96668531,122612741.5942723,192971361.93773696,3785796.3767793356
63712366.53536533,124121364.45985867,191700967.17174882,3867236.1765248175
64177255.68521411,123912037.41443561,192037462.1641542,3948169.0645044693
64640937.6946984,123740022.58620079,192409565.36079827,4028605.079899068
65103092.47679331,123600171.67257145,192811818.2123682,4108554.063003417
65565970.291753076,123488350.52045536,193242346.47139713,4188025.6591886743
