Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,182014333.60313278,1184866.534713227
59214105.14779269,121980662.11750358,183472985.50895938,2278218.243663094
59706955.23803828,121866410.32846436,184882070.21319947,3308704.646696803
60200470.18760126,121765978.86751682,186261555.8933413,4295106.838223216
60694400.871976286,121678671.33681317,187622828.62869945,5249756.419910011
61188276.26404601,121603816.58669974,188972862.39617005,6180769.545424272
61681486.79111259,121540754.3277937,190315747.8465242,7093506.727617912
62165971.42669781,121489026.28396346,191646524.44864595,7991526.737984689
62643097.44011036,121448027.11029936,192968334.48260304,8877209.932193298
33408374.672664702,135922002.5802197,179082542.8223283,9752165.569443904
33846540.330167025,133954476.53158973,169133059.35196862,1332042.4902118612
34291017.77336427,132203409.42355758,167933921.66543144,1439494.4685095898
34742672.35753559,130637074.15913717,166925652.4474547,1545905.9307819346
35202518.17619424,129229447.29821575,166083294.17535523,1651328.7009452363
35669902.360255204,127959554.99300976,165385260.11074942,1755802.7574844775
36144366.754846975,126810392.1161662,164814119.08867013,1859360.2176569302
36624752.33209728,125767746.10191971,164354526.37729153,1962027.9432745222
37106619.40087857,124819808.82508704,163990257.47170746,2063829.2457418456
37590376.365059964,123956300.6259272,163711461.9934646,2164785.0024774475
34048214.84527682,125067313.66567165,161380442.89962023,2264914.3886717767
34537908.578624114,124077420.98309813,159808437.24399096,1193107.6822687136
35033641.23448725,123181067.66212158,159457539.38733268,1242830.490723846
35535513.110405706,122367259.8325186,159194935.12979743,1292162.186873097
36044512.65450736,121626820.13589308,159012443.5303233,1341110.7399228506
36560984.40829547,120952166.14881197,158902834.44089073,1389683.8837833116
37085073.488399185,120336914.73906425,158859877.37604165,1437889.148578241
37616115.970441245,119775630.47040804,158877480.3230745,1485733.8822252073
38150571.764463186,119263803.39304194,158947600.42301315,1533225.26550802
38687722.65771955,118797145.75522697,159065238.73582408,1580370.3228775582
37191410.3595356,119333346.14841548,158151932.43839362,1627175.9304425502
37740274.28242488,118808194.95084967,156987151.8072265,438682.5739519682
38295057.746076494,118334899.6349743,157080735.55391988,450778.17286909913
38855216.60605026,117907929.34604356,157225935.93839526,462789.9863014575
39421292.11552404,117522649.04313685,157418660.83304626,474719.6743853624
39993108.47999529,117175321.10209356,157654998.44618016,486568.8640913148
40570597.507859506,116862720.24920273,157931656.90704295,498339.14998068166
41152901.64363468,116582025.41394682,158244959.15249428,510032.09491278423
41730971.458404005,116330685.54436177,158583306.23348114,521649.2307153698
42309514.18329097,116105887.73695415,158948593.97907212,533192.058827027
42360049.856486,116141663.32263173,159046375.23003498,544662.0509172237
42944520.45344378,115928124.7061697,158872645.1596135,0.0
43531077.342858635,115740858.55411993,159271935.89697856,0.0
44119526.29855487,115577645.62166214,159697171.920217,0.0
44711304.043091305,115436601.48753184,160147905.53062317,0.0
45304558.89592977,115315883.43447909,160620442.33040884,0.0
45898840.925060965,115213883.23173249,161112724.15679345,0.0
46495008.694940284,115129422.96532787,161624431.66026816,0.0
47088527.62982238,115061675.89300406,162150203.52282646,0.0
47679992.811478764,115009467.50916168,162689460.32064044,0.0
48277889.36434322,114971534.36756974,163249423.73191294,0.0
48877751.551652916,114947037.2086067,163824788.7602596,0.0
49475949.07549972,114935082.77872935,164411031.85422906,0.0
50068016.31949682,114934730.23307924,165002746.55257604,0.0
50657761.54172735,114945107.0864257,165602868.62815306,0.0
51243917.33184182,114965450.02164496,166209367.35348678,0.0
51829165.85438725,114995221.01155084,166824386.8659381,0.0
52413350.40776271,115034091.49246645,167447441.90022916,0.0
52987953.20534365,115081975.86470616,168069929.07004982,0.0
53559364.8288023,115137978.00735751,168697342.8361598,0.0
54147200.61279147,115201795.24065872,169348995.85345018,0.0
54735170.4876161,115273161.64208499,170008332.12970108,0.0
55316997.76068793,115351869.43804015,170668867.19872808,0.0
55893179.46693857,115437253.04966423,171330432.51660278,0.0
56466480.163706504,115528832.85724536,171995313.02095187,0.0
57035984.92000067,115626230.49684337,172662215.41684404,0.0
57602730.26050419,115729069.79272756,173331800.05323175,0.0
58166197.842251495,115837132.83832118,174003330.6805727,0.0
58722625.90668939,115950459.76942055,174673085.67610994,0.0
59273431.43082468,116068699.91251355,175342131.34333822,0.0
59836041.1820967,116191595.76081242,176027636.94290912,0.0
60399447.51464457,116318914.49304268,176718362.00768724,0.0
60947700.1711311,116450321.75338002,177398021.92451113,0.0
61488438.16746719,116585475.32945164,178073913.49691883,0.0
62025065.87823033,116724080.22208168,178749146.10031202,0.0
62552844.126275554,116865642.14759436,179418486.2738699,0.0
63070868.89706193,117009645.45909053,180080514.35615247,0.0
63581312.25611356,117156112.94964159,180737425.20575514,0.0
64082053.41842087,117305312.99534033,181387366.4137612,0.0
64574886.22289183,117457167.62043086,182032053.8433227,0.0
65085828.338601306,117611432.14388578,182697260.48248708,0.0
65593382.78889828,117768301.93954748,183361684.72844577,0.0
66096760.9988091,117927763.00038092,184024523.99919003,0.0
66594937.62557033,118089718.07505673,184684655.70062706,0.0
67089340.118056685,118254060.52381626,185343400.64187294,0.0
67580764.35026565,118420640.41642547,186001404.76669112,0.0
68068884.02817677,118589378.69966513,186658262.72784188,0.0
68552012.70190622,118760224.57221411,187312237.27412033,0.0
