Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-817292.0440438405,600012.456044989,0.0,-112740.1691065239,-4694.228249240768
9897743.618604522,-11237177.673819216,-804379.4824458732,652488.9701245852,0.0,-112740.1691065239,-4694.228249240768
9901749.9548598,-11289943.725949802,-816340.1131638489,689288.0552819176,0.0,-112740.1691065239,-4694.228249240768
9907803.966104822,-11349110.091028057,-842947.1274774598,715793.3948015394,0.0,-112740.1691065239,-4694.228249240768
9915706.83165701,-11406658.395118712,-872862.147034368,735523.813783099,0.0,-112740.1691065239,-4694.228249240768
9925279.415448545,-11461688.43595501,-903063.8476168698,750779.5702453601,0.0,-112740.1691065239,-4694.228249240768
9936358.70522462,-11513569.021813238,-931580.0547564125,763064.6591879684,0.0,-112740.1691065239,-4694.228249240768
9948791.255281938,-11535565.425050225,-930845.809527324,773362.7575967284,0.0,-112740.1691065239,-4694.228249240768
9962431.264975563,-11561563.010719867,-934248.6085314917,782317.5345685793,0.0,-112740.1691065239,-4694.228249240768
10663798.548644876,-10733186.313197862,603528.3091639898,790350.4710727397,0.0,-112740.1691065239,-4694.228249240768
10511683.894514877,-10852284.526401501,-258882.26837927636,95824.63737456236,0.0,-13542.401009091172,-563.8728581235008
10391764.520687368,-10942937.119859006,-468622.6177909844,96656.2552478675,0.0,-13542.401009091172,-563.8728581235008
10297171.532715626,-11033421.259105211,-652909.5466755882,97446.45358121175,0.0,-13542.401009091172,-563.8728581235008
10222659.747497488,-11123012.613424236,-816254.4401241086,98204.69966985325,0.0,-13542.401009091172,-563.8728581235008
10164326.102711508,-11208694.620950427,-959537.5156160942,98937.27649003908,0.0,-13542.401009091172,-563.8728581235008
10119210.232503848,-11290108.70339673,-1085356.3603771774,99648.38438291971,0.0,-13542.401009091172,-563.8728581235008
10084975.75548929,-11364651.86873393,-1193441.526149977,100340.86096187762,0.0,-13542.401009091172,-563.8728581235008
10059773.864639949,-11405443.962418856,-1258759.720089923,101016.65155620026,0.0,-13542.401009091172,-563.8728581235008
10042066.964525865,-11445536.306131355,-1315898.4988248278,101677.1166478755,0.0,-13542.401009091172,-563.8728581235008
10111415.651018498,-11383488.714610716,-1183856.1046647665,102323.23279466557,0.0,-13542.401009091172,-563.8728581235008
10083558.101179002,-11457223.669894233,-1373665.5687152308,0.0,0.0,-0.0,-0.0
10064502.24558387,-11512251.412745286,-1447749.167161417,0.0,0.0,-0.0,-0.0
10052544.247773811,-11568568.666896062,-1516024.4191222512,0.0,0.0,-0.0,-0.0
10046436.215784462,-11629681.606746797,-1583245.3909623337,0.0,0.0,-0.0,-0.0
10045190.342171207,-11692800.081016466,-1647609.7388452573,0.0,0.0,-0.0,-0.0
10048022.329435296,-11755428.614475833,-1707406.285040537,0.0,0.0,-0.0,-0.0
10054311.255850324,-11814472.348188518,-1760161.0923381925,0.0,0.0,-0.0,-0.0
10063553.431523355,-11842636.867128478,-1779083.4356051236,0.0,0.0,-0.0,-0.0
10075259.089009918,-11867068.649874903,-1791809.560864985,0.0,0.0,-0.0,-0.0
10089002.301519511,-11917603.124554243,-1828600.8230347317,0.0,0.0,-0.0,-0.0
10104484.551566483,-11967731.027698532,-1863246.476132048,0.0,0.0,-0.0,-0.0
10121481.20784341,-12003365.028337684,-1881883.8204942725,0.0,0.0,-0.0,-0.0
10139723.13351159,-12038741.575300602,-1899018.441789011,0.0,0.0,-0.0,-0.0
10159004.217143504,-12079125.480658995,-1920121.2635154908,0.0,0.0,-0.0,-0.0
10179158.223482812,-12121316.096052466,-1942157.8725696555,0.0,0.0,-0.0,-0.0
10200044.740350565,-12163043.103252182,-1962998.3629016157,0.0,0.0,-0.0,-0.0
10221541.146482449,-12201027.37522093,-1979486.2287384807,0.0,0.0,-0.0,-0.0
10243452.270045338,-12188271.283734152,-1944819.0136888127,0.0,0.0,-0.0,-0.0
10265524.397011762,-12189988.11471386,-1924463.717702098,0.0,0.0,-0.0,-0.0
10287688.437648302,-12217022.574593907,-1929334.1369456048,0.0,0.0,-0.0,-0.0
10309801.737848712,-12234789.825565306,-1924988.0877165946,0.0,0.0,-0.0,-0.0
10331893.918070428,-12249828.135756204,-1917934.2176857754,0.0,0.0,-0.0,-0.0
10353989.000608895,-12267091.893769963,-1913102.8931610677,0.0,0.0,-0.0,-0.0
10376112.19484793,-12293429.82942145,-1917317.6345735192,0.0,0.0,-0.0,-0.0
10398176.297139348,-12315908.41571641,-1917732.118577062,0.0,0.0,-0.0,-0.0
10420097.429160204,-12337917.025624873,-1917819.5964646677,0.0,0.0,-0.0,-0.0
10441919.60985123,-12363161.973578885,-1921242.3637276555,0.0,0.0,-0.0,-0.0
10463693.867235152,-12359374.148750147,-1895680.281514995,0.0,0.0,-0.0,-0.0
10485371.59259957,-12354899.838408768,-1869528.245809197,0.0,0.0,-0.0,-0.0
10506838.8155186,-12386993.02654589,-1880154.2110272872,0.0,0.0,-0.0,-0.0
10528093.23989845,-12409971.082533175,-1881877.8426347242,0.0,0.0,-0.0,-0.0
10549183.827758688,-12422936.626572134,-1873752.7988134443,0.0,0.0,-0.0,-0.0
10570067.898955677,-12425651.886418348,-1855583.9874626705,0.0,0.0,-0.0,-0.0
10590677.323183402,-12438474.019653857,-1847796.696470456,0.0,0.0,-0.0,-0.0
10611012.994666446,-12454051.538508974,-1843038.5438425292,0.0,0.0,-0.0,-0.0
10631118.909445811,-12473155.915648552,-1842037.0062027415,0.0,0.0,-0.0,-0.0
10651040.436835328,-12491683.902841147,-1840643.4660058185,0.0,0.0,-0.0,-0.0
10670928.82251959,-12486778.77357655,-1815849.9510569612,0.0,0.0,-0.0,-0.0
10690684.107059805,-12477807.767312307,-1787123.6602525027,0.0,0.0,-0.0,-0.0
10710238.133372597,-12514105.14260593,-1803867.0092333322,0.0,0.0,-0.0,-0.0
10729614.764249425,-12532985.417304719,-1803370.6530552946,0.0,0.0,-0.0,-0.0
10748897.263498126,-12537406.052623356,-1788508.789125231,0.0,0.0,-0.0,-0.0
10768024.516163547,-12542714.346781569,-1774689.8306180222,0.0,0.0,-0.0,-0.0
10786954.494227696,-12554060.725351695,-1767106.2311239983,0.0,0.0,-0.0,-0.0
10805697.240862275,-12568925.517133702,-1763228.276271428,0.0,0.0,-0.0,-0.0
10824261.122430447,-12584375.59232937,-1760114.4698989221,0.0,0.0,-0.0,-0.0
10842639.07189749,-12597748.572425187,-1755109.5005276971,0.0,0.0,-0.0,-0.0
10860937.104570858,-12591681.07214095,-1730743.9675700916,0.0,0.0,-0.0,-0.0
10879121.188351741,-12579574.403024117,-1700453.2146723762,0.0,0.0,-0.0,-0.0
10897093.0021859,-12595150.765947768,-1698057.7637618685,0.0,0.0,-0.0,-0.0
10914864.829597116,-12608184.422982795,-1693319.5933856799,0.0,0.0,-0.0,-0.0
10932488.203949602,-12613567.593758415,-1681079.389808812,0.0,0.0,-0.0,-0.0
10949970.687439661,-12614150.103488958,-1664179.4160492949,0.0,0.0,-0.0,-0.0
10967258.084775377,-12622019.933197545,-1654761.8484221676,0.0,0.0,-0.0,-0.0
10984330.875445167,-12630482.063013956,-1646151.1875687903,0.0,0.0,-0.0,-0.0
11001193.196316194,-12640680.438299814,-1639487.2419836198,0.0,0.0,-0.0,-0.0
11017860.207463933,-12648893.86011311,-1631033.6526491784,0.0,0.0,-0.0,-0.0
11034488.72391456,-12641509.900686463,-1607021.176771905,0.0,0.0,-0.0,-0.0
11051056.934327368,-12627166.128089307,-1576109.1937619392,0.0,0.0,-0.0,-0.0
11067360.46773769,-12623117.715758357,-1555757.2480206687,0.0,0.0,-0.0,-0.0
11083402.848702079,-12632303.964566285,-1548901.1158642063,0.0,0.0,-0.0,-0.0
11099274.363251619,-12636206.30980471,-1536931.9465530906,0.0,0.0,-0.0,-0.0
11114957.569622893,-12636297.221858595,-1521339.652235702,0.0,0.0,-0.0,-0.0
11130439.29191212,-12640687.258659303,-1510247.966747183,0.0,0.0,-0.0,-0.0
11145689.269708917,-12648326.852338385,-1502637.5826294676,0.0,0.0,-0.0,-0.0
11160733.01353815,-12656283.440094523,-1495550.4265563737,0.0,0.0,-0.0,-0.0
11175589.850340113,-12662688.171097321,-1487098.3207572082,0.0,0.0,-0.0,-0.0
11190375.03009622,-12657212.058304945,-1466837.0282087259,0.0,0.0,-0.0,-0.0
11205038.852613548,-12645549.420133622,-1440510.5675200752,0.0,0.0,-0.0,-0.0
11219475.168316036,-12635293.625712708,-1415818.4573966716,0.0,0.0,-0.0,-0.0
11233674.770948624,-12640901.684472758,-1407226.913524134,0.0,0.0,-0.0,-0.0
11247737.715063963,-12642133.960467385,-1394396.2454034206,0.0,0.0,-0.0,-0.0
11261644.486783512,-12639384.663798075,-1377740.1770145628,0.0,0.0,-0.0,-0.0
11275360.309844699,-12641056.44734136,-1365696.1374966614,0.0,0.0,-0.0,-0.0
11288862.628774086,-12645042.354783883,-1356179.7260097975,0.0,0.0,-0.0,-0.0
11302170.806158168,-12649742.281498604,-1347571.4753404348,0.0,0.0,-0.0,-0.0
11315307.163446266,-12653071.55172202,-1337764.388275753,0.0,0.0,-0.0,-0.0
11328425.19827658,-12647070.277092174,-1318645.078815594,0.0,0.0,-0.0,-0.0
11341563.118075697,-12636022.378697364,-1294459.260621667,0.0,0.0,-0.0,-0.0
11354460.880415274,-12616892.793288583,-1262431.912873309,0.0,0.0,-0.0,-0.0
