Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180913442.49721953,83975.42879999995
59214105.14779269,121980662.11750358,181356232.16307727,161464.89778099343
59706955.23803828,121866410.32846436,181807864.46012375,234498.89362109834
60200470.18760126,121765978.86751682,182270857.5500115,304408.4948933955
60694400.871976286,121678671.33681317,182745139.89197722,372067.6831877903
61188276.26404601,121603816.58669974,183230144.5280316,438051.67728583503
61681486.79111259,121540754.3277937,183724981.5134534,502740.3945471134
62165971.42669781,121489026.28396346,184221383.76759496,566386.0569337063
62643097.44011036,121448027.11029936,184720281.91857186,629157.3681621249
61425032.95750267,122187973.48198985,184304174.82127222,691168.381779688
61905890.73008906,122065358.38230628,184686121.6099583,714872.4975629718
62381558.7849478,121962772.36090963,185116870.32046577,772539.1746083584
62855225.39087614,121877761.19013622,185562634.01482636,829647.4338140087
63328932.132453926,121808640.8721408,186023798.09232023,886225.087725529
63802935.70782425,121754029.75548384,186499259.05506226,942293.5917541535
64277089.15867965,121712730.24897802,186987689.5900527,997870.1823950306
64750270.21890858,121683697.06128314,187486936.55587444,1052969.2756827264
65212743.517501794,121666507.11852202,187986854.0182645,1107603.3822406966
65665903.24588762,121659974.9098031,188487661.86212623,1161783.7064355058
64404068.006403916,122456895.87409109,188076484.41958725,1215520.5390922502
64856318.839928254,122366216.26475155,188491358.61997324,1268823.5152934159
65302829.35068569,122294668.58823937,188919199.72292122,1321701.7839961506
65745712.83373757,122239924.61305103,189359801.56679487,1374164.120006306
66187366.574248485,122200276.50969486,189813862.0822076,1426218.9982642492
66628990.00574445,122174286.77123019,190281151.42045668,1477874.643482031
67071071.953411505,122160764.70016676,190760975.71723104,1529139.063652764
67512956.78276348,122158804.05051017,191251780.90627402,1580020.0730003745
67945535.66966777,122168104.68529579,191744165.66297212,1630525.3080085542
68368991.89538021,122187464.28883183,192237118.42311904,1680662.238907013
67093724.8398895,123000777.68533412,191824940.70339298,1730438.1781693685
67518543.61822636,122935843.83750348,192234247.74276853,1779860.2870386941
67939140.58522622,122889667.46674664,192657743.6327179,1828935.5807450418
68356453.63694276,122859854.74123359,193093979.3110257,1877670.9328493485
68772610.20177753,122844615.68769152,193543298.9684671,1926073.0789980255
69188453.63208812,122842513.72235289,194005115.97471532,1974148.6202743046
69604250.10439114,122852343.25476076,194478497.38542023,2021904.02626832
70019238.83118428,122873083.88513006,194961668.35426033,2069345.6379459663
70421991.05416958,122904526.0041491,195442996.72868788,2116479.670369195
70815278.30144021,122944909.95822124,195923500.47496393,2163312.2153024743
69502838.13941255,123759606.22366466,195472293.60680565,2209849.243728464
69898610.20791595,123715764.02833197,195870470.84453616,2256096.6082882644
70290204.13977325,123690247.31550908,196282511.50093892,2302060.045656606
70678100.54785492,123680687.64865322,196706533.37536722,2347745.178859091
71065294.90531908,123685271.86692235,197143724.2917778,2393157.5195363807
71452880.63811646,123702554.83091013,197593737.93918547,2438302.4701588857
71840428.97809488,123731350.02197482,198054964.32626423,2483185.326194543
72227198.13024187,123770704.3829214,198525713.79139495,2527811.278231677
72603954.71932533,123820571.33782405,198996711.4712079,2572185.414058505
72971377.33368418,123879646.47708006,199467336.53146484,2616312.7207006197
71650124.55797017,124720489.30188963,199030811.94627735,2660198.086417561
72017737.88567626,124696960.22491583,199418544.41325158,2703846.302659478
72382729.2258223,124690455.41660602,199820446.70841312,2747262.0659848237
