Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27279813.49249683,17619.518
7409068.608032173,19991085.522161298,27434032.29805131,33878.16785783862
7540872.334331541,19998404.63547435,27588478.951101843,49201.98129595058
7672226.467124167,20007343.424668394,27743440.13374037,63870.241947810035
7803180.814584098,20017814.19304527,27899061.334111117,78066.32648174786
7933803.123650948,20029756.35109248,28055470.40063164,91910.92588821608
8064141.94690854,20043095.066932846,28212720.767334886,105483.75349349776
8194018.320522482,20057758.470448475,28370614.520860493,118837.7298895373
8323091.836063607,20073682.36214037,28528782.450279314,132008.2520753403
7940162.528586539,20350326.579516586,28435508.358588908,145019.25048578132
8068824.714815384,20332055.77736002,28550873.281953402,149992.78977799928
8197236.44358178,20319098.38547956,28678427.09923165,162092.27017030868
8325314.86255338,20310732.556944195,28810122.004202046,174074.58470446945
8453246.355409171,20306393.28949506,28945585.213844646,185945.56894041778
8580708.800884413,20305615.351950917,29084033.877435114,197709.72459978636
8707698.364488304,20308009.88418789,29225078.9168778,209370.66820160777
8834496.130693955,20313260.563519254,29368688.118696023,220931.4244828098
8960845.158765586,20321103.37319353,29514343.15035076,232394.6183916461
9086827.685645292,20331307.784366995,29661898.070813045,243762.60080076093
8686905.350593746,20612840.51580049,29554783.397300012,255037.53090577395
8809637.607796704,20589433.8342272,29665292.872339908,266221.43031600217
8932323.514865685,20572079.438756146,29781719.17226497,277316.21864314046
9054880.100139411,20559995.80656181,29903199.6436966,288323.73699537764
9177230.922297211,20552551.042200003,30029027.728061076,299245.763563864
9299199.887943499,20549210.543967035,30158494.455947995,310084.0240374601
9420780.993655674,20549535.541315235,30291156.733604502,320840.1986335914
9542148.677642249,20553170.41696378,30426835.021519538,331515.9269135093
9663214.798312688,20559809.496606413,30565137.10606455,342112.8111454461
9783937.631637346,20569192.504890706,30705762.555242684,352632.4187146325
9367193.055045418,20856180.607232314,30586449.946184035,363076.2839063036
9482818.786923232,20832233.419345014,30688498.11554312,373445.9092748743
9598002.159012746,20814519.338453382,30796264.264204793,383742.7667386649
9713010.850056091,20802246.1811946,30909225.32974202,393968.2984913311
9827711.678082837,20794776.361968055,31026611.957840536,404123.91778964247
9941993.909407305,20791576.039338462,31147780.958402418,414211.00965665234
10055777.356973886,20792195.542394847,31272203.83089459,424230.9315258558
10169201.382638011,20796261.80088532,31399648.197366457,434185.01384312654
10282198.198300337,20803454.44490369,31529727.20384151,444074.5606374819
10394541.355469748,20813493.671748552,31661935.877286267,453900.85006796505
9981513.679709155,21095180.421233516,31540359.23589415,463665.13495147665
10088462.361136634,21073305.118576612,31635136.122988027,473368.6432747818
10194845.380462656,21057491.830740508,31735349.789896034,483012.5786928688
10300821.675490797,21046996.48878156,31840416.2852875,492598.1210151437
10406127.677811228,21041202.617830228,31949456.722321954,502126.4266804985
10510967.343459247,21039583.016899638,32062148.989580877,511598.6292219915
10615332.081207324,21041700.35850348,32178048.27943249,521015.83972168574
10719099.069030868,21047212.193784494,32296690.410071425,530379.1472560609
10822217.041647464,21055791.447275087,32417698.108254883,539689.6193323313
10924626.633034928,21067137.554957192,32540712.490308065,548948.3023159455
10519664.037583856,21340648.86240113,32418469.121834487,558156.221849501
10617722.900351973,21321600.531661753,32506637.815277018,567314.3832632885
10715332.387698444,21308387.841682307,32600144.0013584,576423.7719776533
10812305.163816996,21300285.193977255,32698075.71169161,585485.3538973592
10908610.444819646,21296697.712189518,32799808.23280728,594500.0757981184
11004549.245253285,21297133.96372146,32905152.074680198,603468.8657054526
11100095.909329694,21301182.009601187,33013670.55219692,612392.6332660443
11195203.503019854,21308496.184183523,33124971.957315102,621272.2701117244
11289907.16755643,21318777.321798827,33238793.13957151,630108.6502162509
11384089.86509872,21331763.089449864,33354755.584793605,638902.6302450171
10969345.45515794,21607195.6996572,33224196.204712976,647655.0498978334
11060039.646715155,21589582.3625523,33305988.741512373,656366.7322449185
11150259.820743818,21577781.59601309,33393079.900813147,665038.4840562377
11239838.180806104,21571061.703737263,33484570.980667684,673671.0961243164
11328798.823105576,21568825.85833976,33579890.025026,682265.3435806618
11417390.047325738,21570590.582961153,33678802.61649281,690821.9862059165
11505660.844396569,21575935.370592915,33780937.98372336,699341.7687338716
11593276.140069239,21584507.445419345,33885609.00663804,707825.4211494566
11680473.100166606,21596001.8495689,33992748.60871633,716273.6589808296
11767091.53417994,21610149.53611481,34101928.25388043,724687.1835856822
11341942.229470786,21885122.208573032,33960131.120475695,733066.6824318744
11426057.161099656,21868245.22929436,34086351.383409925,792048.9930159071
11509750.701907126,21857222.291070808,34167903.224395044,800930.2314171061
11592788.751036389,21851317.589298543,34253883.57768044,809777.2373455097
11674947.768960848,21849927.647312395,34343466.105021276,818590.6887480321
11756801.478108104,21852546.300277885,34436719.02853138,827371.250145388
11838306.859036786,21858726.711833514,34533153.14376829,836119.5728979873
11919318.56507761,21868110.654779915,34632265.515324086,844836.2954665652
11999866.250030318,21880392.15149399,34733780.44519196,853522.0436676486
12079728.491067916,21895292.527687833,34837198.44967972,862177.4309239662
11613967.998098679,22188513.327943873,34673284.38455245,870803.058509897
11691401.286318751,22171177.09455268,34685757.3620978,823178.9812263701
11768391.072460167,22159664.653523218,34759254.823193684,831199.0972103021
11844732.03595225,22153243.52435808,34837168.53889094,839192.9785806139
11920494.47119795,22151309.425849754,34918965.04194068,847161.1448929758
11995980.421869904,22153368.459539674,35004452.986823246,855104.1054136712
12071177.485882817,22158989.088505413,35093188.933711596,863022.3593233697
12145728.057332346,22167803.636806935,35184448.09005614,870916.3959168638
12219639.309061574,22179489.189425416,35277915.19328584,878786.6947988523
12292595.194215111,22193749.794448137,35372978.71473909,886633.726075844
11839913.788465,22476909.79327374,35211281.532283,894457.9505442614
11911685.067309298,22459674.710901894,35273619.598086014,902259.819874821
11983058.706663838,22448246.510847274,35341344.99430437,910039.7767932586
12053913.044864217,22441876.385506134,35413587.68562783,917798.2552574802
12123971.986021651,22439945.827127207,35489453.493780054,925535.680631199
12193703.51455438,22441933.92551526,35568889.90992378,933252.4698541389
12263117.460288165,22447419.850055784,35651486.341952816,940949.0316088634
12332057.176649917,22456038.03223088,35736720.9753651,948625.7664843027
12400470.064779326,22467477.729459595,35824230.86137497,956283.0671360424
12468300.897825198,22481463.89474903,35913686.11101766,963921.3184434355
12044094.740082026,22750763.96160623,35766399.59935187,971540.8976636052
