period,oha,ohv,ogs
1,2329.281244288246,153214.20000000004,6836997.726232503
2,2445.745306502658,160874.91000000003,9284890.677585615
3,2445.745306502659,160874.91000000003,12015079.528059332
4,2330.8961965198896,160874.91000000003,14860193.006409897
5,2212.8171820738335,160874.91000000006,17673345.759449508
6,2212.8171820738335,160874.91000000006,20340707.13331411
7,2262.4261006767674,160874.91,22792675.03450475
8,2445.7453065026584,160874.91000000003,24987133.268963642
9,2212.8171820738335,160874.91000000003,26868565.473710548
10,2445.745306502658,160874.91000000003,28419535.88721707
