Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-484420.7155593068,19596.221809648796,0.0,-3682.0591612903236,-153.31204722580648
1606482.2789892564,-2112336.1832102737,-488379.1868503861,21310.088579147694,0.0,-3682.0591612903236,-153.31204722580648
1617333.0696080052,-2127450.148186882,-491440.514433449,22511.935353943933,0.0,-3682.0591612903236,-153.31204722580648
1628126.27130303,-2142533.651920808,-494865.16025616083,23377.591570133573,0.0,-3682.0591612903236,-153.31204722580648
1638847.0779621457,-2157405.8360304483,-498372.1483063243,24021.98097049455,0.0,-3682.0591612903236,-153.31204722580648
1649487.7128556406,-2172224.09227385,-502051.52135405573,24520.229272669858,0.0,-3682.0591612903236,-153.31204722580648
1660035.8722198664,-2186853.5155790495,-505731.5580780854,24921.45648961377,0.0,-3682.0591612903236,-153.31204722580648
1670481.2589194207,-2200460.441727845,-508556.7648085598,25257.789208380735,0.0,-3682.0591612903236,-153.31204722580648
1680816.6558127305,-2212473.815667133,-509942.2815997076,25550.249463211127,0.0,-3682.0591612903236,-153.31204722580648
1725705.2455491612,-2186526.9130585836,-438844.43602533627,25812.602692602333,0.0,-3682.0591612903236,-153.31204722580648
1727592.9208649863,-2201494.991367956,-452794.49464872526,24751.178502334747,0.0,-3497.9562032258054,-145.6464448645161
1730847.5677276128,-2215773.6581362616,-463603.71048113203,24965.982575607162,0.0,-3497.9562032258054,-145.6464448645161
1735143.3736575863,-2229319.706941188,-472649.8478093619,25170.088122329977,0.0,-3497.9562032258054,-145.6464448645161
1740241.7371115373,-2243087.858248389,-481123.7832722156,25365.940512726236,0.0,-3497.9562032258054,-145.6464448645161
1745959.1119549016,-2255333.580963523,-487462.9090384825,25555.162618229406,0.0,-3497.9562032258054,-145.6464448645161
1752152.5056243562,-2267188.8407334574,-492941.098384493,25738.839372698196,0.0,-3497.9562032258054,-145.6464448645161
1758715.538681419,-2279817.5352018406,-498827.89544647624,25917.70372203538,0.0,-3497.9562032258054,-145.6464448645161
1765566.1447047319,-2291288.4920629608,-503273.6918681277,26092.2581381914,0.0,-3497.9562032258054,-145.6464448645161
1772635.459344651,-2302833.295265334,-507578.5845397288,26262.854029044767,0.0,-3497.9562032258054,-145.6464448645161
1812373.1325070108,-2275479.7211124096,-440320.4476173391,26429.74363615,0.0,-3497.9562032258054,-145.6464448645161
1811859.479079526,-2288298.6762568653,-453489.6858702811,26593.113955148532,0.0,-3497.9562032258054,-145.6464448645161
1812932.253508453,-2301741.5738338623,-465699.81406436604,26753.108909133774,0.0,-3497.9562032258054,-145.6464448645161
1815227.1951915845,-2314439.874286994,-475946.43789748946,26909.84384601027,0.0,-3497.9562032258054,-145.6464448645161
1818476.205259009,-2326440.8166010818,-484544.7989701875,27063.415019975786,0.0,-3497.9562032258054,-145.6464448645161
1822474.2567290578,-2337439.373095639,-491394.8132193436,27213.90579532796,0.0,-3497.9562032258054,-145.6464448645161
1827066.646703673,-2348145.973253118,-497361.5384891492,27361.390708385774,0.0,-3497.9562032258054,-145.6464448645161
1832134.8203602526,-2359205.214672169,-503208.05883032223,27505.938129684546,0.0,-3497.9562032258054,-145.6464448645161
1837584.574175449,-2369656.8176784464,-508068.23413969413,27647.612011393543,0.0,-3497.9562032258054,-145.6464448645161
1843342.21718738,-2379719.847399766,-512234.759823638,27786.47303683825,0.0,-3497.9562032258054,-145.6464448645161
1884442.460999777,-2349296.1889524213,-440574.7512215453,27922.57937918909,0.0,-3497.9562032258054,-145.6464448645161
1882744.644042169,-2359513.487191054,-452356.458592356,28055.98720461953,0.0,-3497.9562032258073,-145.64644486451616
1882527.1588517937,-2369064.1999455313,-461993.89273348096,28186.751008347037,0.0,-3497.9562032258073,-145.64644486451616
1883495.1842272175,-2379327.2488481714,-471160.74342771305,28314.92384133124,0.0,-3497.9562032258073,-145.64644486451616
1885421.1554954406,-2388893.3057857277,-478675.1954729937,28440.557465383805,0.0,-3497.9562032258073,-145.64644486451616
1888123.1682348896,-2397836.7522291006,-484793.4841809388,28563.702461362263,0.0,-3497.9562032258073,-145.64644486451616
1891456.0482918664,-2406266.4753971114,-489769.6214467632,28684.408306572284,0.0,-3497.9562032258073,-145.64644486451616
1895306.4721091094,-2414989.0001790505,-494523.4072861143,28802.723431917053,0.0,-3497.9562032258073,-145.64644486451616
1899583.0179060574,-2423146.98741387,-498288.87689022045,28918.695265682756,0.0,-3497.9562032258073,-145.64644486451616
1904212.842289557,-2430359.5598543584,-500757.94994442776,29032.370268464147,0.0,-3497.9562032258073,-145.64644486451616
1945391.0735876276,-2398905.4462083615,-428014.1813066486,29143.79396217572,0.0,-3497.9562032258073,-145.64644486451616
1942669.7002049782,-2407339.0853137937,-439059.97680182994,29253.010955075715,0.0,-3497.9562032258054,-145.6464448645161
1941479.4352626572,-2414722.0963095194,-447526.19873088767,29360.06496406457,0.0,-3497.9562032258054,-145.6464448645161
1941510.5281636852,-2422474.570291453,-455142.6459407735,29464.998835084807,0.0,-3497.9562032258054,-145.6464448645161
1942520.5412982514,-2429516.8524808567,-461072.0592685308,29567.854562164663,0.0,-3497.9562032258054,-145.6464448645161
1944325.7243212843,-2436660.5044704713,-466309.7094918146,29668.67330546257,0.0,-3497.9562032258054,-145.6464448645161
1946784.67970489,-2443528.1376539404,-470619.5651885931,29767.495408547697,0.0,-3497.9562032258054,-145.6464448645161
1949792.6071154657,-2450001.600283347,-473988.23540089896,29864.36041507267,0.0,-3497.9562032258054,-145.6464448645161
1953254.3371450678,-2456116.3501017136,-476546.3085197935,29959.30708494254,0.0,-3497.9562032258054,-145.6464448645161
1957086.7259333162,-2461510.4939393993,-478014.99724412354,30052.373410050073,0.0,-3497.9562032258054,-145.6464448645161
1991670.4532879987,-2426764.6363281365,-408594.18905860285,30143.596629625383,0.0,-3497.9562032258054,-145.6464448645161
1988113.4174683655,-2435219.75860651,-420516.93054100155,30233.013245233098,0.0,-3497.9562032258054,-145.6464448645161
1986310.8142492566,-2443023.3372632354,-430035.46662662807,30320.659035440895,0.0,-3497.9562032258054,-145.6464448645161
1985900.5158724752,-2449435.1674189363,-436771.6851243748,30406.569070176854,0.0,-3497.9562032258054,-145.6464448645161
1986594.1144878692,-2456087.179451647,-442645.8898870796,30490.777724788986,0.0,-3497.9562032258054,-145.6464448645161
1988162.9203236473,-2463096.681532189,-448004.0451628141,30573.318693817484,0.0,-3497.9562032258054,-145.6464448645161
1990429.7623691845,-2469689.385467643,-452249.00074206037,30654.22500448845,0.0,-3497.9562032258054,-145.6464448645161
1993272.275069229,-2475847.6726564784,-455485.47120540286,30733.529029936617,0.0,-3497.9562032258054,-145.6464448645161
1996588.5626264254,-2481838.7960017435,-458082.5735212445,30811.262502163758,0.0,-3497.9562032258054,-145.6464448645161
2000292.523281758,-2487523.398761194,-459987.02160278766,30887.456524738875,0.0,-3497.9562032258054,-145.6464448645161
2033746.1144419212,-2452614.944179649,-391550.29080057243,30962.141585245743,0.0,-3497.9562032258054,-145.6464448645161
