Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27271003.73349683,8809.759
7409068.608032173,19991085.522161298,27417093.214122392,16939.08392891931
7540872.334331541,19998404.63547435,27563877.960453868,24600.99064797529
7672226.467124167,20007343.424668394,27711505.01276646,31935.120973905017
7803180.814584098,20017814.19304527,27860028.17087024,39033.16324087393
7933803.123650948,20029756.35109248,28009514.937687535,45955.46294410804
8064141.94690854,20043095.066932846,28159978.890588135,52741.87674674888
8194018.320522482,20057758.470448475,28311195.655915722,59418.86494476865
8323091.836063607,20073682.36214037,28462778.324241642,66004.12603767015
8186310.571338409,20224513.580674812,28483333.77725611,72509.62524289066
8317142.648196593,20223013.782044653,28623047.18248698,82890.75224573648
8447577.985206094,20225221.978315815,28762377.27072129,89577.30719938115
8577573.14742239,20230625.813796844,28904398.073819075,96199.11259983842
8707304.62587399,20238837.179964855,29048901.199200656,102759.39336180988
8836453.137771783,20249542.115252517,29195255.89030313,109260.63727882937
8965012.154708056,20262480.505046573,29343197.50270815,115704.84295352013
9093274.792029653,20277448.788785663,29492817.262766343,122093.68195102653
9220987.862289067,20294279.35115022,29643695.81833993,128428.60490064659
9348240.633682175,20312820.353099402,29795771.897750415,134710.91096884164
9193358.899993593,20477216.424580574,29811517.11796946,140941.7933952962
9321012.612775577,20478012.514573213,29932135.84250679,133110.71515800126
9448348.587341512,20482776.96754738,30069783.66421046,138658.1093215704
9575316.434174562,20490989.366454717,30210467.66912697,144161.86849768896
9701842.54151192,20502237.03709866,30353702.460392516,149622.88178193217
9827751.219989475,20516178.68170404,30498971.91371225,155042.01201873022
9953036.163006647,20532540.060177695,30645996.322501134,160420.09931679585
10077887.255978523,20551098.072174255,30794743.291609533,165757.9634567548
10202183.994152557,20571660.190412704,30944900.590137985,171056.40557272322
10325881.919008542,20594063.382741354,31096261.51110721,176316.20935731643
10181219.823704557,20756626.9437212,31119384.909378912,181538.141953152
10305094.974548843,20761902.71610523,31253720.64529151,186722.95463743727
10428165.50512082,20771187.16684655,31391224.055336706,191871.3833693325
10550715.826372698,20783950.5057448,31531650.481363162,196984.14924566564
10672632.673629576,20799777.10446064,31674471.736985043,202061.9588948213
10793779.853382,20818323.49305712,31819208.851267446,207105.50482832623
10914065.160360271,20839302.10746378,31965482.73358698,212115.465762928
11033649.02239481,20862476.259315033,32113217.788631406,217092.50692156338
11152429.249813957,20887643.050852805,32262109.5809855,222037.28031874108
11270184.959247217,20914622.193787754,32411757.578068953,226950.42503398264
11131181.123145923,21075587.3277227,32438601.01834436,231832.56747573838
11246845.694767157,21087013.330455914,32570543.34686046,236684.3216373909
11361561.428194495,21101958.64034921,32705026.357890137,241506.2893464344
11475371.6363213,21119983.189984526,32841653.886813402,246299.06050757185
11588242.627283689,21140705.91504877,32980011.75567271,251063.21334024926
11700293.504662853,21163835.238024868,33119928.057298716,255799.31461099576
11811455.249303225,21189131.525275316,33261094.694439385,260507.91986084287
11921614.169725498,21216414.38541931,33403218.128772836,265189.5736280304
12030693.688977513,21245489.407190066,33546027.905833744,269844.8096661657
