period,oha,ohv,ogs,ocp,ocf
1,5906.473847662704,689459.3999999999,6206121.020350151,27011116.11205565,0.0
2,6201.7975400458445,654986.4299999996,8055811.92706115,28139150.280616406,0.0
3,6201.797540045841,654986.4299999997,10163643.634425672,29249832.06014748,0.0
4,6201.797540045843,654986.4299999998,12376303.0652859,30319204.260280594,0.0
5,5641.157116263257,654986.43,14560781.200224878,31361723.387618687,0.0
6,5611.150155279571,654986.4299999998,16615192.815279534,32325797.51825337,0.0
7,5611.150155279571,654986.4299999999,18470994.41436155,33238388.678258467,0.0
8,5611.15015527957,654986.4299999997,20099290.78597524,34122365.44355592,0.0
9,5611.15015527957,654986.4299999999,21486037.51407,34947471.854492754,0.0
10,5611.150155279572,654986.4299999998,22672666.339637324,35645703.813876435,0.0
