period,oha,ohv,ogs
1,4563.088701100896,612852.8,6296246.432114858
2,4791.243136155942,582210.1599999997,8246173.452862391
3,4791.243136155941,582210.1599999999,10453948.200318638
4,4653.601813674335,582210.1599999999,12729798.922754366
5,4334.934266045851,582210.1599999999,14939390.295723207
6,4334.9342660458515,582210.1600000001,16987417.596387327
7,4334.934266045852,582210.1600000001,18829740.43914574
8,4334.9342660458515,582210.16,20466089.417361762
9,4334.934266045852,606121.6268774719,21831432.032758825
10,4334.93426604585,582539.8161749847,22978585.71969846
