Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52898313.14027822,24675.77999999999
14439629.099533154,38540260.76420462,53027335.555320434,47445.69158265833
14640881.53763132,38455602.19189735,53165390.113121174,68906.38359250185
14842543.100859858,38380344.8255564,53312336.91354808,89448.98713182342
15044923.758035498,38313739.19520053,53467993.270766385,109330.31753035379
15247816.019716727,38255135.46724563,53631670.887051165,128719.40008880627
15450688.018913468,38204014.89855883,53802430.78918706,147727.871714753
15653960.276384931,38159944.61240689,53980334.73542291,166429.84663108524
15857272.128023852,38122544.762834236,54164691.788479894,184874.8976218101
15428843.294140652,38395057.801313505,54026997.63423303,203096.53877887188
15633564.825257195,38328022.77805499,54171649.48367396,210061.88036177598
15838666.555758849,38271494.45271511,54337167.96737164,227006.9588976894
16043268.603550943,38224399.032094546,54511455.58465516,243787.94900966372
16247493.702029902,38185872.933839254,54693779.65915099,260413.02328182763
16451932.280577715,38155193.024115756,54884013.79097811,276888.48628463695
16656980.57494834,38131759.8976052,55081959.87543368,293219.40288013936
16861022.831109937,38115026.0970996,55285458.93736101,309410.00915146637
17063463.723351646,38104439.75900592,55493367.46364333,325463.98128576565
17266355.593426708,38099557.81711936,55707298.02217889,341384.61163281533
16859355.180424556,38405920.17641874,55622450.280945875,357174.9241025819
17060836.839830864,38371080.055916555,55804754.64566561,372837.7499181874
17262225.07279546,38345147.33259578,55995748.18284838,388375.7774571377
17462840.152473982,38327218.0519754,56193849.78960375,403791.58515436115
17662799.728049483,38316529.03530137,56398416.42668159,419087.6633307406
17862261.90413317,38312505.37177084,56609033.70468277,434266.4287787597
18061498.16832316,38314528.80735641,56825357.21028864,449330.2346090739
18260050.986323662,38322121.783982076,57046454.14729992,464281.3769941852
18457993.92548401,38334855.4639659,57271971.489328384,479122.09987847414
18655531.333112147,38352348.611408636,57501734.542874165,493854.5983533801
18243131.269882236,38681804.63535268,57433416.926389374,508481.0211544654
18436971.44335271,38667461.31880567,57627436.23473731,523003.47257891856
18630676.741533466,38661081.39408243,57829182.149634585,537424.0140186929
18824029.02049779,38661654.31171802,58037427.997452766,551744.6652369503
19008818.244164925,38668328.35134832,58243114.000984564,565967.4054713246
19192926.37222101,38680494.842660196,58453515.389299914,580094.1744187002
19376560.59285368,38697751.56565973,58668439.03165075,594126.8731373401
19559465.05971243,38719708.564478315,58887240.98908063,608067.3648898876
19744329.158084497,38746049.688585326,59112296.322612524,621917.4759427109
19928985.831090834,38776509.36123346,59341174.18865609,635678.9963318004
19506759.2676436,39117163.01832119,59273275.96656677,649353.6806019861
19688783.750098053,39114844.499547586,59466571.49816963,662943.2485239941
19870538.374562815,39120011.17399531,59666998.93435051,676449.3857923873
20049474.868731633,39131768.12759196,59871116.74103006,689873.7447064702
