Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-300478.8445087884,54888.227726331184,0.0,-10313.299354838704,-429.4208670967739
3229576.246178158,-3619168.7588631874,-340646.533413646,59688.69949331883,0.0,-10313.299354838704,-429.4208670967739
3218747.764490371,-3646258.6057236553,-375198.5375699873,63055.02388523259,0.0,-10313.299354838704,-429.4208670967739
3211482.199131155,-3674964.254385618,-408745.0834082651,65479.692068133845,0.0,-10313.299354838704,-429.4208670967739
3206944.278738542,-3704786.043744383,-441299.88441269053,67284.60081508585,0.0,-10313.299354838704,-429.4208670967739
3204543.8408506536,-3733601.7978472067,-471120.5029842149,68680.17423427377,0.0,-10313.299354838704,-429.4208670967739
3203863.3476038114,-3760285.259473598,-497360.6365888621,69803.99550286015,0.0,-10313.299354838704,-429.4208670967739
3204609.2748431168,-3788349.8363480223,-523737.23183008697,70746.04989675396,0.0,-10313.299354838704,-429.4208670967739
3206571.424589799,-3814915.432166111,-547521.5085113962,71565.21928685176,0.0,-10313.299354838704,-429.4208670967739
3292867.806739873,-3737111.7118204334,-382686.56519074197,72300.06011175367,0.0,-10313.299354838704,-429.4208670967739
3276638.5362167633,-3770227.6953049144,-434467.68957773125,69327.05372125866,0.0,-9797.634387096776,-407.9498237419356
3264879.763287467,-3801350.724319326,-476747.833966996,69928.71127570185,0.0,-9797.634387096776,-407.9498237419356
3256747.929611544,-3828437.9165566,-511395.1684675548,70500.40268834004,0.0,-9797.634387096776,-407.9498237419356
3251621.688966086,-3855380.7446604306,-542915.6625625431,71048.97734264015,0.0,-9797.634387096776,-407.9498237419356
3249025.5499309776,-3884169.098968435,-573770.1524121967,71578.98083609926,0.0,-9797.634387096776,-407.9498237419356
3248593.331875216,-3914112.6426405422,-603631.4429514231,72093.45202474197,0.0,-9797.634387096776,-407.9498237419356
3250023.8286493104,-3937827.440550519,-625414.7522515366,72594.44386051042,0.0,-9797.634387096776,-407.9498237419356
3253042.6185686127,-3958808.2469277144,-642887.8488228479,73083.36374709239,0.0,-9797.634387096776,-407.9498237419356
3257415.555961231,-3986791.967323212,-666020.7996090227,73561.19596379681,0.0,-9797.634387096776,-407.9498237419356
3353083.7128415,-3899711.5105499653,-482804.7348902495,74028.64702905467,0.0,-9797.634387096776,-407.9498237419356
3338098.8669525767,-3926994.918905456,-524615.3954535945,74486.24071012331,0.0,-9797.634387096776,-407.9498237419356
3327550.2636252823,-3953604.271858751,-561325.2123145184,74934.38012978848,0.0,-9797.634387096776,-407.9498237419356
3320688.4466979257,-3978361.020122848,-592504.7692628775,75373.38837288323,0.0,-9797.634387096776,-407.9498237419356
3316922.741464132,-4002603.665400151,-620082.9731033207,75803.5350435373,0.0,-9797.634387096776,-407.9498237419356
3315783.9118738873,-4027603.398061502,-645800.0167566634,76225.05364178949,0.0,-9797.634387096776,-407.9498237419356
3316884.10728231,-4053215.946639481,-669899.2706271439,76638.15294086612,0.0,-9797.634387096776,-407.9498237419356
3319919.4643619014,-4077129.9190562973,-690373.0144613525,77043.02444388176,0.0,-9797.634387096776,-407.9498237419356
3324637.029047556,-4101271.580286655,-709400.2881716515,77439.8472782859,0.0,-9797.634387096776,-407.9498237419356
3330757.5459651565,-4125483.2543000877,-727102.5011301418,77828.79141562815,0.0,-9797.634387096776,-407.9498237419356
3427774.9440833763,-4031486.777805626,-535707.398136473,78210.01979661494,0.0,-9797.634387096776,-407.9498237419356
3414147.5629805005,-4052299.124326231,-569773.4558161335,78583.68974043523,0.0,-9797.634387096772,-407.94982374193535
3404896.8069951357,-4077368.2325896746,-603727.0559193802,78949.95388599735,0.0,-9797.634387096772,-407.94982374193535
3399230.373148343,-4101376.6246831627,-633042.8749187563,79308.96082690173,0.0,-9797.634387096772,-407.94982374193535
3396502.3011573236,-4094183.225097484,-628225.6526051016,79660.85554589731,0.0,-9797.634387096772,-407.94982374193535
3396245.952705213,-4115822.657878886,-649776.5096665837,80005.77971792805,0.0,-9797.634387096772,-407.94982374193535
3398122.4714654107,-4138487.524696388,-670226.7655148824,80343.8719269336,0.0,-9797.634387096772,-407.94982374193535
