period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,18018809.772598173,49919644.89888294,3169909.513776313
2,0.0,0.0,22034657.31989905,50208208.57010672,3060094.632445613
3,243.14226490344328,55519.02347801937,26325612.781538993,50864353.209807925,3063274.6748456326
4,0.0,0.0,30881811.584163733,51781885.22264527,3134089.4491811506
5,0.0,0.0,35385616.003161825,52508384.60988796,3204626.357039337
6,0.0,0.0,39678680.86784215,52942104.504040755,3253274.29492503
7,0.0,0.0,43667926.56056185,53418692.96403064,3304311.7973424206
8,1854.864514766646,427285.1873572725,46798870.12433229,53963725.38583653,3338905.560512079
9,100252.3364561809,17317562.61861922,29673953.784944724,55423881.53807593,2514949.934605016
10,57656.77005239972,7992167.62021564,22401470.843540967,52807416.34657398,2778105.187107211
