period,oha,ohv,ogs,ocp,ocf
1,1944.7674617214484,321857.99999999994,17640153.302009936,52772500.43571793,0.0
2,1847.5290886353757,305765.1000000001,21285493.544283044,54074957.16176374,0.0
3,1847.5290886353757,305765.1,25268382.53472636,55945452.78501189,0.0
4,1847.529088635377,305765.1000000001,29464096.824162193,58167170.32352984,0.0
5,1847.529088635376,305765.1000000001,33620483.97689554,60421494.01939049,0.0
6,1847.5290886353764,305765.1000000001,37579717.36154942,62752415.231365964,0.0
7,1860.6283393613749,305765.10000000003,41258813.04842086,65109000.75665342,0.0
8,2042.005834807521,305765.10000000003,44604258.69081484,67445502.05769537,0.0
9,2042.0058348075208,305765.09999999986,47582913.05053435,69681162.59170529,0.0
10,2042.0058348075208,305765.09999999986,50290410.80363144,71691265.00470762,0.0
