Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873727.7307132,90.37043498725953
14439629.099533154,38540260.76420462,52980063.62472068,173.76098289886647
14640881.53763132,38455602.19189735,53096736.08628735,252.3567586780785
14842543.100859858,38380344.8255564,53223215.516623184,327.59020692649494
15044923.758035498,38313739.19520053,53359063.355101846,400.4018658179509
15247816.019716727,38255135.46724563,53503422.8977213,471.410758943568
15450688.018913468,38204014.89855883,53655243.94320793,541.0257356243371
15653960.276384931,38159944.61240689,53814514.40701718,609.51822535758
15857272.128023852,38122544.762834236,53980493.96063729,677.0697792048743
16058436.960559614,38092594.607686296,54151775.37138218,743.8031362677685
16262359.961114518,38067389.576412566,54330599.83017832,850.2926512369255
16466319.457932448,38047973.02636926,54515211.36757838,918.8832766702752
16669540.596806837,38034036.09236753,54704563.49887609,986.8097017223464
16872179.264879223,38025300.60225686,54898533.97214362,1054.105007541485
17074837.29308565,38021518.74375448,55097476.83155401,1120.7947138931943
17277933.427009348,38022474.62681216,55301594.95314393,1186.8993224266592
17479858.72203122,38027939.38409174,55509050.542103015,1252.4359800433117
17680039.769678578,38037628.3278399,55718985.517085776,1317.4195672864969
17880550.66405928,38051324.30385729,55933256.831327565,1381.8634109950349
18079127.929366317,38069978.94995719,56150552.65907492,1445.7797514117444
18280002.112952806,38091087.2307918,56372598.52379342,1509.180048817807
18480521.032581795,38115791.02736962,56597884.1351367,1572.0751852810833
18680066.937728506,38143908.27434337,56825609.68766972,1634.475597841686
18878775.128566585,38175273.28913537,57055744.809068814,1696.3913668699422
19076781.789264336,38209807.71478002,57288347.33631946,1757.832275106467
19274372.155617766,38247304.93774779,57523495.90121308,1818.807847519303
19471085.57792616,38287636.68067791,57760601.58598267,1879.3273786011093
19666978.7059499,38330673.482293226,57999591.588194564,1939.399951434513
19862260.956325624,38376291.32108955,58240551.31186652,1999.0344513542386
20054692.499047484,38425464.2326461,58482214.971269645,2058.23957605477
20248008.234868962,38475729.64031711,58725854.89902943,2117.0238433520567
20440862.066773713,38528304.09007265,58971341.55244375,2175.3955973893917
20633018.4766709,38582900.091454275,59218151.93113898,2233.3630138042126
20816361.691968765,38639278.093958855,59457930.72003181,2290.934104193923
20998770.85010793,38697325.69215289,59698444.65898092,2348.116720102093
21180433.43522771,38757084.766752295,59939923.12053668,2404.918556670117
21361086.97207237,38818528.83644344,60182077.15567186,2461.3471560495263
21543412.460404545,38881655.61305796,60427585.48337314,2517.4099106375975
21725316.333052848,38946467.25757698,60674356.704696,2573.1140661775626
21903865.689188357,39014034.40907837,60920528.56499148,2628.466724750831
22084278.03424916,39081955.57779179,61168917.086888626,2683.4748476795044
22264011.373455003,39151496.29494441,61418245.81365777,2738.145258351509
22441002.36636892,39222541.88401013,61666336.73502403,2792.4846449767883
22617036.528006654,39295023.758632384,61914906.78620232,2846.4995632804066
22792068.381530825,39369026.65207595,62163995.23004591,2900.1964391367724
22967460.917691853,39444463.61436096,62414878.113623954,2953.5815711480695
23140902.304699276,39521302.52926934,62665211.49510178,3006.6611331692447
23317183.28588551,39599545.62396764,62919788.35102993,3059.441176781452
23492584.480958864,39679195.78243712,63174892.191029705,3111.9276337154924
23663569.04178612,39761302.75625701,63428035.924361356,3164.126318226604
23836210.956369,39843453.737165004,63682574.44666062,2909.7531266197093
24008109.11278585,39926917.936863296,63937983.52479282,2956.4751436797214
24178240.12097362,40012019.09806042,64193262.170993924,3002.9519598875495
24346985.626401022,40098497.673003644,64448532.48783592,3049.188431251907
24514307.970859505,40186156.527733326,64703559.687910445,3095.1893176118597
24681122.513541643,40274970.28489769,64959233.75772388,3140.9592845414804
24847000.546845157,40364907.63487851,65215094.68462889,3186.5029052167456
25010459.0530785,40455914.110839106,65469604.98857985,3231.8246622454467
25172796.036389314,40547948.786593266,65724021.75193204,3276.9289494608456
25330638.433040228,40642127.937150344,65976088.190264255,3321.8200736797958
