Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-331380.69976186537,16466.468317899373,0.0,-3093.989806451615,-128.82626012903233
3229576.246178158,-3619168.7588631874,-374908.7189036143,17906.609847995667,0.0,-3093.989806451615,-128.82626012903233
3218747.764490371,-3646258.6057236553,-411817.1501342952,18916.507165569794,0.0,-3093.989806451615,-128.82626012903233
3211482.199131155,-3674964.254385618,-447060.9637006039,19643.90762044017,0.0,-3093.989806451615,-128.82626012903233
3206944.278738542,-3704786.043744383,-480879.2008278958,20185.38024452578,0.0,-3093.989806451615,-128.82626012903233
3204543.8408506536,-3733601.7978472067,-511676.7207928517,20604.052270282154,0.0,-3093.989806451615,-128.82626012903233
3203863.3476038114,-3760285.259473598,-538703.5292855094,20941.198650858067,0.0,-3093.989806451615,-128.82626012903233
3204609.2748431168,-3788349.8363480223,-565739.5626024598,21223.814969026207,0.0,-3093.989806451615,-128.82626012903233
3206571.424589799,-3814915.432166111,-590097.2578568376,21469.56578605555,0.0,-3093.989806451615,-128.82626012903233
3235371.041281511,-3816814.073117589,-562975.8298691324,21690.01803352612,0.0,-3093.989806451615,-128.82626012903233
3233781.6275447034,-3844636.9719456825,-593118.9035478532,20798.116116377594,0.0,-2939.290316129032,-122.38494712258063
3233973.804942511,-3871269.0086332546,-619378.2655712847,20978.613382710555,0.0,-2939.290316129032,-122.38494712258063
3235684.0437650452,-3894643.51651994,-640871.0272116446,21150.120806502007,0.0,-2939.290316129032,-122.38494712258063
3238706.4735412756,-3918270.9880192056,-661311.4965383898,21314.693202792037,0.0,-2939.290316129032,-122.38494712258063
3242884.669168582,-3943894.356103269,-682597.6679471087,21473.69425082978,0.0,-2939.290316129032,-122.38494712258063
3248100.123827826,-3970901.4170455933,-704234.9328735959,21628.03560742259,0.0,-2939.290316129032,-122.38494712258063
3254244.6862106104,-3991735.318653946,-718773.9745484334,21778.333158153124,0.0,-2939.290316129032,-122.38494712258063
3261196.632667485,-4009951.5831301254,-729891.6166017638,21925.009124127708,0.0,-2939.290316129032,-122.38494712258063
3268864.5754845636,-4035441.2999527706,-747570.0409423192,22068.35878913904,0.0,-2939.290316129032,-122.38494712258063
3302468.894815158,-4032524.913730597,-710909.1000699743,22208.5941087164,0.0,-2939.290316129032,-122.38494712258063
3305601.1370613594,-4056775.8152524177,-731890.4812412729,22345.872213037004,0.0,-2939.290316129034,-122.38494712258073
3310264.9249183983,-4080260.304048563,-750576.7403544793,22480.31403893655,0.0,-2939.290316129034,-122.38494712258073
3316223.4592758133,-4101106.2924409187,-765332.4919164918,22612.01651186498,0.0,-2939.290316129034,-122.38494712258073
3323286.122399917,-4122139.570544028,-779174.0628943014,22741.0605130612,0.0,-2939.290316129034,-122.38494712258073
3331306.777097194,-4143779.9552283967,-792667.3373019174,22867.516092536855,0.0,-2939.290316129034,-122.38494712258073
3340154.5206708754,-4166015.592676995,-805931.301387111,22991.445882259843,0.0,-2939.290316129034,-122.38494712258073
3349727.1655506366,-4186398.753369915,-816620.3557493652,23112.907333164538,0.0,-2939.290316129034,-122.38494712258073
3359934.5865712026,-4206777.869856929,-826673.0043654925,23231.95418348578,0.0,-2939.290316129034,-122.38494712258073
3370693.1735585267,-4227697.79797752,-836717.6622575561,23348.63742468845,0.0,-2939.290316129034,-122.38494712258073
3403394.287827273,-4216146.034722342,-792350.4162193359,23463.00593898449,0.0,-2939.290316129034,-122.38494712258073
3409158.492102145,-4235002.256326889,-805330.3325658645,23575.106922130577,0.0,-2939.290316129034,-122.38494712258073
3416377.694870561,-4257637.2173581775,-820636.2115850686,23684.986165799208,0.0,-2939.290316129034,-122.38494712258073
3424735.646510446,-4278311.200642294,-832844.5411470291,23792.688248070528,0.0,-2939.290316129034,-122.38494712258073
3433972.3757231226,-4268169.822104768,-813360.8649811283,23898.256663769203,0.0,-2939.290316129034,-122.38494712258073
3443927.524963957,-4286530.027683113,-821662.4440670287,24001.733915378427,0.0,-2939.290316129034,-122.38494712258073
3454507.5260579437,-4305738.185700046,-830189.1733272743,24103.16157808009,0.0,-2939.290316129034,-122.38494712258073
3465634.645147879,-4323952.442986638,-837176.8927542339,24202.580347776737,0.0,-2939.290316129034,-122.38494712258073
3477257.876386569,-4352036.166496422,-853539.9352952208,24300.030077883966,0.0,-2939.290316129034,-122.38494712258073
3489316.6370830797,-4372120.915867044,-861470.4042385375,24395.549808677948,0.0,-2939.290316129034,-122.38494712258073
3524495.8480754998,-4358096.259491545,-812172.9088876243,24489.177791673203,0.0,-2939.290316129034,-122.38494712258073
3531290.3818003694,-4378785.293529347,-825975.6354815791,24580.951510649902,0.0,-2939.290316129034,-122.38494712258073
3539394.544974606,-4399081.6342814,-838077.8568696543,24670.907700391086,0.0,-2939.290316129034,-122.38494712258073
3548550.8122277325,-4411613.829393611,-841365.6100653056,24759.082363824346,0.0,-2939.290316129034,-122.38494712258073
3558571.0951627064,-4430013.800435749,-849658.8697482701,24845.510788024003,0.0,-2939.290316129034,-122.38494712258073
3569335.69669958,-4448637.305032027,-857433.0560363248,24930.227559373674,0.0,-2939.290316129034,-122.38494712258073
3580732.164511688,-4471901.061092408,-869217.3052658851,25013.26657808687,0.0,-2939.290316129034,-122.38494712258073
3592672.6983811352,-4486626.940859676,-871921.2566695755,25094.66107221692,0.0,-2939.290316129034,-122.38494712258073
3605098.8710884345,-4518987.477831848,-891775.838395422,25174.44361124352,0.0,-2939.290316129034,-122.38494712258073
3617942.5545463157,-4537537.191780065,-897403.666377706,25252.64611929494,0.0,-2939.290316129034,-122.38494712258073
3652107.3286018507,-4518373.508248584,-843998.555021939,25329.299888046124,0.0,-2939.290316129034,-122.38494712258073
3659619.0119011514,-4538633.962640225,-856672.1904130043,25404.4355893206,0.0,-2939.2903161290337,-122.3849471225807
3668449.550981483,-4558860.828733155,-867994.869727507,25478.083287416324,0.0,-2939.2903161290337,-122.3849471225807
3678365.032941115,-4576400.323904457,-875546.6937754231,25550.27245116996,0.0,-2939.2903161290337,-122.3849471225807
3689163.9707843494,-4594143.955338248,-882420.6278513792,25621.03196577093,0.0,-2939.2903161290337,-122.3849471225807
3700681.715306935,-4611096.654073754,-887786.2238857372,25690.390144334062,0.0,-2939.2903161290337,-122.3849471225807
3712798.9166992744,-4631214.236582273,-895718.6204070114,25758.374739238254,0.0,-2939.2903161290337,-122.3849471225807
3725415.748020957,-4649561.611204318,-901382.5254933753,25825.012953237296,0.0,-2939.2903161290337,-122.3849471225807
3738441.2216614294,-4662191.65030135,-900921.7724528232,25890.331450348727,0.0,-2939.2903161290337,-122.3849471225807
3751784.0272456435,-4679196.597020079,-904519.888671162,25954.35636652561,0.0,-2939.2903161290337,-122.3849471225807
3786583.5778890466,-4657329.955804313,-847790.9398584017,26017.11332011609,0.0,-2939.2903161290337,-122.3849471225807
3794299.636688386,-4675095.262201606,-857778.6733543567,26078.62742211523,0.0,-2939.290316129033,-122.38494712258066
3803220.591662391,-4692666.668699683,-866368.8290143297,26138.923286213438,0.0,-2939.290316129033,-122.38494712258066
3813135.8366917847,-4708866.859085257,-872594.6726180782,26198.025038645697,0.0,-2939.290316129033,-122.38494712258066
3823878.198535632,-4726299.561111252,-879227.0815110261,26255.95632784551,0.0,-2939.290316129033,-122.38494712258066
3835293.6269938257,-4740817.016603271,-882272.3245387886,26312.740333907557,0.0,-2939.290316129033,-122.38494712258066
3847234.3880613646,-4757152.655702179,-886611.5431262031,26368.399777862945,0.0,-2939.290316129033,-122.38494712258066
3859604.426092548,-4771012.978872803,-888047.2711127363,26422.956930770644,0.0,-2939.290316129033,-122.38494712258066
3872263.035166305,-4780412.81510196,-884735.0215762776,26476.4336226289,0.0,-2939.290316129033,-122.38494712258066
3885139.349240107,-4794263.298718089,-885656.773490124,26528.85125111014,0.0,-2939.290316129033,-122.38494712258066
3917682.32259481,-4773979.091249201,-832778.2131275205,26580.230790122838,0.0,-2939.290316129033,-122.38494712258066
3925333.8469942603,-4789533.8941379255,-840631.129608713,26630.592798203852,0.0,-2939.290316129033,-122.38494712258066
3934075.178355057,-4804430.305440911,-846736.8449223611,26679.957426744553,0.0,-2939.290316129033,-122.38494712258066
3943717.9501063377,-4817805.52110435,-850420.901833209,26728.344428054002,0.0,-2939.290316129033,-122.38494712258066
3954068.029988137,-4828898.448926244,-851116.3210380959,26775.773163262467,0.0,-2939.290316129033,-122.38494712258066
3964935.9892872283,-4839158.98909077,-850462.4124567249,26822.262610068417,0.0,-2939.290316129033,-122.38494712258066
3976201.715912976,-4850114.805898155,-850106.933878099,26867.83137033209,0.0,-2939.290316129033,-122.38494712258066
3987784.9813633026,-4861683.929825808,-850048.1260482385,26912.497677518662,0.0,-2939.290316129033,-122.38494712258066
3999564.008665343,-4872416.801844711,-848958.1890386265,26956.279403994013,0.0,-2939.290316129033,-122.38494712258066
4011479.883398905,-4882288.309130082,-846870.9069262526,26999.19406817604,0.0,-2939.290316129033,-122.38494712258066
4045692.6522697075,-4862116.878990009,-792444.6431420095,27041.258841544273,0.0,-2939.290316129033,-122.38494712258066
