period,oha,ohv,ogs
1,1044.5889108796202,214572.0,17766372.125539348
2,1040.0387161638973,203843.39999999994,21535945.243942004
3,992.359465335639,203843.4,25640613.463431608
4,992.3594653356391,203843.4,29941964.77934865
5,992.359465335639,203843.39999999997,34195998.60376672
6,992.3594653356388,206807.0534049586,38239420.40340983
7,992.3594653356392,203843.40000000002,41991674.9204798
8,992.359465335639,203843.39999999997,45395762.0133126
9,992.359465335639,203843.40000000002,48430907.61156018
10,992.3594653356392,206928.27292563196,51172033.1119598
